schema_version,requirement_category,field_name,required,allowed_values_or_rule,notes
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,source_artifact,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,source_sha256,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,source_row_count,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,producer,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,evidence_class,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,route_key,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,NODI_view,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,diameter_nm,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,bin_basis,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,bin_policy,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,claim_boundary,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,allowed_use,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,blocked_use,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,formal_transported_position_nodi_bound_sidecar,required_next_gate,yes,must be explicit and machine-readable,required before TPD source/alignment can enter a stronger gate
nodi_comsol_gate2c_required_export_schema_v1,status_enum,nodi_reconciled_status,yes,EXACT_NODI_BOUND_CONTEXT_CANDIDATE; CANDIDATE_RECHECK_REQUIRED; REVIEW_ONLY; BLOCKED,COMSOL READY alone must not imply NODI production readiness
nodi_comsol_gate2c_required_export_schema_v1,q_ch_flow_split_formal_sidecar,qch_source_artifact,yes,must be present with authorization flags false unless separately approved,needed before any q_ch review beyond provenance-only
nodi_comsol_gate2c_required_export_schema_v1,q_ch_flow_split_formal_sidecar,qch_sha256,yes,must be present with authorization flags false unless separately approved,needed before any q_ch review beyond provenance-only
nodi_comsol_gate2c_required_export_schema_v1,q_ch_flow_split_formal_sidecar,qch_row_count,yes,must be present with authorization flags false unless separately approved,needed before any q_ch review beyond provenance-only
nodi_comsol_gate2c_required_export_schema_v1,q_ch_flow_split_formal_sidecar,route_key,yes,must be present with authorization flags false unless separately approved,needed before any q_ch review beyond provenance-only
