mutation_id,property_family,mutation_name,expected_result,observed_result,validation_status
G2AA-MUT-0001,authorization_true,formula_use_authorized,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0002,authorization_true,direct_prs_bin_use_authorized,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0003,authorization_true,grain_level_ingestion_authorized,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0004,authorization_true,accepted_row_expansion_authorized,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0005,authorization_true,qch_weighting_authorized,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0006,authorization_true,jrc_authorized,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0007,authorization_true,production_ingestion_authorized,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0008,authorization_true,runtime_configuration_authorized,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0009,binding,220_auto_map_true,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0010,binding,D1200_borrow_D900,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0011,binding,missing_NODI_view,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0012,binding,route_alias_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0013,binding,diameter_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0014,binding,bin_basis_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0015,edge,edge20_hash_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0016,edge,non_contiguous_bins,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0017,edge,missing_numeric_bound,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0018,edge,units_missing,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0019,edge,normalization_missing,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0020,edge,edge20_id_invalid,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0021,edge,edge4_group_inconsistent,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0022,qch,formal_sidecar_falsely_true,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0023,qch,missing_flow_split,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0024,qch,q_ch_eta_present,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0025,qch,units_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0026,qch,normalization_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0027,qch,source_solve_missing,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0028,provenance,missing_source_sha,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0029,provenance,row_count_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0030,provenance,manifest_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0031,provenance,schema_version_unknown,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0032,evidence_semantics,template_only_false_on_synthetic,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0033,evidence_semantics,not_evidence_false_on_fixture,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0034,evidence_semantics,policy_use_requested_true_without_evidence,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0035,pairwise_combined,formula_use_authorized__PLUS__220_auto_map_true,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0036,pairwise_combined,formula_use_authorized__PLUS__D1200_borrow_D900,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0037,pairwise_combined,formula_use_authorized__PLUS__missing_NODI_view,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0038,pairwise_combined,formula_use_authorized__PLUS__route_alias_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0039,pairwise_combined,formula_use_authorized__PLUS__diameter_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0040,pairwise_combined,formula_use_authorized__PLUS__bin_basis_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0041,pairwise_combined,formula_use_authorized__PLUS__edge20_hash_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0042,pairwise_combined,formula_use_authorized__PLUS__non_contiguous_bins,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0043,pairwise_combined,formula_use_authorized__PLUS__missing_numeric_bound,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0044,pairwise_combined,formula_use_authorized__PLUS__units_missing,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0045,pairwise_combined,formula_use_authorized__PLUS__normalization_missing,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0046,pairwise_combined,formula_use_authorized__PLUS__edge20_id_invalid,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0047,pairwise_combined,formula_use_authorized__PLUS__edge4_group_inconsistent,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0048,pairwise_combined,formula_use_authorized__PLUS__formal_sidecar_falsely_true,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0049,pairwise_combined,formula_use_authorized__PLUS__missing_flow_split,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0050,pairwise_combined,formula_use_authorized__PLUS__q_ch_eta_present,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0051,pairwise_combined,formula_use_authorized__PLUS__units_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0052,pairwise_combined,formula_use_authorized__PLUS__normalization_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0053,pairwise_combined,formula_use_authorized__PLUS__source_solve_missing,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0054,pairwise_combined,formula_use_authorized__PLUS__missing_source_sha,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0055,pairwise_combined,formula_use_authorized__PLUS__row_count_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0056,pairwise_combined,formula_use_authorized__PLUS__manifest_mismatch,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0057,pairwise_combined,formula_use_authorized__PLUS__schema_version_unknown,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0058,pairwise_combined,formula_use_authorized__PLUS__template_only_false_on_synthetic,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0059,pairwise_combined,formula_use_authorized__PLUS__not_evidence_false_on_fixture,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
G2AA-MUT-0060,pairwise_combined,formula_use_authorized__PLUS__policy_use_requested_true_without_evidence,EXPECTED_FAIL,FAIL_EXPECTED,PASS_EXPECTED_FAIL
