drift_scan_id,source_type,source_id,path,authorization_leak_detected,drift_status
G2AD-DRIFT-0001,deep_dossier,G2Z-DOSSIER-0001,roadmap/COMSOL_GATE2C_EDGE4_EDGE20_POLICY_CANDIDATE_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0002,deep_dossier,G2Z-DOSSIER-0002,roadmap/COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_CANDIDATE_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0003,deep_dossier,G2Z-DOSSIER-0003,roadmap/COMSOL_GATE2G_EDGE4_EDGE20_STRUCTURAL_COVERAGE_PROOF_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0004,deep_dossier,G2Z-DOSSIER-0004,roadmap/COMSOL_GATE2G_EDGE_NODI_RECEIPT_SUPPORT_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0005,deep_dossier,G2Z-DOSSIER-0005,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_SKELETON_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0006,deep_dossier,G2Z-DOSSIER-0006,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_POLICY_REVIEW_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0007,deep_dossier,G2Z-DOSSIER-0007,roadmap/COMSOL_GATE2P_EDGE_SYNTHETIC_SCHEMA_PACKAGE_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0008,deep_dossier,G2Z-DOSSIER-0008,roadmap/COMSOL_GATE2C_EDGE4_EDGE20_POLICY_CANDIDATE_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0009,deep_dossier,G2Z-DOSSIER-0009,roadmap/COMSOL_GATE2H_EDGE_EXISTING_EVIDENCE_AVAILABILITY_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0010,deep_dossier,G2Z-DOSSIER-0010,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0011,deep_dossier,G2Z-DOSSIER-0011,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_POLICY_EVIDENCE_REQUIREMENTS_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0012,deep_dossier,G2Z-DOSSIER-0012,roadmap/COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_CANDIDATE_20260628.csv,false,PASS_NO_AUTHORIZATION
G2AD-DRIFT-0013,deep_dossier,G2Z-DOSSIER-0013,roadmap/COMSOL_GATE2G_EDGE4_EDGE20_STRUCTURAL_COVERAGE_PROOF_PACKET_20260628.md,false,PASS_NO_AUTHORIZATION
