acceptance_row_id,parent_nodi_register_row_id,gate2b_context_row_id,source_row_type,route_key,NODI_view,diameter_nm,bin_basis,tpd_bin_label,nodi_acceptance_status,parent_ledger_status,grain_level_authorization_status,edge4_edge20_status,prs_coverage_status,blocked_or_review_status,gate2b_artifact_level_context_candidate,gate2b_grain_level_context_ingestion_authorized,can_enter_weighting,can_enter_jrc,is_chi_selected,is_production_ingestion,is_runtime_configuration,allowed_use,blocked_use,claim_boundary
NODI-G2C-ACCEPT-G2B_ALLOWED_CTX_001,G2CTX-CHI-AGG-004,G2B_ALLOWED_CTX_001,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,GRAIN_LEVEL_AUTHORIZATION_FALSE,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,PRS_COVERAGE_RECHECK_REQUIRED,BLOCKED_OR_REVIEW_ONLY,true,false,false,false,false,false,false,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,artifact_level_context_support_not_grain_ingestion_not_formula
NODI-G2C-ACCEPT-G2B_ALLOWED_CTX_002,G2CTX-CHI-AGG-004,G2B_ALLOWED_CTX_002,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,GRAIN_LEVEL_AUTHORIZATION_FALSE,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,PRS_COVERAGE_RECHECK_REQUIRED,BLOCKED_OR_REVIEW_ONLY,true,false,false,false,false,false,false,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,artifact_level_context_support_not_grain_ingestion_not_formula
NODI-G2C-ACCEPT-G2B_ALLOWED_CTX_003,G2CTX-CHI-AGG-004,G2B_ALLOWED_CTX_003,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,GRAIN_LEVEL_AUTHORIZATION_FALSE,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,PRS_COVERAGE_RECHECK_REQUIRED,BLOCKED_OR_REVIEW_ONLY,true,false,false,false,false,false,false,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,artifact_level_context_support_not_grain_ingestion_not_formula
NODI-G2C-ACCEPT-G2B_ALLOWED_CTX_004,G2CTX-CHI-AGG-004,G2B_ALLOWED_CTX_004,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,GRAIN_LEVEL_AUTHORIZATION_FALSE,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,PRS_COVERAGE_RECHECK_REQUIRED,BLOCKED_OR_REVIEW_ONLY,true,false,false,false,false,false,false,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,artifact_level_context_support_not_grain_ingestion_not_formula
NODI-G2C-ACCEPT-G2B_ALLOWED_CTX_005,G2CTX-CHI-AGG-004,G2B_ALLOWED_CTX_005,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,300,aggregate_proxy,aggregate_proxy,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,GRAIN_LEVEL_AUTHORIZATION_FALSE,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,PRS_COVERAGE_RECHECK_REQUIRED,BLOCKED_OR_REVIEW_ONLY,true,false,false,false,false,false,false,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,artifact_level_context_support_not_grain_ingestion_not_formula
NODI-G2C-ACCEPT-G2B_ALLOWED_CTX_006,G2CTX-CHI-AGG-004,G2B_ALLOWED_CTX_006,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,300,aggregate_proxy,aggregate_proxy,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,GRAIN_LEVEL_AUTHORIZATION_FALSE,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,PRS_COVERAGE_RECHECK_REQUIRED,BLOCKED_OR_REVIEW_ONLY,true,false,false,false,false,false,false,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,artifact_level_context_support_not_grain_ingestion_not_formula
NODI-G2C-ACCEPT-G2B_ALLOWED_CTX_007,G2CTX-CHI-AGG-004,G2B_ALLOWED_CTX_007,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,300,aggregate_proxy,aggregate_proxy,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,GRAIN_LEVEL_AUTHORIZATION_FALSE,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,PRS_COVERAGE_RECHECK_REQUIRED,BLOCKED_OR_REVIEW_ONLY,true,false,false,false,false,false,false,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,artifact_level_context_support_not_grain_ingestion_not_formula
NODI-G2C-ACCEPT-G2B_ALLOWED_CTX_008,G2CTX-CHI-AGG-004,G2B_ALLOWED_CTX_008,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,300,aggregate_proxy,aggregate_proxy,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,GRAIN_LEVEL_AUTHORIZATION_FALSE,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,PRS_COVERAGE_RECHECK_REQUIRED,BLOCKED_OR_REVIEW_ONLY,true,false,false,false,false,false,false,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,artifact_level_context_support_not_grain_ingestion_not_formula
NODI-G2C-ACCEPT-G2B_ALLOWED_CTX_009,G2CTX-CHI-AGG-004,G2B_ALLOWED_CTX_009,proxy_aggregate,660/W800/D900,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,GRAIN_LEVEL_AUTHORIZATION_FALSE,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,PRS_COVERAGE_RECHECK_REQUIRED,BLOCKED_OR_REVIEW_ONLY,true,false,false,false,false,false,false,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,artifact_level_context_support_not_grain_ingestion_not_formula
NODI-G2C-ACCEPT-G2B_ALLOWED_CTX_010,G2CTX-CHI-AGG-004,G2B_ALLOWED_CTX_010,proxy_aggregate,660/W800/D900,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,GRAIN_LEVEL_AUTHORIZATION_FALSE,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,PRS_COVERAGE_RECHECK_REQUIRED,BLOCKED_OR_REVIEW_ONLY,true,false,false,false,false,false,false,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,artifact_level_context_support_not_grain_ingestion_not_formula
NODI-G2C-ACCEPT-G2B_ALLOWED_CTX_011,G2CTX-CHI-AGG-004,G2B_ALLOWED_CTX_011,proxy_aggregate,660/W800/D900,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,GRAIN_LEVEL_AUTHORIZATION_FALSE,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,PRS_COVERAGE_RECHECK_REQUIRED,BLOCKED_OR_REVIEW_ONLY,true,false,false,false,false,false,false,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,artifact_level_context_support_not_grain_ingestion_not_formula
