receipt_id,source_role,source_path,relative_source_path,source_sha256,source_row_count,manifest_sha256_if_any,manifest_row_count_if_any,sha_match,row_count_match,receipt_status,allowed_use,blocked_use
SRC-COMSOL-G2D-CAND,comsol_gate2d_candidate,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_ONLY_CANDIDATE_20260628.csv,roadmap/COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_ONLY_CANDIDATE_20260628.csv,5297f1c81e5c498edaf1bd0c23eda03ec377b7194881366d568433595f2af41f,4,5297f1c81e5c498edaf1bd0c23eda03ec377b7194881366d568433595f2af41f,4,true,true,PASS_RECEIPT_REPRODUCIBLE,read-only evidence for Gate2D acceptance ledger,grain-level ingestion; direct PRS bin use; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
SRC-COMSOL-G2D-PACKET,comsol_gate2d_packet,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_ONLY_CANDIDATE_PACKET_20260628.md,roadmap/COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_ONLY_CANDIDATE_PACKET_20260628.md,c88a213c7ac8f98dac0289553fe20ca8605dd30a4db40f46e5b73ef73f680ffd,0,c88a213c7ac8f98dac0289553fe20ca8605dd30a4db40f46e5b73ef73f680ffd,0,true,true,PASS_RECEIPT_REPRODUCIBLE,read-only evidence for Gate2D acceptance ledger,grain-level ingestion; direct PRS bin use; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
SRC-COMSOL-G2D-VALIDATION,comsol_gate2d_validation,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_VALIDATION_20260628.csv,roadmap/COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_VALIDATION_20260628.csv,4afae914e4b8512e5dbe06aaa47cb414da5bfc984f883c022aaeea93e37b9168,13,4afae914e4b8512e5dbe06aaa47cb414da5bfc984f883c022aaeea93e37b9168,13,true,true,PASS_RECEIPT_REPRODUCIBLE,read-only evidence for Gate2D acceptance ledger,grain-level ingestion; direct PRS bin use; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
SRC-COMSOL-G2D-MANIFEST,comsol_gate2d_manifest,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_MANIFEST_20260628.csv,roadmap/COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_MANIFEST_20260628.csv,b3ee0062dc3275a29ce4048b7956897956ce9374b4f5e23e4046ec3bc27b3ae5,13,,,true,true,PASS_RECEIPT_REPRODUCIBLE,read-only evidence for Gate2D acceptance ledger,grain-level ingestion; direct PRS bin use; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
SRC-COMSOL-G2D-EXCLUSIONS,comsol_gate2d_exclusions,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2D_REDUCED_SCOPE_EXCLUSIONS_20260628.csv,roadmap/COMSOL_GATE2D_REDUCED_SCOPE_EXCLUSIONS_20260628.csv,772806de7b3a1f4df7c1fd7f3f33e4f320e9a478680fe601be73d8ce7abc2ff7,6,772806de7b3a1f4df7c1fd7f3f33e4f320e9a478680fe601be73d8ce7abc2ff7,6,true,true,PASS_RECEIPT_REPRODUCIBLE,read-only evidence for Gate2D acceptance ledger,grain-level ingestion; direct PRS bin use; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
SRC-COMSOL-G2C-ERRATA,comsol_gate2c_errata,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2C_BINDING_ALIGNMENT_ERRATA_20260628.md,roadmap/COMSOL_GATE2C_BINDING_ALIGNMENT_ERRATA_20260628.md,f2627a1223a0eee7854f95bd18b7667bb13230bd8d58e1915c47d6f14343369d,0,f2627a1223a0eee7854f95bd18b7667bb13230bd8d58e1915c47d6f14343369d,0,true,true,PASS_RECEIPT_REPRODUCIBLE,read-only evidence for Gate2D acceptance ledger,grain-level ingestion; direct PRS bin use; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
SRC-COMSOL-G2C-RECON,comsol_gate2c_status_reconciliation,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2C_CANDIDATE_EXPORT_STATUS_RECONCILIATION_20260628.csv,roadmap/COMSOL_GATE2C_CANDIDATE_EXPORT_STATUS_RECONCILIATION_20260628.csv,7701f1d5f3e7118dee1f53f94a2549629f85b182bfefcf2e7a8c5a4ba4831e96,6,7701f1d5f3e7118dee1f53f94a2549629f85b182bfefcf2e7a8c5a4ba4831e96,6,true,true,PASS_RECEIPT_REPRODUCIBLE,read-only evidence for Gate2D acceptance ledger,grain-level ingestion; direct PRS bin use; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
SRC-NODI-G2D-VERDICT,nodi_gate2d_verdict,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2D_REDUCED_SCOPE_CANDIDATE_ROW_VERDICT_20260628.csv,reports/joint_interface_20260628/NODI_COMSOL_GATE2D_REDUCED_SCOPE_CANDIDATE_ROW_VERDICT_20260628.csv,5c178a0d6ba373ba8e0bff8290f84374f233bec641cccb4be1d750b46233bb12,4,,,true,true,PASS_RECEIPT_REPRODUCIBLE,read-only evidence for Gate2D acceptance ledger,grain-level ingestion; direct PRS bin use; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
SRC-NODI-G2D-PREFLIGHT,nodi_gate2d_preflight,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2D_REDUCED_SCOPE_ACCEPTANCE_PREFLIGHT_20260628.csv,reports/joint_interface_20260628/NODI_COMSOL_GATE2D_REDUCED_SCOPE_ACCEPTANCE_PREFLIGHT_20260628.csv,475fc62ece433b933e6f69ee56c74fea1fd59f5a779605680b3261f9c10798a4,4,,,true,true,PASS_RECEIPT_REPRODUCIBLE,read-only evidence for Gate2D acceptance ledger,grain-level ingestion; direct PRS bin use; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
SRC-NODI-G2D-BLOCKERS,nodi_gate2d_blockers,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2D_EXCLUSION_AND_BLOCKER_REGISTER_20260628.csv,reports/joint_interface_20260628/NODI_COMSOL_GATE2D_EXCLUSION_AND_BLOCKER_REGISTER_20260628.csv,72288a6d370a8d501830635f8ecfbc493d3a41f5c807ebe3f9f8b7e40bf89d27,6,,,true,true,PASS_RECEIPT_REPRODUCIBLE,read-only evidence for Gate2D acceptance ledger,grain-level ingestion; direct PRS bin use; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
SRC-NODI-G2D-STATUS-RECON,nodi_gate2d_status_reconciliation,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2D_COMSOL_GATE2C_STATUS_COUNT_RECONCILIATION_20260628.csv,reports/joint_interface_20260628/NODI_COMSOL_GATE2D_COMSOL_GATE2C_STATUS_COUNT_RECONCILIATION_20260628.csv,0b04f625c1e2aecbafa12eb3ec9f2bc42e3d7466cc0412fb4b4c95dff853e6a5,6,,,true,true,PASS_RECEIPT_REPRODUCIBLE,read-only evidence for Gate2D acceptance ledger,grain-level ingestion; direct PRS bin use; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
