audit_id,audit_item,audit_status,evidence,required_next_gate,path,row_count,sha256
G2D-CONSISTENCY-001,master_packet_narrative_counts_vs_candidate_csv,PASS,status reconciliation matrix,COMSOL_GATE2C_ERRATA_OR_CORRECTED_MASTER_PACKET,,,
G2D-CONSISTENCY-002,candidate_csv_counts_vs_validation_observed_counts,PASS,COMSOL validation observed status counts,NODI_GATE2D_PREFLIGHT_REVIEW,,,
G2D-CONSISTENCY-003,manifest_sha_row_count_reproducibility,PASS,24 manifest rows audited,NODI_GATE2D_PREFLIGHT_REVIEW,,,
G2D-CONSISTENCY-004,comsol_errata_or_reduced_scope_package_presence,PASS_ERRATA_PRESENT,errata=C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2C_BINDING_ALIGNMENT_ERRATA_20260628.md;status_reconciliation=C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2C_CANDIDATE_EXPORT_STATUS_RECONCILIATION_20260628.csv;gate2d_candidate=C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_ONLY_CANDIDATE_20260628.csv;gate2d_validation=C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_VALIDATION_20260628.csv;gate2d_manifest=C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_MANIFEST_20260628.csv,COMSOL_GATE2C_ERRATA_OR_GATE2D_REDUCED_SCOPE_EXPORT_PACKAGE,,,
G2D-OPTIONAL-001,optional_comsol_file_errata,PASS_OPTIONAL_FILE_PRESENT,,NODI_GATE2D_PREFLIGHT_REVIEW,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2C_BINDING_ALIGNMENT_ERRATA_20260628.md,0,f2627a1223a0eee7854f95bd18b7667bb13230bd8d58e1915c47d6f14343369d
G2D-OPTIONAL-002,optional_comsol_file_status_reconciliation,PASS_OPTIONAL_FILE_PRESENT,,NODI_GATE2D_PREFLIGHT_REVIEW,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2C_CANDIDATE_EXPORT_STATUS_RECONCILIATION_20260628.csv,6,7701f1d5f3e7118dee1f53f94a2549629f85b182bfefcf2e7a8c5a4ba4831e96
G2D-OPTIONAL-003,optional_comsol_file_gate2d_candidate,PASS_OPTIONAL_FILE_PRESENT,,NODI_GATE2D_PREFLIGHT_REVIEW,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_ONLY_CANDIDATE_20260628.csv,4,5297f1c81e5c498edaf1bd0c23eda03ec377b7194881366d568433595f2af41f
G2D-OPTIONAL-004,optional_comsol_file_gate2d_validation,PASS_OPTIONAL_FILE_PRESENT,,NODI_GATE2D_PREFLIGHT_REVIEW,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_VALIDATION_20260628.csv,13,4afae914e4b8512e5dbe06aaa47cb414da5bfc984f883c022aaeea93e37b9168
G2D-OPTIONAL-005,optional_comsol_file_gate2d_manifest,PASS_OPTIONAL_FILE_PRESENT,,NODI_GATE2D_PREFLIGHT_REVIEW,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2D_REDUCED_SCOPE_CONTEXT_MANIFEST_20260628.csv,13,b3ee0062dc3275a29ce4048b7956897956ce9374b4f5e23e4046ec3bc27b3ae5
G2D-SEMANTIC-001,comsol_gate2c_status_reconciliation_rows_present,PASS,rows=6,NODI_GATE2D_PREFLIGHT_REVIEW,,,
G2D-SEMANTIC-002,comsol_gate2d_candidate_matches_nodi_verdict_rows,PASS,"gate2d_rows=4 source_ids=['G2C-CAND-0077', 'G2C-CAND-0078', 'G2C-CAND-0079', 'G2C-CAND-0080']",NODI_GATE2D_PREFLIGHT_REVIEW,,,
G2D-SEMANTIC-003,comsol_gate2d_candidate_authorization_flags_false,PASS,all false,NO_WEIGHTING_NO_JRC_NO_PRODUCTION,,,
G2D-SEMANTIC-004,comsol_gate2d_validation_passes,PASS,validation_rows=13,NODI_GATE2D_PREFLIGHT_REVIEW,,,
G2D-SEMANTIC-005,comsol_gate2d_manifest_present,PASS,manifest_rows=13,NODI_GATE2D_PREFLIGHT_REVIEW,,,
