edge20_snapshot_id,bin_index,bin_id,edge_norm_min,edge_norm_max,definition_status,source_prs_artifact,source_prs_sha256,source_prs_row_count,edge20_definition_hash,allowed_use,blocked_use
NODI-G2E-EDGE20-01,0,edge_00,0,0.05,PASS_EDGE20_DEFINITION_HASHED,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,7472,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,hashed NODI edge20 definition for receiver policy review only,direct PRS bin use; formula use; accepted row expansion; weighting; JRC
NODI-G2E-EDGE20-02,1,edge_01,0.05,0.1,PASS_EDGE20_DEFINITION_HASHED,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,7472,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,hashed NODI edge20 definition for receiver policy review only,direct PRS bin use; formula use; accepted row expansion; weighting; JRC
NODI-G2E-EDGE20-03,2,edge_02,0.1,0.15,PASS_EDGE20_DEFINITION_HASHED,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,7472,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,hashed NODI edge20 definition for receiver policy review only,direct PRS bin use; formula use; accepted row expansion; weighting; JRC
NODI-G2E-EDGE20-04,3,edge_03,0.15,0.2,PASS_EDGE20_DEFINITION_HASHED,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,7472,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,hashed NODI edge20 definition for receiver policy review only,direct PRS bin use; formula use; accepted row expansion; weighting; JRC
NODI-G2E-EDGE20-05,4,edge_04,0.2,0.25,PASS_EDGE20_DEFINITION_HASHED,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,7472,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,hashed NODI edge20 definition for receiver policy review only,direct PRS bin use; formula use; accepted row expansion; weighting; JRC
NODI-G2E-EDGE20-06,5,edge_05,0.25,0.3,PASS_EDGE20_DEFINITION_HASHED,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,7472,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,hashed NODI edge20 definition for receiver policy review only,direct PRS bin use; formula use; accepted row expansion; weighting; JRC
NODI-G2E-EDGE20-07,6,edge_06,0.3,0.35,PASS_EDGE20_DEFINITION_HASHED,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,7472,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,hashed NODI edge20 definition for receiver policy review only,direct PRS bin use; formula use; accepted row expansion; weighting; JRC
NODI-G2E-EDGE20-08,7,edge_07,0.35,0.4,PASS_EDGE20_DEFINITION_HASHED,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,7472,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,hashed NODI edge20 definition for receiver policy review only,direct PRS bin use; formula use; accepted row expansion; weighting; JRC
NODI-G2E-EDGE20-09,8,edge_08,0.4,0.45,PASS_EDGE20_DEFINITION_HASHED,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,7472,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,hashed NODI edge20 definition for receiver policy review only,direct PRS bin use; formula use; accepted row expansion; weighting; JRC
NODI-G2E-EDGE20-10,9,edge_09,0.45,0.5,PASS_EDGE20_DEFINITION_HASHED,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,7472,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,hashed NODI edge20 definition for receiver policy review only,direct PRS bin use; formula use; accepted row expansion; weighting; JRC
NODI-G2E-EDGE20-11,10,edge_10,0.5,0.55,PASS_EDGE20_DEFINITION_HASHED,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,7472,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,hashed NODI edge20 definition for receiver policy review only,direct PRS bin use; formula use; accepted row expansion; weighting; JRC
