grouping_preflight_id,source_edge_deliverable_row_id,source_edge4_artifact,source_sha256,source_row_identity,route_key,NODI_view,diameter_nm,tpd_proxy_aggregation_basis,edge4_bin_label,edge4_min,edge4_max,candidate_edge20_group,edge20_bins_covered,nodi_edge20_definition_hash,grouping_derivation,review_only_status,edge4_row_accepted,accepted_row_expansion_authorized,context_only_acceptance_allowed,direct_prs_bin_use_authorized,formula_use_authorized,grain_level_ingestion_authorized,can_enter_weighting,can_enter_jrc,allowed_use,blocked_use,required_next_gate
NODI-G2F-EDGE-GROUP-001,G2E-EDGE-SKEL-001,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,8c2f785d5d4d7a16af0b4817b7f97a7ecf8824e84cc2f9b602e1b67906dcefc1,CHI_CTX_BIN_ALIGN_TPD_SRC_002_W800_D900_A85_300NM_residence_time_weighted_edge_norm_0p00_0p25_fixed_660_gold,660/W800/D900,fixed_660_gold,300,residence_time_weighted,edge_norm_0p00_0p25,0,0.25,edge_00|edge_01|edge_02|edge_03|edge_04,5,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,derived_from_NODI_edge20_snapshot_boundaries,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,false,false,review-only grouping candidate preflight,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion,loss/error semantics and conservative grouping review
NODI-G2F-EDGE-GROUP-002,G2E-EDGE-SKEL-002,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,8c2f785d5d4d7a16af0b4817b7f97a7ecf8824e84cc2f9b602e1b67906dcefc1,CHI_CTX_BIN_ALIGN_TPD_SRC_002_W800_D900_A85_300NM_residence_time_weighted_edge_norm_0p25_0p50_fixed_660_gold,660/W800/D900,fixed_660_gold,300,residence_time_weighted,edge_norm_0p25_0p50,0.25,0.5,edge_05|edge_06|edge_07|edge_08|edge_09,5,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,derived_from_NODI_edge20_snapshot_boundaries,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,false,false,review-only grouping candidate preflight,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion,loss/error semantics and conservative grouping review
NODI-G2F-EDGE-GROUP-003,G2E-EDGE-SKEL-003,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,8c2f785d5d4d7a16af0b4817b7f97a7ecf8824e84cc2f9b602e1b67906dcefc1,CHI_CTX_BIN_ALIGN_TPD_SRC_002_W800_D900_A85_300NM_residence_time_weighted_edge_norm_0p50_0p75_fixed_660_gold,660/W800/D900,fixed_660_gold,300,residence_time_weighted,edge_norm_0p50_0p75,0.5,0.75,edge_10|edge_11|edge_12|edge_13|edge_14,5,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,derived_from_NODI_edge20_snapshot_boundaries,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,false,false,review-only grouping candidate preflight,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion,loss/error semantics and conservative grouping review
NODI-G2F-EDGE-GROUP-004,G2E-EDGE-SKEL-004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,8c2f785d5d4d7a16af0b4817b7f97a7ecf8824e84cc2f9b602e1b67906dcefc1,CHI_CTX_BIN_ALIGN_TPD_SRC_002_W800_D900_A85_300NM_residence_time_weighted_edge_norm_0p75_1p00_fixed_660_gold,660/W800/D900,fixed_660_gold,300,residence_time_weighted,edge_norm_0p75_1p00,0.75,1,edge_15|edge_16|edge_17|edge_18|edge_19,5,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,derived_from_NODI_edge20_snapshot_boundaries,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,false,false,review-only grouping candidate preflight,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion,loss/error semantics and conservative grouping review
NODI-G2F-EDGE-GROUP-005,G2E-EDGE-SKEL-005,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,8c2f785d5d4d7a16af0b4817b7f97a7ecf8824e84cc2f9b602e1b67906dcefc1,CHI_CTX_BIN_ALIGN_TPD_SRC_002_W800_D900_A85_300NM_velocity_weighted_edge_norm_0p00_0p25_fixed_660_gold,660/W800/D900,fixed_660_gold,300,velocity_weighted,edge_norm_0p00_0p25,0,0.25,edge_00|edge_01|edge_02|edge_03|edge_04,5,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,derived_from_NODI_edge20_snapshot_boundaries,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,false,false,review-only grouping candidate preflight,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion,loss/error semantics and conservative grouping review
NODI-G2F-EDGE-GROUP-006,G2E-EDGE-SKEL-006,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,8c2f785d5d4d7a16af0b4817b7f97a7ecf8824e84cc2f9b602e1b67906dcefc1,CHI_CTX_BIN_ALIGN_TPD_SRC_002_W800_D900_A85_300NM_velocity_weighted_edge_norm_0p25_0p50_fixed_660_gold,660/W800/D900,fixed_660_gold,300,velocity_weighted,edge_norm_0p25_0p50,0.25,0.5,edge_05|edge_06|edge_07|edge_08|edge_09,5,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,derived_from_NODI_edge20_snapshot_boundaries,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,false,false,review-only grouping candidate preflight,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion,loss/error semantics and conservative grouping review
NODI-G2F-EDGE-GROUP-007,G2E-EDGE-SKEL-007,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,8c2f785d5d4d7a16af0b4817b7f97a7ecf8824e84cc2f9b602e1b67906dcefc1,CHI_CTX_BIN_ALIGN_TPD_SRC_002_W800_D900_A85_300NM_velocity_weighted_edge_norm_0p50_0p75_fixed_660_gold,660/W800/D900,fixed_660_gold,300,velocity_weighted,edge_norm_0p50_0p75,0.5,0.75,edge_10|edge_11|edge_12|edge_13|edge_14,5,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,derived_from_NODI_edge20_snapshot_boundaries,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,false,false,review-only grouping candidate preflight,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion,loss/error semantics and conservative grouping review
NODI-G2F-EDGE-GROUP-008,G2E-EDGE-SKEL-008,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,8c2f785d5d4d7a16af0b4817b7f97a7ecf8824e84cc2f9b602e1b67906dcefc1,CHI_CTX_BIN_ALIGN_TPD_SRC_002_W800_D900_A85_300NM_velocity_weighted_edge_norm_0p75_1p00_fixed_660_gold,660/W800/D900,fixed_660_gold,300,velocity_weighted,edge_norm_0p75_1p00,0.75,1,edge_15|edge_16|edge_17|edge_18|edge_19,5,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,derived_from_NODI_edge20_snapshot_boundaries,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,false,false,review-only grouping candidate preflight,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion,loss/error semantics and conservative grouping review
NODI-G2F-EDGE-GROUP-009,G2E-EDGE-SKEL-009,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,8c2f785d5d4d7a16af0b4817b7f97a7ecf8824e84cc2f9b602e1b67906dcefc1,CHI_CTX_BIN_ALIGN_TPD_SRC_002_W800_D900_A85_300NM_residence_time_weighted_edge_norm_0p00_0p25_per_wavelength_gold,660/W800/D900,per_wavelength_gold,300,residence_time_weighted,edge_norm_0p00_0p25,0,0.25,edge_00|edge_01|edge_02|edge_03|edge_04,5,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,derived_from_NODI_edge20_snapshot_boundaries,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,false,false,review-only grouping candidate preflight,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion,loss/error semantics and conservative grouping review
NODI-G2F-EDGE-GROUP-010,G2E-EDGE-SKEL-010,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,8c2f785d5d4d7a16af0b4817b7f97a7ecf8824e84cc2f9b602e1b67906dcefc1,CHI_CTX_BIN_ALIGN_TPD_SRC_002_W800_D900_A85_300NM_residence_time_weighted_edge_norm_0p25_0p50_per_wavelength_gold,660/W800/D900,per_wavelength_gold,300,residence_time_weighted,edge_norm_0p25_0p50,0.25,0.5,edge_05|edge_06|edge_07|edge_08|edge_09,5,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,derived_from_NODI_edge20_snapshot_boundaries,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,false,false,review-only grouping candidate preflight,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion,loss/error semantics and conservative grouping review
NODI-G2F-EDGE-GROUP-011,G2E-EDGE-SKEL-011,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,8c2f785d5d4d7a16af0b4817b7f97a7ecf8824e84cc2f9b602e1b67906dcefc1,CHI_CTX_BIN_ALIGN_TPD_SRC_002_W800_D900_A85_300NM_residence_time_weighted_edge_norm_0p50_0p75_per_wavelength_gold,660/W800/D900,per_wavelength_gold,300,residence_time_weighted,edge_norm_0p50_0p75,0.5,0.75,edge_10|edge_11|edge_12|edge_13|edge_14,5,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,derived_from_NODI_edge20_snapshot_boundaries,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,false,false,review-only grouping candidate preflight,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion,loss/error semantics and conservative grouping review
