manifest_audit_id,manifest_artifact_id,manifest_path,resolved_path,exists,manifest_sha256,actual_sha256,manifest_row_count,actual_row_count,sha_match,row_count_match,validation_status_summary,manifest_audit_status,allowed_use,blocked_use
NODI-G2G-MANIFEST-AUDIT-001,G2F_EDGE_SOURCE_SKELETON,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_SKELETON_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_SKELETON_20260628.csv,true,287ea01ed8ec6368f677398b72f4e73332994157200b268b832b61df5443a984,287ea01ed8ec6368f677398b72f4e73332994157200b268b832b61df5443a984,16,16,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit,policy approval; formula use; accepted row expansion
NODI-G2G-MANIFEST-AUDIT-002,G2F_EDGE_SOURCE_PACKET,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_PACKET_20260628.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_PACKET_20260628.md,true,17350fecacb3b319817ff8fe9a7a777d6f0f4374b7330334b8ce18fe55bb67a1,17350fecacb3b319817ff8fe9a7a777d6f0f4374b7330334b8ce18fe55bb67a1,0,0,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit,policy approval; formula use; accepted row expansion
NODI-G2G-MANIFEST-AUDIT-003,G2F_NODI_EDGE_VERDICT_READONLY,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2E_EDGE_RECEIVER_POLICY_VERDICT_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2E_EDGE_RECEIVER_POLICY_VERDICT_20260628.csv,true,85ffb9c49dabe72d3529b44b6954093b0b207066125c5cd65fdd1fb1ef5161ed,85ffb9c49dabe72d3529b44b6954093b0b207066125c5cd65fdd1fb1ef5161ed,3,3,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit,policy approval; formula use; accepted row expansion
NODI-G2G-MANIFEST-AUDIT-004,G2F_NODI_EDGE20_SNAPSHOT_READONLY,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2E_EDGE20_DEFINITION_SNAPSHOT_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2E_EDGE20_DEFINITION_SNAPSHOT_20260628.csv,true,4cdb624aad4531476fbc6b45c5420378b3c5f378ce933cd8f1cd36bff5bc5943,4cdb624aad4531476fbc6b45c5420378b3c5f378ce933cd8f1cd36bff5bc5943,20,20,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit,policy approval; formula use; accepted row expansion
NODI-G2G-MANIFEST-AUDIT-005,G2F_NODI_GATE2D_LEDGER_READONLY,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2D_ACCEPTED_REDUCED_SCOPE_CONTEXT_LEDGER_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2D_ACCEPTED_REDUCED_SCOPE_CONTEXT_LEDGER_20260628.csv,true,cf997f5cefd2267f507f3697680d4d314b986ea6a89f914eb66a993f9a1cdce1,cf997f5cefd2267f507f3697680d4d314b986ea6a89f914eb66a993f9a1cdce1,4,4,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit,policy approval; formula use; accepted row expansion
NODI-G2G-MANIFEST-AUDIT-006,G2F_EDGE_EVIDENCE_CANDIDATE,roadmap/COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_CANDIDATE_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_CANDIDATE_20260628.csv,true,5b2cbc6faf60d8992065e2e369890c1f911ec8e33c8e152bb545dbd4781ff6a1,5b2cbc6faf60d8992065e2e369890c1f911ec8e33c8e152bb545dbd4781ff6a1,16,16,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit,policy approval; formula use; accepted row expansion
NODI-G2G-MANIFEST-AUDIT-007,G2F_EDGE_EVIDENCE_PACKET,roadmap/COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_PACKET_20260628.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_PACKET_20260628.md,true,8b900918d2a460f504de60b8de7b914e0543ee47dd5c9ad529c99919131313c3,8b900918d2a460f504de60b8de7b914e0543ee47dd5c9ad529c99919131313c3,0,0,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit,policy approval; formula use; accepted row expansion
NODI-G2G-MANIFEST-AUDIT-008,G2F_EDGE_LOSS_ERROR_SEMANTICS,roadmap/COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_CANDIDATE_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_CANDIDATE_20260628.csv,true,0bd6752fb6add30aa7fd322d4dc71d0496cf422736e91c7ba745ec920b9f4f8e,0bd6752fb6add30aa7fd322d4dc71d0496cf422736e91c7ba745ec920b9f4f8e,4,4,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit,policy approval; formula use; accepted row expansion
NODI-G2G-MANIFEST-AUDIT-009,G2F_EDGE_LOSS_ERROR_PACKET,roadmap/COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_PACKET_20260628.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_PACKET_20260628.md,true,eedf051df2898821cc6b109b7ab8bd54ec546164da43d5dae294363948d9fee9,eedf051df2898821cc6b109b7ab8bd54ec546164da43d5dae294363948d9fee9,0,0,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit,policy approval; formula use; accepted row expansion
NODI-G2G-MANIFEST-AUDIT-010,G2F_EDGE_EXCLUSIONS,roadmap/COMSOL_GATE2F_EDGE_EXCLUSIONS_CARRY_FORWARD_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2F_EDGE_EXCLUSIONS_CARRY_FORWARD_20260628.csv,true,181b38b507ca7d8f71a33bf7abe7a46245c573d60f8b80fd92080ba81c6d5225,181b38b507ca7d8f71a33bf7abe7a46245c573d60f8b80fd92080ba81c6d5225,6,6,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit,policy approval; formula use; accepted row expansion
NODI-G2G-MANIFEST-AUDIT-011,G2F_EDGE_MASTER_PACKET,roadmap/COMSOL_GATE2F_EDGE_REVIEW_EVIDENCE_MASTER_PACKET_20260628.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2F_EDGE_REVIEW_EVIDENCE_MASTER_PACKET_20260628.md,true,a2285ba4348a8297cfe669759d4b70ec00c8eadd00c5683512833e0dd9b47772,a2285ba4348a8297cfe669759d4b70ec00c8eadd00c5683512833e0dd9b47772,0,0,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit,policy approval; formula use; accepted row expansion
