reconciliation_id,nodi_grouping_preflight_id,comsol_gate2f_edge_evidence_id,source_edge_skeleton_row_id,route_key,NODI_view,diameter_nm,tpd_proxy_aggregation_basis,edge4_bin_label,nodi_edge20_definition_hash,nodi_candidate_edge20_group,comsol_candidate_edge20_group,edge20_bins_covered,edge20_group_match,edge20_hash_match,scope_key_match,source_row_id_match,concordance_status,policy_approved,direct_prs_bin_use_authorized,formula_use_authorized,grain_level_ingestion_authorized,accepted_row_expansion_authorized,qch_weighting_authorized,jrc_authorized,production_ingestion_authorized,runtime_configuration_authorized,allowed_use,blocked_use,required_next_gate
NODI-G2G-EDGE-RECON-001,NODI-G2F-EDGE-GROUP-001,G2F-EDGE-EVID-001,G2E-EDGE-SKEL-001,660/W800/D900,fixed_660_gold,300,residence_time_weighted,edge_norm_0p00_0p25,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,edge_00|edge_01|edge_02|edge_03|edge_04,edge_00|edge_01|edge_02|edge_03|edge_04,5,true,true,true,true,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,false,false,false,false,false,false,false,false,false,review-only evidence receipt concordance,policy approval; accepted row expansion; direct PRS edge20 bin use; grain-level ingestion; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-RECON-002,NODI-G2F-EDGE-GROUP-002,G2F-EDGE-EVID-002,G2E-EDGE-SKEL-002,660/W800/D900,fixed_660_gold,300,residence_time_weighted,edge_norm_0p25_0p50,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,edge_05|edge_06|edge_07|edge_08|edge_09,edge_05|edge_06|edge_07|edge_08|edge_09,5,true,true,true,true,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,false,false,false,false,false,false,false,false,false,review-only evidence receipt concordance,policy approval; accepted row expansion; direct PRS edge20 bin use; grain-level ingestion; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-RECON-003,NODI-G2F-EDGE-GROUP-003,G2F-EDGE-EVID-003,G2E-EDGE-SKEL-003,660/W800/D900,fixed_660_gold,300,residence_time_weighted,edge_norm_0p50_0p75,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,edge_10|edge_11|edge_12|edge_13|edge_14,edge_10|edge_11|edge_12|edge_13|edge_14,5,true,true,true,true,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,false,false,false,false,false,false,false,false,false,review-only evidence receipt concordance,policy approval; accepted row expansion; direct PRS edge20 bin use; grain-level ingestion; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-RECON-004,NODI-G2F-EDGE-GROUP-004,G2F-EDGE-EVID-004,G2E-EDGE-SKEL-004,660/W800/D900,fixed_660_gold,300,residence_time_weighted,edge_norm_0p75_1p00,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,edge_15|edge_16|edge_17|edge_18|edge_19,edge_15|edge_16|edge_17|edge_18|edge_19,5,true,true,true,true,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,false,false,false,false,false,false,false,false,false,review-only evidence receipt concordance,policy approval; accepted row expansion; direct PRS edge20 bin use; grain-level ingestion; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-RECON-005,NODI-G2F-EDGE-GROUP-005,G2F-EDGE-EVID-005,G2E-EDGE-SKEL-005,660/W800/D900,fixed_660_gold,300,velocity_weighted,edge_norm_0p00_0p25,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,edge_00|edge_01|edge_02|edge_03|edge_04,edge_00|edge_01|edge_02|edge_03|edge_04,5,true,true,true,true,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,false,false,false,false,false,false,false,false,false,review-only evidence receipt concordance,policy approval; accepted row expansion; direct PRS edge20 bin use; grain-level ingestion; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-RECON-006,NODI-G2F-EDGE-GROUP-006,G2F-EDGE-EVID-006,G2E-EDGE-SKEL-006,660/W800/D900,fixed_660_gold,300,velocity_weighted,edge_norm_0p25_0p50,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,edge_05|edge_06|edge_07|edge_08|edge_09,edge_05|edge_06|edge_07|edge_08|edge_09,5,true,true,true,true,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,false,false,false,false,false,false,false,false,false,review-only evidence receipt concordance,policy approval; accepted row expansion; direct PRS edge20 bin use; grain-level ingestion; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-RECON-007,NODI-G2F-EDGE-GROUP-007,G2F-EDGE-EVID-007,G2E-EDGE-SKEL-007,660/W800/D900,fixed_660_gold,300,velocity_weighted,edge_norm_0p50_0p75,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,edge_10|edge_11|edge_12|edge_13|edge_14,edge_10|edge_11|edge_12|edge_13|edge_14,5,true,true,true,true,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,false,false,false,false,false,false,false,false,false,review-only evidence receipt concordance,policy approval; accepted row expansion; direct PRS edge20 bin use; grain-level ingestion; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-RECON-008,NODI-G2F-EDGE-GROUP-008,G2F-EDGE-EVID-008,G2E-EDGE-SKEL-008,660/W800/D900,fixed_660_gold,300,velocity_weighted,edge_norm_0p75_1p00,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,edge_15|edge_16|edge_17|edge_18|edge_19,edge_15|edge_16|edge_17|edge_18|edge_19,5,true,true,true,true,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,false,false,false,false,false,false,false,false,false,review-only evidence receipt concordance,policy approval; accepted row expansion; direct PRS edge20 bin use; grain-level ingestion; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-RECON-009,NODI-G2F-EDGE-GROUP-009,G2F-EDGE-EVID-009,G2E-EDGE-SKEL-009,660/W800/D900,per_wavelength_gold,300,residence_time_weighted,edge_norm_0p00_0p25,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,edge_00|edge_01|edge_02|edge_03|edge_04,edge_00|edge_01|edge_02|edge_03|edge_04,5,true,true,true,true,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,false,false,false,false,false,false,false,false,false,review-only evidence receipt concordance,policy approval; accepted row expansion; direct PRS edge20 bin use; grain-level ingestion; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-RECON-010,NODI-G2F-EDGE-GROUP-010,G2F-EDGE-EVID-010,G2E-EDGE-SKEL-010,660/W800/D900,per_wavelength_gold,300,residence_time_weighted,edge_norm_0p25_0p50,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,edge_05|edge_06|edge_07|edge_08|edge_09,edge_05|edge_06|edge_07|edge_08|edge_09,5,true,true,true,true,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,false,false,false,false,false,false,false,false,false,review-only evidence receipt concordance,policy approval; accepted row expansion; direct PRS edge20 bin use; grain-level ingestion; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-RECON-011,NODI-G2F-EDGE-GROUP-011,G2F-EDGE-EVID-011,G2E-EDGE-SKEL-011,660/W800/D900,per_wavelength_gold,300,residence_time_weighted,edge_norm_0p50_0p75,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,edge_10|edge_11|edge_12|edge_13|edge_14,edge_10|edge_11|edge_12|edge_13|edge_14,5,true,true,true,true,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,false,false,false,false,false,false,false,false,false,review-only evidence receipt concordance,policy approval; accepted row expansion; direct PRS edge20 bin use; grain-level ingestion; formula use; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion,Gate2H-EDGE-LOSS-ERROR-CLOSURE
