adapter_field_id,nodi_target_field_or_section,accepted_comsol_source_fields,adapter_transform,required_for_receiver_validation,template_only,is_evidence,authorization_default,allowed_use,blocked_use
NODI-G2J-ADAPTER-001,edge20_resolved_reference_rows,evidence_row_id|edge20_bin_id|edge20_reference_value|edge20_reference_units,identity_or_group_to_section,true,true,false,false,future COMSOL package import to contract validator,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-ADAPTER-002,edge4_aggregate_rows,edge4_bin_label|edge4_aggregate_value|aggregation_rule,identity_or_group_to_section,true,true,false,false,future COMSOL package import to contract validator,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-ADAPTER-003,numeric_aggregation_error_bound,numeric_error_value|error_bound_lower|error_bound_upper,identity_or_group_to_section,true,true,false,false,future COMSOL package import to contract validator,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-ADAPTER-004,numeric_error_bound_units,numeric_error_units,identity_or_group_to_section,true,true,false,false,future COMSOL package import to contract validator,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-ADAPTER-005,monotonicity_check_input,monotonicity_metric|monotonicity_direction,identity_or_group_to_section,true,true,false,false,future COMSOL package import to contract validator,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-ADAPTER-006,monotonicity_check_output,monotonicity_metric|monotonicity_allowed_exceptions,identity_or_group_to_section,true,true,false,false,future COMSOL package import to contract validator,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-ADAPTER-007,conservativeness_check_input,conservativeness_metric|conservativeness_rule,identity_or_group_to_section,true,true,false,false,future COMSOL package import to contract validator,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-ADAPTER-008,conservativeness_check_output,conservativeness_metric,identity_or_group_to_section,true,true,false,false,future COMSOL package import to contract validator,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-ADAPTER-009,reproducibility_evidence,reproducibility_group_id|source_sha256|row_identity,identity_or_group_to_section,true,true,false,false,future COMSOL package import to contract validator,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-ADAPTER-010,route_view_diameter_bin_binding,route_key|NODI_view|diameter_nm|tpd_proxy_aggregation_basis|edge4_bin_label|edge20_bin_id|edge20_definition_hash,identity_or_group_to_section,true,true,false,false,future COMSOL package import to contract validator,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-ADAPTER-011,authorization_request_flags,authorization_request_flags,identity_or_group_to_section,true,true,false,false,future COMSOL package import to contract validator,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
