schema_row_id,field_name,acceptance_requirement,current_status,accepted_context_authorized,allowed_use,blocked_use
NODI-G2L-BIND-SCHEMA-001,binding_repair_row_id,required exact binding; fail closed if absent,CONTRACT_ONLY_NOT_ACCEPTED,false,future binding repair package contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-BIND-SCHEMA-002,route_key,required exact binding; fail closed if absent,CONTRACT_ONLY_NOT_ACCEPTED,false,future binding repair package contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-BIND-SCHEMA-003,NODI_view,required exact binding; fail closed if absent,CONTRACT_ONLY_NOT_ACCEPTED,false,future binding repair package contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-BIND-SCHEMA-004,diameter_nm,required exact binding; fail closed if absent,CONTRACT_ONLY_NOT_ACCEPTED,false,future binding repair package contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-BIND-SCHEMA-005,bin_basis,required exact binding; fail closed if absent,CONTRACT_ONLY_NOT_ACCEPTED,false,future binding repair package contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-BIND-SCHEMA-006,edge20_or_aggregate_policy,required exact binding; fail closed if absent,CONTRACT_ONLY_NOT_ACCEPTED,false,future binding repair package contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-BIND-SCHEMA-007,source_alignment_row_id,required exact binding; fail closed if absent,CONTRACT_ONLY_NOT_ACCEPTED,false,future binding repair package contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-BIND-SCHEMA-008,source_artifact,required exact binding; fail closed if absent,CONTRACT_ONLY_NOT_ACCEPTED,false,future binding repair package contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-BIND-SCHEMA-009,source_sha256,required exact binding; fail closed if absent,CONTRACT_ONLY_NOT_ACCEPTED,false,future binding repair package contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-BIND-SCHEMA-010,exact_prs_grain_status,required exact binding; fail closed if absent,CONTRACT_ONLY_NOT_ACCEPTED,false,future binding repair package contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-BIND-SCHEMA-011,no_auto_map_assertion,required exact binding; fail closed if absent,CONTRACT_ONLY_NOT_ACCEPTED,false,future binding repair package contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-BIND-SCHEMA-012,authorization_flags_false,required exact binding; fail closed if absent,CONTRACT_ONLY_NOT_ACCEPTED,false,future binding repair package contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
