census_id,relative_path,sha256,file_size,safe_read_status,row_count,column_count,schema_fingerprint,matched_keywords,candidate_workstream,evidence_class_guess,safe_to_use_for_policy_review,reason_not_sufficient,claim_boundary,blocked_use,required_next_gate
NODI-G2S-CENSUS-0001,roadmap/COMSOL_GATE2B_NODI_CONTEXT_ONLY_SUPPORT_PACKET_20260627.md,c6ab4e02ef653f9a1007c99ac4b35044f857da22637e2a23e2ed95fc373f226d,5697,READ,0,0,NO_SCHEMA,GATE2|EDGE|EDGE20|EDGE4|QCH|FLOW|TPD|PRS|NODI|BINDING|TRANSPORTED|LOCAL_Q|V4|CLOG|ROUTE|DIAMETER|BIN,QCH,document_or_unknown_review_only,false,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,repo-census review-only; not evidence acceptance,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion,Gate2X-QCH formal sidecar receipt
NODI-G2S-CENSUS-0002,roadmap/COMSOL_GATE2A_NODI_BINDING_PACKET_20260627.md,0752f16a591b056142bef6e88368c5df352a71f59dfab998d9ce81f796312f28,8433,READ,0,0,NO_SCHEMA,GATE2|EDGE|EDGE20|EDGE4|QCH|TPD|PRS|NODI|BINDING|TRANSPORTED|V4|CLOG|ROUTE|DIAMETER|BIN,QCH,document_or_unknown_review_only,false,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,repo-census review-only; not evidence acceptance,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion,Gate2X-QCH formal sidecar receipt
NODI-G2S-CENSUS-0003,roadmap/COMSOL_GATE2C_BINDING_ALIGNMENT_MASTER_PACKET_20260628.md,288ad84de5bb59a54a77ac0edf57a49b15f1b4f9c0777f75056df968997984d1,3815,READ,0,0,NO_SCHEMA,GATE2|EDGE|EDGE20|EDGE4|QCH|FLOW|TPD|PRS|NODI|BINDING|TRANSPORTED|V4|CLOG|ROUTE|BIN,QCH,document_or_unknown_review_only,false,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,repo-census review-only; not evidence acceptance,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion,Gate2X-QCH formal sidecar receipt
NODI-G2S-CENSUS-0004,roadmap/COMSOL_GATE2_NODI_CONTEXT_EXPORT_PACKET_20260627.md,0193b46ada58b0de497505976efd88bbeab2ed1e3960d5ddae2cdeef9951bf67,8574,READ,0,0,NO_SCHEMA,GATE2|EDGE|EDGE20|QCH|TPD|PRS|NODI|TRANSPORTED|LOCAL_Q|V4|CLOG|ROUTE|DIAMETER|BIN,QCH,document_or_unknown_review_only,false,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,repo-census review-only; not evidence acceptance,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion,Gate2X-QCH formal sidecar receipt
NODI-G2S-CENSUS-0005,roadmap/COMSOL_GATE2E_EXPANSION_WORKSTREAM_MASTER_PLAN_20260628.md,6183decc9d9eac30f5ab591141d10bc087c9acd9b6885cd75fc5a2cae00d17ce,2076,READ,0,0,NO_SCHEMA,GATE2|EDGE|EDGE20|EDGE4|QCH|FLOW|TPD|PRS|NODI|BINDING|CLOG|ROUTE|DIAMETER|BIN,QCH,document_or_unknown_review_only,false,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,repo-census review-only; not evidence acceptance,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion,Gate2X-QCH formal sidecar receipt
NODI-G2S-CENSUS-0006,roadmap/COMSOL_GATE2E_MINIMAL_DELIVERABLE_MASTER_PACKET_20260628.md,0d2d87056d7ab9fdad858d59b472949d42f79e25c3c92f1ac8b8b8987a8401c8,2087,READ,0,0,NO_SCHEMA,GATE2|EDGE|EDGE20|EDGE4|QCH|FLOW|TPD|PRS|NODI|BINDING|CLOG|ROUTE|BIN,QCH,document_or_unknown_review_only,false,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,repo-census review-only; not evidence acceptance,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion,Gate2X-QCH formal sidecar receipt
NODI-G2S-CENSUS-0007,roadmap/COMSOL_GATE2B_NODI_ALLOWED_CONTEXT_ROWS_20260627.csv,8b14a5b0f56107d496d385861028706f2eef3229ecb32b975ffadc1ad8d4b554,114415,READ,80,29,afff00a8f8e63c9b07c80a8076d43b7be908de180e1dfffb760e24bbfd5c2c3b,GATE2|EDGE|EDGE20|EDGE4|QCH|TPD|NODI|BINDING|ROUTE|DIAMETER|BIN,QCH,data_table_review_only,false,missing NODI-required binding/provenance fields: row_identity,repo-census review-only; not evidence acceptance,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion,Gate2X-QCH formal sidecar receipt
NODI-G2S-CENSUS-0008,roadmap/COMSOL_GATE2C_TPD_BINDING_SCHEMA_ALIGNMENT_20260628.csv,be284ef9b5e3056df80b3f834c82d50d1248bf3577c3b001ed8a22a319de1918,155845,READ,144,26,97b43e695c1c1e6553f513154db9d7979387b54635ad544ea78dddb7a6007b23,GATE2|EDGE|EDGE20|EDGE4|TPD|PRS|NODI|BINDING|ROUTE|DIAMETER|BIN,BINDING,data_table_review_only,false,missing NODI-required binding/provenance fields: route_key|row_identity,repo-census review-only; not evidence acceptance,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion,Gate2X-BINDING repair receipt
NODI-G2S-CENSUS-0009,roadmap/COMSOL_GATE2G_EDGE_LOSS_ERROR_CLOSURE_MASTER_PACKET_20260628.md,aa0c9f1bf1540c53265ed6edca594a30617660906c231125c109989924b4d01b,2909,READ,0,0,NO_SCHEMA,GATE2|EDGE|EDGE20|EDGE4|QCH|TPD|PRS|NODI|BINDING|V4|BIN,QCH,document_or_unknown_review_only,false,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,repo-census review-only; not evidence acceptance,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion,Gate2X-QCH formal sidecar receipt
NODI-G2S-CENSUS-0010,roadmap/COMSOL_GATE2H_GATE2I_EDGE_CLOSURE_CONTRACT_MASTER_PACKET_20260628.md,2a49ea0e1a9f7adc2c711e40cd028ce124c5a9b035ed561c83ced7dd9ab05f4c,3005,READ,0,0,NO_SCHEMA,GATE2|EDGE|EDGE20|QCH|PRS|NODI|BINDING|CLOG|ROUTE|DIAMETER|BIN,QCH,document_or_unknown_review_only,false,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,repo-census review-only; not evidence acceptance,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion,Gate2X-QCH formal sidecar receipt
NODI-G2S-CENSUS-0011,roadmap/COMSOL_GATE2I_EDGE_CLOSURE_EVIDENCE_PACKAGE_TEMPLATE_20260628.csv,e7b75dfa0d8ef90e1e67c4f2c7fffc179c1432bb13a80f1d5a90a63dc7b2d64d,27846,READ,20,41,cad87a47215f365b1802a5409270d6718d9e9cb989e844cf66e49395ee7f3db0,GATE2|EDGE|EDGE20|EDGE4|QCH|TPD|PRS|NODI|ROUTE|DIAMETER|BIN,QCH,template_or_synthetic_not_evidence,false,template_or_synthetic_not_evidence; not direct evidence,repo-census review-only; not evidence acceptance,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion,Gate2X-QCH formal sidecar receipt
NODI-G2S-CENSUS-0012,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_PACKAGE_TEMPLATE_V2_20260628.csv,8d979bc39f506d83912ba829f898deed0b1f65425a32ca4326d233c8687ee081,27849,READ,20,40,12579ee84a7c0d8bcccf144c5beffdae1ea82c6215964c88d44aa86c77a46bd5,GATE2|EDGE|EDGE20|EDGE4|QCH|TPD|PRS|NODI|ROUTE|DIAMETER|BIN,QCH,template_or_synthetic_not_evidence,false,template_or_synthetic_not_evidence; not direct evidence,repo-census review-only; not evidence acceptance,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS; JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion,Gate2X-QCH formal sidecar receipt
