rc2_field_id,field_name,present_in_nodi_rc1,present_in_comsol_rc1,conformance_status,blocking_mismatch
RC2-FIELD-0001,NODI_view,true,true,MATCH,false
RC2-FIELD-0002,NODI_view_current,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0003,accepted_context_authorized,true,false,NODI_STRICTER,false
RC2-FIELD-0004,accepted_row_expansion_authorized,true,false,NODI_STRICTER,false
RC2-FIELD-0005,aggregation_rule,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0006,allowed_use,true,true,MATCH,false
RC2-FIELD-0007,auto_map_authorized,true,false,NODI_STRICTER,false
RC2-FIELD-0008,bin_basis,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0009,binding_template_row_id,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0010,blocked_use,true,true,MATCH,false
RC2-FIELD-0011,blocker_type,true,true,MATCH,false
RC2-FIELD-0012,can_be_done_without_new_comsol_solve,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0013,chi_selected_authorized,true,false,NODI_STRICTER,false
RC2-FIELD-0014,conservativeness_metric,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0015,conservativeness_rule,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0016,current_blocker,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0017,current_status,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0018,diameter_nm,true,true,MATCH,false
RC2-FIELD-0019,direct_prs_bin_use_authorized,true,false,NODI_STRICTER,false
RC2-FIELD-0020,edge20_bin_id,true,true,MATCH,false
RC2-FIELD-0021,edge20_definition_hash,true,true,MATCH,false
RC2-FIELD-0022,edge20_reference_units,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0023,edge20_reference_value,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0024,edge4_aggregate_value,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0025,edge4_bin_label,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0026,error_bound_lower,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0027,error_bound_upper,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0028,flow_split_units,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0029,flow_split_value,true,true,MATCH,false
RC2-FIELD-0030,formula_use_authorized,true,false,NODI_STRICTER,false
RC2-FIELD-0031,gate2k_template_row_id,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0032,grain_level_ingestion_authorized,true,false,NODI_STRICTER,false
RC2-FIELD-0033,integration_surface_or_volume_definition,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0034,is_formal_gate2_qch_sidecar,true,false,NODI_STRICTER,false
RC2-FIELD-0035,jrc_authorized,true,false,NODI_STRICTER,false
RC2-FIELD-0036,monotonicity_allowed_exceptions,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0037,monotonicity_direction,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0038,monotonicity_metric,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0039,normalization_basis,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0040,not_evidence,true,true,MATCH,false
RC2-FIELD-0041,numeric_error_units,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0042,numeric_error_value,true,true,MATCH,false
RC2-FIELD-0043,package_id,true,true,MATCH,false
RC2-FIELD-0044,policy_use_requested,true,false,NODI_STRICTER,false
RC2-FIELD-0045,production_ingestion_authorized,true,false,NODI_STRICTER,false
RC2-FIELD-0046,provenance_id,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0047,q_ch_units,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0048,q_ch_value,true,true,MATCH,false
RC2-FIELD-0049,qch_chi_eta_authorized,true,false,NODI_STRICTER,false
RC2-FIELD-0050,qch_eta_authorized,true,false,NODI_STRICTER,false
RC2-FIELD-0051,qch_template_row_id,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0052,qch_weighting_authorized,true,false,NODI_STRICTER,false
RC2-FIELD-0053,reproducibility_group_id,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0054,required_comsol_export_change,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0055,required_next_gate,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0056,required_nodi_policy,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0057,requires_new_comsol_solve,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0058,route_key,true,true,MATCH,false
RC2-FIELD-0059,route_key_candidate,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0060,row_identity,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0061,runtime_configuration_authorized,true,false,NODI_STRICTER,false
RC2-FIELD-0062,schema_version,true,true,MATCH,false
RC2-FIELD-0063,source_artifact,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0064,source_geometry_hash,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0065,source_sha256,true,true,MATCH,false
RC2-FIELD-0066,source_solve_id,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0067,synthetic_fixture_status,false,true,ADAPTER_REQUIRED,false
RC2-FIELD-0068,template_only,true,true,MATCH,false
RC2-FIELD-0069,tpd_proxy_aggregation_basis,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0070,uncertainty_flag,true,false,ADAPTER_REQUIRED,false
RC2-FIELD-0071,workstream,false,true,ADAPTER_REQUIRED,false
