scan_id,source_side,path,field_name,context_classification,drift_status
NODI-G2W-AUTH-00001,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,policy_approved,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00002,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,policy_use_requested,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00003,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,policy_use_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00004,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,formula_use_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00005,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,direct_prs_bin_use_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00006,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,grain_level_ingestion_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00007,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,accepted_row_expansion_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00008,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,accepted_context_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00009,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,auto_map_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00010,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,qch_weighting_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00011,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,qch_eta_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00012,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,qch_chi_eta_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00013,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,chi_selected_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00014,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,jrc_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00015,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,yield_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00016,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,winner_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00017,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,detection_probability_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00018,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,production_ingestion_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00019,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,runtime_configuration_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00020,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,is_formal_gate2_qch_sidecar,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00021,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,is_chi_selected,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00022,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,is_production_ingestion,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00023,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ACCEPTANCE_CHECKLIST_20260628.csv,is_runtime_configuration,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00024,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,policy_approved,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00025,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,policy_use_requested,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00026,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,policy_use_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00027,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,formula_use_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00028,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,direct_prs_bin_use_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00029,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,grain_level_ingestion_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00030,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,accepted_row_expansion_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00031,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,accepted_context_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00032,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,auto_map_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00033,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,qch_weighting_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00034,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,qch_eta_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00035,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,qch_chi_eta_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00036,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,chi_selected_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00037,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,jrc_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00038,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,yield_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00039,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,winner_authorized,definition_context,PASS_FALSE_OR_ABSENT
NODI-G2W-AUTH-00040,NODI,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2C_ALLOWED_SUPPORT_ROW_ACCEPTANCE_20260628.csv,detection_probability_authorized,definition_context,PASS_FALSE_OR_ABSENT
