identity_id,normalized_path,present_in_nodi_rescan,present_in_comsol_sx,nodi_sha256,comsol_sha256,reconciliation_status,delta_class,authorization_impact
G2Y-ID-0001,full_chip/dwg_analysis/FULL_CHIP_ACCEPTED_MODEL_STATE.md,false,true,,0d4d06ce3e6d2c4cef0a8c331408f3b4d72ebc9244ac74de444a0190f05f7690,ADAPTER_OR_SCOPE_DELTA,path_normalization_or_scan_scope_difference,none
G2Y-ID-0002,full_chip/dwg_analysis/FULL_CHIP_BONDED_STACK_GEOMETRY_CONTRACT_STAGE115.md,false,true,,cbfd1e4e909100ab0ef18dc5f722d66a2860a90ae065ae1a2a876032f5fd7f4f,ADAPTER_OR_SCOPE_DELTA,path_normalization_or_scan_scope_difference,none
G2Y-ID-0003,full_chip/dwg_analysis/FULL_CHIP_MODEL_LOCK_AND_ROADMAP.md,false,true,,4ecdc01d416bedff6f6358dc36e793989bcdd6390aa499e34234d47c8509dbd1,ADAPTER_OR_SCOPE_DELTA,path_normalization_or_scan_scope_difference,none
G2Y-ID-0004,full_chip/dwg_analysis/FULL_CHIP_P0F_DIRECT100CH_FEASIBILITY_ASSESSMENT_20260609.md,false,true,,cd57e6178ea42771f283fc2a951d086fef57836abbb140cfb4d6a8aec97827f1,ADAPTER_OR_SCOPE_DELTA,path_normalization_or_scan_scope_difference,none
G2Y-ID-0005,full_chip/dwg_analysis/FULL_CHIP_P0F_EVIDENCE_UPGRADE_DECISION_20260609.md,false,true,,ee7cc36f5b99cce022fbabc330edfd5af90c9c82416d4c2abaec365c11b196af,ADAPTER_OR_SCOPE_DELTA,path_normalization_or_scan_scope_difference,none
G2Y-ID-0006,full_chip/dwg_analysis/FULL_CHIP_P0F_STEPB_BRIDGE_ANALYSIS_20260609.md,false,true,,54e322559e4053ede2205411b81dd2f02bc4b58c8010022a4a436e9ee69aed96,ADAPTER_OR_SCOPE_DELTA,path_normalization_or_scan_scope_difference,none
G2Y-ID-0007,full_chip/dwg_analysis/FULL_CHIP_P0F_WITHINGROUP_POSITION_DIAGNOSTIC_20260609.md,false,true,,f3e339e2c05cf527afbac931822dc7fc93e64c02436cab43844abe89162545b9,ADAPTER_OR_SCOPE_DELTA,path_normalization_or_scan_scope_difference,none
G2Y-ID-0008,full_chip/dwg_analysis/FULL_CHIP_PRE_EXPERIMENTAL_MODELING_COMPLETION_BRIEF_FOR_EXTERNAL_AI_REVIEW.md,true,true,ed96662d03c9b13d94330cd89760f75e3cce86930b16290c778297ca4f7436dc,ed96662d03c9b13d94330cd89760f75e3cce86930b16290c778297ca4f7436dc,MATCH,none,none
G2Y-ID-0009,full_chip/dwg_analysis/FULL_CHIP_REBUILD_AND_RECALCULATION_ROADMAP_STAGE116_PLUS.md,true,true,cf3ea7d58f5e271d04f83a9de506e1e433b8f3fd3d908d38786eaf3ab28da158,cf3ea7d58f5e271d04f83a9de506e1e433b8f3fd3d908d38786eaf3ab28da158,MATCH,none,none
G2Y-ID-0010,full_chip/dwg_analysis/FULL_CHIP_SIDEWALL_DEPTH_EV_MODULE_CASE_SELECTION_20260609.md,false,true,,3d6c60c6a25123c281b85a0d1a90c03afb2e2f5ac32f50063634e0414e1106a6,ADAPTER_OR_SCOPE_DELTA,path_normalization_or_scan_scope_difference,none
G2Y-ID-0011,full_chip/dwg_analysis/FULL_CHIP_SIDEWALL_DEPTH_EV_MODULE_MIXTURE_OVERLAY_20260609.md,false,true,,f6e37f9624e5d25ee1b19f4ab4ceab67dc14b87f1641e6ba614a07b526ea0248,ADAPTER_OR_SCOPE_DELTA,path_normalization_or_scan_scope_difference,none
G2Y-ID-0012,full_chip/dwg_analysis/FULL_CHIP_SIDEWALL_DEPTH_EV_MODULE_REMAINING10_QUEUE_20260610.md,false,true,,ba3ce540f62d5d6352813fc5fa6bc8e0c4860d3c657a0508c4b98007b88089e4,ADAPTER_OR_SCOPE_DELTA,path_normalization_or_scan_scope_difference,none
G2Y-ID-0013,full_chip/dwg_analysis/FULL_CHIP_SIDEWALL_DEPTH_EV_MODULE_REMAINING10_SHORTLIST_20260610.md,false,true,,03c1de27c5ac7ae4bc3d4af24f0a89381a29adba1699c8f2c7081c67d9bb39ce,ADAPTER_OR_SCOPE_DELTA,path_normalization_or_scan_scope_difference,none
G2Y-ID-0014,full_chip/dwg_analysis/FULL_CHIP_SIDEWALL_DEPTH_EV_MODULE_TRANSPORT_SUMMARY_20260609.md,false,true,,c44ad5d13626044cb1953802b4458a877309596f5af03ad644e056d522ea9830,ADAPTER_OR_SCOPE_DELTA,path_normalization_or_scan_scope_difference,none
G2Y-ID-0015,full_chip/dwg_analysis/FULL_CHIP_SIDEWALL_DEPTH_EV_MODULE_TRANSPORT_SUMMARY_20260610_wave1plus2allbins.md,false,true,,34690d053c234fbb4fe8cc8930da9b29aa84e3740a8f77124b0011f852e8897f,ADAPTER_OR_SCOPE_DELTA,path_normalization_or_scan_scope_difference,none
