classification_delta_id,path,nodi_workstream,comsol_workstream,delta_class,resolution,authorization_impact
G2Y-CLASS-0001,full_chip/dwg_analysis/FULL_CHIP_PRE_EXPERIMENTAL_MODELING_COMPLETION_BRIEF_FOR_EXTERNAL_AI_REVIEW.md,QCH,strong-claim,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0002,full_chip/dwg_analysis/FULL_CHIP_REBUILD_AND_RECALCULATION_ROADMAP_STAGE116_PLUS.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0003,full_chip/dwg_analysis/FULL_CHIP_SIMULATION_ONLY_EXTREME_MODELING_COMPLETION_BRIEF.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0004,full_chip/dwg_analysis/FULL_CHIP_STAGE123_FROZEN_FLOW_TDS_REVIEW.md,QCH,strong-claim,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0005,full_chip/dwg_analysis/FULL_CHIP_STAGE12_EV_TRANSPORT_SURFACE_CLOGGING_REVIEW.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0006,full_chip/dwg_analysis/FULL_CHIP_STAGE139_TO_141_RISK_FIRST_SIMULATION_ROADMAP_AFTER_CLAUDE.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0007,full_chip/dwg_analysis/FULL_CHIP_STAGE13_SURFACE_AGGREGATION_CLOGGING_SENSITIVITY.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0008,full_chip/dwg_analysis/FULL_CHIP_STAGE143_CORRECTION_ROADMAP_AFTER_CLAUDE.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0009,full_chip/dwg_analysis/FULL_CHIP_STAGE147_CORRECTED_RISK_FIRST_MASTER_DOCUMENT.md,QCH,strong-claim,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0010,full_chip/dwg_analysis/FULL_CHIP_STAGE148_CORRECTED_SENSITIVITY_OVERLAY_REVIEW.md,QCH,EDGE,classification_rule_difference,adapter gap only; no policy or authorization effect,none
G2Y-CLASS-0011,full_chip/dwg_analysis/FULL_CHIP_STAGE149_COMPLETE_CORRECTED_SIMULATION_MASTER_DOCUMENT.md,QCH,BINDING,classification_rule_difference,adapter gap only; no policy or authorization effect,none
