dossier_id,artifact_id,path,sha256,row_count,columns,sample_row_count_read,sample_row_policy,workstream,candidate_claim,required_fields_present,missing_required_fields,units_status,normalization_status,route_view_diameter_bin_binding_status,source_sha_provenance_status,row_identity_status,hash_stability_status,can_close_existing_work_order,can_close_reason,blocked_use,required_next_gate
G2Z-DOSSIER-0046,NODI-G2Y-CENSUS-0012,roadmap/COMSOL_GATE2C_TPD_BINDING_SCHEMA_ALIGNMENT_20260628.csv,be284ef9b5e3056df80b3f834c82d50d1248bf3577c3b001ed8a22a319de1918,144,gate2c_row_id|source_family|source_artifact|source_sha256|source_row_count|source_row_identity|width_family|depth_family|route_key_candidate|NODI_view|NODI_view_binding_status|UNBOUND_reason_if_any|diameter_nm|diameter_binding_status|weighting_basis|bin_basis|tpd_edge_bin_label|edge4_to_edge20_policy|PRS_exact_match_claim|artifact_level_context_candidate|grain_level_ingestion_authorized|allowed_use|blocked_use|claim_boundary|recommended_nodi_action|required_next_gate,3,bounded_first_3_rows_not_evidence,BINDING,"route/view/diameter/bin binding candidate, fail-closed until exact",source_sha256|NODI_view|diameter_nm|bin_basis,row_identity|route_key|exact_binding_status|binding_policy|no_auto_map,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,IMPLICIT_HINT_PRESENT_NOT_ACCEPTED,PRESENT_REVIEW_REQUIRED,PRESENT_REVIEW_REQUIRED,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2E_BINDING_EXACT_REPAIR_EVIDENCE
G2Z-DOSSIER-0047,NODI-G2Y-CENSUS-0042,roadmap/COMSOL_GATE2A_NODI_BINDING_CROSSWALK_20260627.csv,8ee93881e2bb39ecc19b59ce5637408576d0d83b1590ef103c56b94cadd95465,149,comsol_artifact_id|comsol_artifact_path|sha256|row_count|comsol_gate_id|comsol_status|evidence_class|width_or_route_family|depth_or_channel_family|diameter_nm|tpd_bin_basis|tpd_bin_label|nodi_route_key_candidate|nodi_view_binding_status|nodi_diameter_binding_status|nodi_bin_binding_status|exact_nodi_prs_match_claim|required_nodi_review|allowed_use|blocked_use|recommended_nodi_reconciled_status|blocker_reason,3,bounded_first_3_rows_not_evidence,BINDING,"route/view/diameter/bin binding candidate, fail-closed until exact",diameter_nm,source_sha256|row_identity|route_key|NODI_view|bin_basis|exact_binding_status|binding_policy|no_auto_map,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,IMPLICIT_HINT_PRESENT_NOT_ACCEPTED,PRESENT_REVIEW_REQUIRED,PRESENT_REVIEW_REQUIRED,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2E_BINDING_EXACT_REPAIR_EVIDENCE
G2Z-DOSSIER-0048,NODI-G2Y-CENSUS-0043,roadmap/COMSOL_GATE2B_TPD_BINDING_REPAIR_PLAN_20260627.csv,494898651a978e17c279c2a5d74c43dfd6829c28ca6dc59a71e8ef4af5096183,65,tpd_case_or_artifact_id|width_family|depth_family|diameter_nm|weighting_basis|edge_bin_label|current_status|missing_binding|can_fix_without_new_comsol_solve|requires_nodi_prs_recheck|requires_new_comsol_export|requires_new_comsol_solve|proposed_next_artifact|proposed_gate|blocked_until|notes,3,bounded_first_3_rows_not_evidence,BINDING,"route/view/diameter/bin binding candidate, fail-closed until exact",diameter_nm,source_sha256|row_identity|route_key|NODI_view|bin_basis|exact_binding_status|binding_policy|no_auto_map,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,PRESENT_REVIEW_REQUIRED,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2E_BINDING_EXACT_REPAIR_EVIDENCE
G2Z-DOSSIER-0049,NODI-G2Y-CENSUS-0067,roadmap/COMSOL_GATE2E_TPD_BINDING_REPAIR_MINIMAL_SKELETON_20260628.csv,95bbe32983ee35fae8f7b793ae88b346a78a2434e0ee8683b33d36a851edfd5e,4,binding_repair_row_id|blocker_type|source_artifact|source_sha256|route_key_candidate|NODI_view_current|diameter_nm|bin_basis|current_blocker|required_nodi_policy|required_comsol_export_change|can_be_done_without_new_comsol_solve|requires_new_comsol_solve|auto_map_authorized|accepted_context_authorized|allowed_use|blocked_use|required_next_gate,3,bounded_first_3_rows_not_evidence,BINDING,"route/view/diameter/bin binding candidate, fail-closed until exact",source_sha256|diameter_nm|bin_basis,row_identity|route_key|NODI_view|exact_binding_status|binding_policy|no_auto_map,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,IMPLICIT_HINT_PRESENT_NOT_ACCEPTED,PRESENT_REVIEW_REQUIRED,PRESENT_REVIEW_REQUIRED,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2E_BINDING_EXACT_REPAIR_EVIDENCE
G2Z-DOSSIER-0050,NODI-G2Y-CENSUS-0068,roadmap/COMSOL_GATE2E_TPD_BINDING_REPAIR_PACKET_20260628.md,926fb3d236cfbc38636075ee541a4c4faee7c9148ba39a6530260b98273ad75c,0,,0,bounded_first_3_rows_not_evidence,BINDING,"route/view/diameter/bin binding candidate, fail-closed until exact",,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis|exact_binding_status|binding_policy|no_auto_map,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2E_BINDING_EXACT_REPAIR_EVIDENCE
G2Z-DOSSIER-0051,NODI-G2Y-CENSUS-0097,roadmap/COMSOL_GATE2C_TPD_BINDING_SCHEMA_ALIGNMENT_PACKET_20260628.md,a211a8a4d86d90e1d53553cabd07d047aacdf1ec51238db9d6d8f1e795692aac,0,,0,bounded_first_3_rows_not_evidence,BINDING,"route/view/diameter/bin binding candidate, fail-closed until exact",,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis|exact_binding_status|binding_policy|no_auto_map,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2E_BINDING_EXACT_REPAIR_EVIDENCE
G2Z-DOSSIER-0052,NODI-G2Y-CENSUS-0098,roadmap/COMSOL_GATE2L_BINDING_REPAIR_TEMPLATE_V2_20260628.csv,87600a4ebdc2b382fb92643126bc56eba907dfd69b1cfafa0ed5776548fbdc19,4,binding_template_row_id|template_only|not_evidence|blocker_type|source_artifact|source_sha256|route_key_candidate|NODI_view_current|diameter_nm|bin_basis|current_blocker|required_nodi_policy|required_comsol_export_change|can_be_done_without_new_comsol_solve|requires_new_comsol_solve|auto_map_authorized|accepted_context_authorized|formula_use_authorized|production_ingestion_authorized|runtime_configuration_authorized|required_next_gate|allowed_use|blocked_use,3,bounded_first_3_rows_not_evidence,BINDING,"route/view/diameter/bin binding candidate, fail-closed until exact",source_sha256|diameter_nm|bin_basis,row_identity|route_key|NODI_view|exact_binding_status|binding_policy|no_auto_map,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,PRESENT_REVIEW_REQUIRED,PRESENT_REVIEW_REQUIRED,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2E_BINDING_EXACT_REPAIR_EVIDENCE
G2Z-DOSSIER-0053,NODI-G2Y-CENSUS-0099,roadmap/COMSOL_GATE2P_BINDING_SYNTHETIC_SCHEMA_PACKAGE_20260628.csv,d0d3cc17eabce79d9c1c21aef305b99786be6da42bf2713e4d46e3d7acae5b3b,4,synthetic_binding_row_id|synthetic_fixture_status|template_only|not_evidence|blocker_type|route_key_candidate|NODI_view_current|diameter_nm|source_sha256|auto_map_authorized|accepted_context_authorized|grain_level_ingestion_authorized|allowed_use|blocked_use,3,bounded_first_3_rows_not_evidence,BINDING,"route/view/diameter/bin binding candidate, fail-closed until exact",source_sha256|diameter_nm,row_identity|route_key|NODI_view|bin_basis|exact_binding_status|binding_policy|no_auto_map,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,PRESENT_REVIEW_REQUIRED,PRESENT_REVIEW_REQUIRED,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2E_BINDING_EXACT_REPAIR_EVIDENCE
G2Z-DOSSIER-0054,NODI-G2Y-CENSUS-0100,roadmap/COMSOL_GATE2Z_EDGE_CANDIDATE_DOSSIERS_20260628.csv,14903b4d8e6c72e4f79d1d651c95446223285304ab8e8b4e29049628485244dc,60,dossier_id|artifact_id|path|sha256|row_count|columns|sample_row_count_read|sample_policy|workstream|candidate_claim|required_fields_present|missing_required_fields|units_status|normalization_status|route_view_diameter_bin_binding_status|source_sha_provenance_status|row_identity_status|hash_stability_status|can_close_work_order|can_close_reason|blocked_use|required_next_gate,3,bounded_first_3_rows_not_evidence,BINDING,"route/view/diameter/bin binding candidate, fail-closed until exact",,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis|exact_binding_status|binding_policy|no_auto_map,PRESENT_REVIEW_REQUIRED,PRESENT_REVIEW_REQUIRED,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,PRESENT_REVIEW_REQUIRED,PRESENT_REVIEW_REQUIRED,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2E_BINDING_EXACT_REPAIR_EVIDENCE
G2Z-DOSSIER-0055,NODI-G2Y-CENSUS-0101,roadmap/EV_PBS_CODE_MODEL_REVIEW_ROUND22_PRIOR_MONTE_CARLO_GOVERNANCE_20260628.md,8b8c23a7997215481c74d3f79ee2e7d0c0afefad2bf599a8f50f2ee0cb109e8b,0,,0,bounded_first_3_rows_not_evidence,BINDING,"route/view/diameter/bin binding candidate, fail-closed until exact",,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis|exact_binding_status|binding_policy|no_auto_map,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2E_BINDING_EXACT_REPAIR_EVIDENCE
