dossier_id,artifact_id,path,sha256,row_count,columns,sample_row_count_read,sample_row_policy,workstream,candidate_claim,required_fields_present,missing_required_fields,units_status,normalization_status,route_view_diameter_bin_binding_status,source_sha_provenance_status,row_identity_status,hash_stability_status,can_close_existing_work_order,can_close_reason,blocked_use,required_next_gate
G2Z-DOSSIER-0061,NODI-G2Y-CENSUS-0155,roadmap/EV_PBS_DWG_ANALYSIS_P1_SCRIPT_QUEUE_SURFACE_TRIAGE_ROUND30_20260628.md,b5a5e7f23fa4421446736e26882bce6929c672f34e70e4c3a199f5fdba50b5f7,0,,0,bounded_first_3_rows_not_evidence,V4,V4 claim ceiling review-only candidate,,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2_REVIEW_ONLY_TRIAGE
G2Z-DOSSIER-0062,NODI-G2Y-CENSUS-0361,roadmap/EV_PBS_HISTORICAL_RUNNABLE_QUEUE_QUARANTINE_REVIEW_ROUND27_20260628.md,f949b1a7a5b58fcf3391d4378d00bc219db28ae57dbe8622a0f67f064b822137,0,,0,bounded_first_3_rows_not_evidence,LOCAL_Q,local-Q diagnostic review-only candidate,,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2_REVIEW_ONLY_TRIAGE
G2Z-DOSSIER-0063,NODI-G2Y-CENSUS-0362,roadmap/EV_PBS_CODE_MODEL_REVIEW_ROUND12_V4_NORMAL_WALL_TAU_RUNNER_20260628.md,00c411d1ad914a3346183dfa1604dce8568c01433e52f23534c68466d88d72a3,0,,0,bounded_first_3_rows_not_evidence,V4,V4 claim ceiling review-only candidate,,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2_REVIEW_ONLY_TRIAGE
G2Z-DOSSIER-0064,NODI-G2Y-CENSUS-0363,roadmap/EV_PBS_SAMPLE_SURFACE_CANONICAL_CONTRACT_V4_PACKET_20260627.md,104511f70b8fb4a490612a2fbde729044f29e5aaf77975eef023756525f72a53,0,,0,bounded_first_3_rows_not_evidence,V4,V4 claim ceiling review-only candidate,,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2_REVIEW_ONLY_TRIAGE
G2Z-DOSSIER-0065,NODI-G2Y-CENSUS-0364,roadmap/EV_PBS_V4_NON_NANO_MAINLINE_REBIND_AUDIT_PACKET_20260627.md,f9a09953ba2169e68acf8751e0f6b1e8b8c45a9e0492e4b971ed2d9c24187703,0,,0,bounded_first_3_rows_not_evidence,V4,V4 claim ceiling review-only candidate,,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2_REVIEW_ONLY_TRIAGE
G2Z-DOSSIER-0066,NODI-G2Y-CENSUS-0365,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_FOCUSED_WATCH_SUBSET_PACKET_20260628.md,67b01c3e9f04fb8740c29c3843ab0680130172e70c987a6b77bbbde18dd1831e,0,,0,bounded_first_3_rows_not_evidence,V4,V4 claim ceiling review-only candidate,,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2_REVIEW_ONLY_TRIAGE
G2Z-DOSSIER-0067,NODI-G2Y-CENSUS-0366,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_MAINLINE_ROUTE_REFRESH_PACKET_20260628.md,d504b4323be094ef7392cb01757bac8655ed2ae86093422c79c15d3726e9ef07,0,,0,bounded_first_3_rows_not_evidence,V4,V4 claim ceiling review-only candidate,,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2_REVIEW_ONLY_TRIAGE
G2Z-DOSSIER-0068,NODI-G2Y-CENSUS-0367,roadmap/NANO_ENTRANCE_FILTER_V4_FQ_DESCRIPTOR_CLOSURE_OVERLAY_PACKET_20260627.md,c2e04548da0bcf4a042bc15e8aa2269d84987a704d0ef8fe098fa07e2c5cfe68,0,,0,bounded_first_3_rows_not_evidence,V4,V4 claim ceiling review-only candidate,,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2_REVIEW_ONLY_TRIAGE
G2Z-DOSSIER-0069,NODI-G2Y-CENSUS-0368,roadmap/NANO_ENTRANCE_FILTER_V4_STAGE1_WET_ROUGH_DESCRIPTOR_SCREEN_PACKET_20260627.md,3b6604e5d6d246ff5099f1f8232e558e6aeb7c13b691495a0db5e7ef254615d2,0,,0,bounded_first_3_rows_not_evidence,V4,V4 claim ceiling review-only candidate,,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2_REVIEW_ONLY_TRIAGE
G2Z-DOSSIER-0070,NODI-G2Y-CENSUS-0369,roadmap/NODI_PRS_V1_1_RESPONSE_EXTENSION_REVIEW_20260621.md,797984c73819f8f7e5391bc79637692bd330f248e86517eaa09f01055f6c2997,0,,0,bounded_first_3_rows_not_evidence,V4,V4 claim ceiling review-only candidate,,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2_REVIEW_ONLY_TRIAGE
