gate2b_context_row_id,source_artifact,source_sha256,source_row_count,source_row_identity,source_row_type,route_key,candidate_route_family,NODI_view,nodi_view_binding_status,diameter_nm,bin_basis,tpd_bin_label,edge4_to_edge20_policy,allowed_use,blocked_use,is_chi_selected,qch_weighting_authorized,jrc_authorized,production_ingestion_authorized,runtime_configuration_authorized,recommended_gate2b_status,required_nodi_review,source_crosswalk_status,blocker_preserved,gate2b_artifact_level_context_candidate,gate2b_grain_level_context_ingestion_authorized,grain_level_ingestion_policy,nodi_automation_binding_status
G2B_ALLOWED_CTX_001,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,8f2be800709a2332ddecca6e43e1ccc619aa93b502eeeb0bffb5b41f9e8a6381,16,CHI_CTX_AGG_660/W800/D1200_A87_220_fixed_660_gold_residence_time_weighted,proxy_aggregate,660/W800/D1200,W800,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,false,false,false,false,false,GATE2B_ALLOWED_CONTEXT_ONLY_PARTIAL_PROXY,NODI must recheck current PRS production artifact route/view/diameter/bin coverage and preserve context-only claim boundary,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,Proxy aggregate context only; not direct PRS bin and not chi_selected,true,false,AGGREGATE_PROXY_NO_BIN_GRAIN_AUTHORIZATION; NODI exact grain review required,ARTIFACT_LEVEL_ONLY_EXACT_GRAIN_NOT_CLAIMED_BY_COMSOL
G2B_ALLOWED_CTX_002,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,8f2be800709a2332ddecca6e43e1ccc619aa93b502eeeb0bffb5b41f9e8a6381,16,CHI_CTX_AGG_660/W800/D1200_A87_220_fixed_660_gold_velocity_weighted,proxy_aggregate,660/W800/D1200,W800,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,false,false,false,false,false,GATE2B_ALLOWED_CONTEXT_ONLY_PARTIAL_PROXY,NODI must recheck current PRS production artifact route/view/diameter/bin coverage and preserve context-only claim boundary,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,Proxy aggregate context only; not direct PRS bin and not chi_selected,true,false,AGGREGATE_PROXY_NO_BIN_GRAIN_AUTHORIZATION; NODI exact grain review required,ARTIFACT_LEVEL_ONLY_EXACT_GRAIN_NOT_CLAIMED_BY_COMSOL
G2B_ALLOWED_CTX_003,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,8f2be800709a2332ddecca6e43e1ccc619aa93b502eeeb0bffb5b41f9e8a6381,16,CHI_CTX_AGG_660/W800/D1200_A87_220_per_wavelength_gold_residence_time_weighted,proxy_aggregate,660/W800/D1200,W800,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,false,false,false,false,false,GATE2B_ALLOWED_CONTEXT_ONLY_PARTIAL_PROXY,NODI must recheck current PRS production artifact route/view/diameter/bin coverage and preserve context-only claim boundary,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,Proxy aggregate context only; not direct PRS bin and not chi_selected,true,false,AGGREGATE_PROXY_NO_BIN_GRAIN_AUTHORIZATION; NODI exact grain review required,ARTIFACT_LEVEL_ONLY_EXACT_GRAIN_NOT_CLAIMED_BY_COMSOL
G2B_ALLOWED_CTX_004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,8f2be800709a2332ddecca6e43e1ccc619aa93b502eeeb0bffb5b41f9e8a6381,16,CHI_CTX_AGG_660/W800/D1200_A87_220_per_wavelength_gold_velocity_weighted,proxy_aggregate,660/W800/D1200,W800,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,false,false,false,false,false,GATE2B_ALLOWED_CONTEXT_ONLY_PARTIAL_PROXY,NODI must recheck current PRS production artifact route/view/diameter/bin coverage and preserve context-only claim boundary,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,Proxy aggregate context only; not direct PRS bin and not chi_selected,true,false,AGGREGATE_PROXY_NO_BIN_GRAIN_AUTHORIZATION; NODI exact grain review required,ARTIFACT_LEVEL_ONLY_EXACT_GRAIN_NOT_CLAIMED_BY_COMSOL
G2B_ALLOWED_CTX_005,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,8f2be800709a2332ddecca6e43e1ccc619aa93b502eeeb0bffb5b41f9e8a6381,16,CHI_CTX_AGG_660/W800/D1200_A87_300_fixed_660_gold_residence_time_weighted,proxy_aggregate,660/W800/D1200,W800,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,300,aggregate_proxy,aggregate_proxy,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,false,false,false,false,false,GATE2B_ALLOWED_CONTEXT_ONLY_PARTIAL_PROXY,NODI must recheck current PRS production artifact route/view/diameter/bin coverage and preserve context-only claim boundary,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,Proxy aggregate context only; not direct PRS bin and not chi_selected,true,false,AGGREGATE_PROXY_NO_BIN_GRAIN_AUTHORIZATION; NODI exact grain review required,ARTIFACT_LEVEL_ONLY_EXACT_GRAIN_NOT_CLAIMED_BY_COMSOL
G2B_ALLOWED_CTX_006,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,8f2be800709a2332ddecca6e43e1ccc619aa93b502eeeb0bffb5b41f9e8a6381,16,CHI_CTX_AGG_660/W800/D1200_A87_300_fixed_660_gold_velocity_weighted,proxy_aggregate,660/W800/D1200,W800,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,300,aggregate_proxy,aggregate_proxy,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,false,false,false,false,false,GATE2B_ALLOWED_CONTEXT_ONLY_PARTIAL_PROXY,NODI must recheck current PRS production artifact route/view/diameter/bin coverage and preserve context-only claim boundary,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,Proxy aggregate context only; not direct PRS bin and not chi_selected,true,false,AGGREGATE_PROXY_NO_BIN_GRAIN_AUTHORIZATION; NODI exact grain review required,ARTIFACT_LEVEL_ONLY_EXACT_GRAIN_NOT_CLAIMED_BY_COMSOL
G2B_ALLOWED_CTX_007,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,8f2be800709a2332ddecca6e43e1ccc619aa93b502eeeb0bffb5b41f9e8a6381,16,CHI_CTX_AGG_660/W800/D1200_A87_300_per_wavelength_gold_residence_time_weighted,proxy_aggregate,660/W800/D1200,W800,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,300,aggregate_proxy,aggregate_proxy,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,false,false,false,false,false,GATE2B_ALLOWED_CONTEXT_ONLY_PARTIAL_PROXY,NODI must recheck current PRS production artifact route/view/diameter/bin coverage and preserve context-only claim boundary,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,Proxy aggregate context only; not direct PRS bin and not chi_selected,true,false,AGGREGATE_PROXY_NO_BIN_GRAIN_AUTHORIZATION; NODI exact grain review required,ARTIFACT_LEVEL_ONLY_EXACT_GRAIN_NOT_CLAIMED_BY_COMSOL
G2B_ALLOWED_CTX_008,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,8f2be800709a2332ddecca6e43e1ccc619aa93b502eeeb0bffb5b41f9e8a6381,16,CHI_CTX_AGG_660/W800/D1200_A87_300_per_wavelength_gold_velocity_weighted,proxy_aggregate,660/W800/D1200,W800,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,300,aggregate_proxy,aggregate_proxy,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,false,false,false,false,false,GATE2B_ALLOWED_CONTEXT_ONLY_PARTIAL_PROXY,NODI must recheck current PRS production artifact route/view/diameter/bin coverage and preserve context-only claim boundary,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,Proxy aggregate context only; not direct PRS bin and not chi_selected,true,false,AGGREGATE_PROXY_NO_BIN_GRAIN_AUTHORIZATION; NODI exact grain review required,ARTIFACT_LEVEL_ONLY_EXACT_GRAIN_NOT_CLAIMED_BY_COMSOL
G2B_ALLOWED_CTX_009,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,8f2be800709a2332ddecca6e43e1ccc619aa93b502eeeb0bffb5b41f9e8a6381,16,CHI_CTX_AGG_660/W800/D900_A85_220_fixed_660_gold_residence_time_weighted,proxy_aggregate,660/W800/D900,W800,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,false,false,false,false,false,GATE2B_ALLOWED_CONTEXT_ONLY_PARTIAL_PROXY,NODI must recheck current PRS production artifact route/view/diameter/bin coverage and preserve context-only claim boundary,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,Proxy aggregate context only; not direct PRS bin and not chi_selected,true,false,AGGREGATE_PROXY_NO_BIN_GRAIN_AUTHORIZATION; NODI exact grain review required,ARTIFACT_LEVEL_ONLY_EXACT_GRAIN_NOT_CLAIMED_BY_COMSOL
G2B_ALLOWED_CTX_010,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,8f2be800709a2332ddecca6e43e1ccc619aa93b502eeeb0bffb5b41f9e8a6381,16,CHI_CTX_AGG_660/W800/D900_A85_220_fixed_660_gold_velocity_weighted,proxy_aggregate,660/W800/D900,W800,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,AGGREGATE_PROXY_NO_DIRECT_PRS_BIN_CLAIM,Gate2B context-only proxy review support; read-only formal context ingestion candidate if NODI accepts partial grain match; not a formula input,chi_selected; weighting; q_ch*eta; q_ch*chi*eta; JOINT_ROUTE_CLASS; route_score; yield; winner; detection_probability; time-to-clog; recovery; calibrated_clogging; fabrication_release; production_ingestion; runtime_configuration,false,false,false,false,false,GATE2B_ALLOWED_CONTEXT_ONLY_PARTIAL_PROXY,NODI must recheck current PRS production artifact route/view/diameter/bin coverage and preserve context-only claim boundary,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,Proxy aggregate context only; not direct PRS bin and not chi_selected,true,false,AGGREGATE_PROXY_NO_BIN_GRAIN_AUTHORIZATION; NODI exact grain review required,ARTIFACT_LEVEL_ONLY_EXACT_GRAIN_NOT_CLAIMED_BY_COMSOL
