quarantine_row_id,source_artifact,source_sha256,source_row_count,source_row_identity,quarantine_class,gate2a_status,recommended_gate2b_status,readable_by_nodi,gate2b_allowed_context_ingestion,formula_use_allowed,is_chi_selected,qch_weighting_authorized,jrc_authorized,production_ingestion_authorized,runtime_configuration_authorized,allowed_use,blocked_use,blocker_reason,required_future_gate
G2B_QUARANTINE_001,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,1c0d902dc01a39e3a3cc6c104696b782ddd06235d1630051d2b5163d6d827b61,32,TPD_SRC_001_W800_D900_A85_220NM_velocity_weighted_edge_norm_0p00_0p25,TPD_SOURCE_OR_ALIGNMENT_BINDING_BLOCKED,SOURCE_READY_CONTEXT_ONLY_NOT_NODI_BOUND,QUARANTINE_SOURCE_READY_NOT_NODI_BOUND,true,false,false,false,false,false,false,false,read-only transported-position source context; source-ready review; read-only review/quarantine only,NODI production ingestion; weighting; chi_selected; q_ch*eta; JRC; yield; winner; detection_probability; Gate2B formal context-only ingestion; any formula input,COMSOL source-ready only: missing NODI_view binding; diameter/bin route coverage must be reconciled by NODI,Gate2C transported-position binding repair
G2B_QUARANTINE_002,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,1c0d902dc01a39e3a3cc6c104696b782ddd06235d1630051d2b5163d6d827b61,32,TPD_SRC_001_W800_D900_A85_220NM_velocity_weighted_edge_norm_0p25_0p50,TPD_SOURCE_OR_ALIGNMENT_BINDING_BLOCKED,SOURCE_READY_CONTEXT_ONLY_NOT_NODI_BOUND,QUARANTINE_SOURCE_READY_NOT_NODI_BOUND,true,false,false,false,false,false,false,false,read-only transported-position source context; source-ready review; read-only review/quarantine only,NODI production ingestion; weighting; chi_selected; q_ch*eta; JRC; yield; winner; detection_probability; Gate2B formal context-only ingestion; any formula input,COMSOL source-ready only: missing NODI_view binding; diameter/bin route coverage must be reconciled by NODI,Gate2C transported-position binding repair
G2B_QUARANTINE_003,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,1c0d902dc01a39e3a3cc6c104696b782ddd06235d1630051d2b5163d6d827b61,32,TPD_SRC_001_W800_D900_A85_220NM_velocity_weighted_edge_norm_0p50_0p75,TPD_SOURCE_OR_ALIGNMENT_BINDING_BLOCKED,SOURCE_READY_CONTEXT_ONLY_NOT_NODI_BOUND,QUARANTINE_SOURCE_READY_NOT_NODI_BOUND,true,false,false,false,false,false,false,false,read-only transported-position source context; source-ready review; read-only review/quarantine only,NODI production ingestion; weighting; chi_selected; q_ch*eta; JRC; yield; winner; detection_probability; Gate2B formal context-only ingestion; any formula input,COMSOL source-ready only: missing NODI_view binding; diameter/bin route coverage must be reconciled by NODI,Gate2C transported-position binding repair
G2B_QUARANTINE_004,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,1c0d902dc01a39e3a3cc6c104696b782ddd06235d1630051d2b5163d6d827b61,32,TPD_SRC_001_W800_D900_A85_220NM_velocity_weighted_edge_norm_0p75_1p00,TPD_SOURCE_OR_ALIGNMENT_BINDING_BLOCKED,SOURCE_READY_CONTEXT_ONLY_NOT_NODI_BOUND,QUARANTINE_SOURCE_READY_NOT_NODI_BOUND,true,false,false,false,false,false,false,false,read-only transported-position source context; source-ready review; read-only review/quarantine only,NODI production ingestion; weighting; chi_selected; q_ch*eta; JRC; yield; winner; detection_probability; Gate2B formal context-only ingestion; any formula input,COMSOL source-ready only: missing NODI_view binding; diameter/bin route coverage must be reconciled by NODI,Gate2C transported-position binding repair
G2B_QUARANTINE_005,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,1c0d902dc01a39e3a3cc6c104696b782ddd06235d1630051d2b5163d6d827b61,32,TPD_SRC_001_W800_D900_A85_220NM_residence_time_weighted_edge_norm_0p00_0p25,TPD_SOURCE_OR_ALIGNMENT_BINDING_BLOCKED,SOURCE_READY_CONTEXT_ONLY_NOT_NODI_BOUND,QUARANTINE_SOURCE_READY_NOT_NODI_BOUND,true,false,false,false,false,false,false,false,read-only transported-position source context; source-ready review; read-only review/quarantine only,NODI production ingestion; weighting; chi_selected; q_ch*eta; JRC; yield; winner; detection_probability; Gate2B formal context-only ingestion; any formula input,COMSOL source-ready only: missing NODI_view binding; diameter/bin route coverage must be reconciled by NODI,Gate2C transported-position binding repair
G2B_QUARANTINE_006,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,1c0d902dc01a39e3a3cc6c104696b782ddd06235d1630051d2b5163d6d827b61,32,TPD_SRC_001_W800_D900_A85_220NM_residence_time_weighted_edge_norm_0p25_0p50,TPD_SOURCE_OR_ALIGNMENT_BINDING_BLOCKED,SOURCE_READY_CONTEXT_ONLY_NOT_NODI_BOUND,QUARANTINE_SOURCE_READY_NOT_NODI_BOUND,true,false,false,false,false,false,false,false,read-only transported-position source context; source-ready review; read-only review/quarantine only,NODI production ingestion; weighting; chi_selected; q_ch*eta; JRC; yield; winner; detection_probability; Gate2B formal context-only ingestion; any formula input,COMSOL source-ready only: missing NODI_view binding; diameter/bin route coverage must be reconciled by NODI,Gate2C transported-position binding repair
G2B_QUARANTINE_007,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,1c0d902dc01a39e3a3cc6c104696b782ddd06235d1630051d2b5163d6d827b61,32,TPD_SRC_001_W800_D900_A85_220NM_residence_time_weighted_edge_norm_0p50_0p75,TPD_SOURCE_OR_ALIGNMENT_BINDING_BLOCKED,SOURCE_READY_CONTEXT_ONLY_NOT_NODI_BOUND,QUARANTINE_SOURCE_READY_NOT_NODI_BOUND,true,false,false,false,false,false,false,false,read-only transported-position source context; source-ready review; read-only review/quarantine only,NODI production ingestion; weighting; chi_selected; q_ch*eta; JRC; yield; winner; detection_probability; Gate2B formal context-only ingestion; any formula input,COMSOL source-ready only: missing NODI_view binding; diameter/bin route coverage must be reconciled by NODI,Gate2C transported-position binding repair
G2B_QUARANTINE_008,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,1c0d902dc01a39e3a3cc6c104696b782ddd06235d1630051d2b5163d6d827b61,32,TPD_SRC_001_W800_D900_A85_220NM_residence_time_weighted_edge_norm_0p75_1p00,TPD_SOURCE_OR_ALIGNMENT_BINDING_BLOCKED,SOURCE_READY_CONTEXT_ONLY_NOT_NODI_BOUND,QUARANTINE_SOURCE_READY_NOT_NODI_BOUND,true,false,false,false,false,false,false,false,read-only transported-position source context; source-ready review; read-only review/quarantine only,NODI production ingestion; weighting; chi_selected; q_ch*eta; JRC; yield; winner; detection_probability; Gate2B formal context-only ingestion; any formula input,COMSOL source-ready only: missing NODI_view binding; diameter/bin route coverage must be reconciled by NODI,Gate2C transported-position binding repair
G2B_QUARANTINE_009,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,1c0d902dc01a39e3a3cc6c104696b782ddd06235d1630051d2b5163d6d827b61,32,TPD_SRC_002_W800_D900_A85_300NM_velocity_weighted_edge_norm_0p00_0p25,TPD_SOURCE_OR_ALIGNMENT_BINDING_BLOCKED,SOURCE_READY_CONTEXT_ONLY_NOT_NODI_BOUND,QUARANTINE_SOURCE_READY_NOT_NODI_BOUND,true,false,false,false,false,false,false,false,read-only transported-position source context; source-ready review; read-only review/quarantine only,NODI production ingestion; weighting; chi_selected; q_ch*eta; JRC; yield; winner; detection_probability; Gate2B formal context-only ingestion; any formula input,COMSOL source-ready only: missing NODI_view binding; diameter/bin route coverage must be reconciled by NODI,Gate2C transported-position binding repair
G2B_QUARANTINE_010,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,1c0d902dc01a39e3a3cc6c104696b782ddd06235d1630051d2b5163d6d827b61,32,TPD_SRC_002_W800_D900_A85_300NM_velocity_weighted_edge_norm_0p25_0p50,TPD_SOURCE_OR_ALIGNMENT_BINDING_BLOCKED,SOURCE_READY_CONTEXT_ONLY_NOT_NODI_BOUND,QUARANTINE_SOURCE_READY_NOT_NODI_BOUND,true,false,false,false,false,false,false,false,read-only transported-position source context; source-ready review; read-only review/quarantine only,NODI production ingestion; weighting; chi_selected; q_ch*eta; JRC; yield; winner; detection_probability; Gate2B formal context-only ingestion; any formula input,COMSOL source-ready only: missing NODI_view binding; diameter/bin route coverage must be reconciled by NODI,Gate2C transported-position binding repair
