package_id,manifest_role,path,row_count,sha256,status,notes
G2B-PACKET,package_report,roadmap/COMSOL_GATE2B_NODI_CONTEXT_ONLY_SUPPORT_PACKET_20260627.md,0,c6ab4e02ef653f9a1007c99ac4b35044f857da22637e2a23e2ed95fc373f226d,PASS,Gate2B support narrative and independent review
G2B-ALLOWED,allowed_context_rows,roadmap/COMSOL_GATE2B_NODI_ALLOWED_CONTEXT_ROWS_20260627.csv,80,8b14a5b0f56107d496d385861028706f2eef3229ecb32b975ffadc1ad8d4b554,PASS,"Only TPD/PRS proxy aggregate/bin context rows; artifact-level candidate, grain-level authorization false"
G2B-QUARANTINE,quarantine_review_only_rows,roadmap/COMSOL_GATE2B_NODI_QUARANTINE_REVIEW_ONLY_ROWS_20260627.csv,79,ded8fba223f1213a0bcceb0defc46a21c9b0c978f7af0418f03865ed0049c11f,PASS_BLOCKED_AS_EXPECTED,Blocked/review-only rows readable by NODI but not ingestible/formula usable
G2C-REPAIR,transported_position_repair_plan,roadmap/COMSOL_GATE2B_TPD_BINDING_REPAIR_PLAN_20260627.csv,65,494898651a978e17c279c2a5d74c43dfd6829c28ca6dc59a71e8ef4af5096183,PASS_BLOCKED_AS_EXPECTED,"Gate2C binding repair plan, no new solve"
QCH-REQ-CSV,formal_qch_requirements,roadmap/COMSOL_GATE2B_QCH_FORMAL_SIDECAR_REQUIREMENTS_20260627.csv,18,c31021aa2a0829bc68c29dc8da0c1628e66f59fb57c6ad5b108481a0bff250e6,PASS,"Requirements only, not sidecar generation"
QCH-REQ-MD,formal_qch_requirements_report,roadmap/COMSOL_GATE2B_QCH_FORMAL_SIDECAR_REQUIREMENTS_20260627.md,0,308c2069ce2e2dae6b8ccb36ca639a4d7d1866443bd6e88dfe6419b2a77247f7,PASS,Requirements narrative
G2B-VALIDATION,validation_results,roadmap/COMSOL_GATE2B_NODI_SUPPORT_VALIDATION_20260627.csv,12,e1b0c2022070ab58c01ed5a3f9c904437398e03d47d71a71b25bc2c79b15df73,PASS,Gate2B support validation output
G2B-VALIDATOR,validation_script,full_chip/dwg_analysis/validate_gate2b_nodi_context_support_20260627.py,0,d4a57adc36e2b29836cf3b8a89668e15aebadb20b3dfa2c09803fec7e200be5d,PASS,Lightweight validator
G2A-PACKET,input_gate2a_report,roadmap/COMSOL_GATE2A_NODI_BINDING_PACKET_20260627.md,0,0752f16a591b056142bef6e88368c5df352a71f59dfab998d9ce81f796312f28,READ_ONLY_INPUT,COMSOL Gate2A source package
G2A-CROSSWALK,input_gate2a_crosswalk,roadmap/COMSOL_GATE2A_NODI_BINDING_CROSSWALK_20260627.csv,149,8ee93881e2bb39ecc19b59ce5637408576d0d83b1590ef103c56b94cadd95465,READ_ONLY_INPUT,COMSOL Gate2A binding crosswalk
G2A-BLOCKERS,input_gate2a_blockers,roadmap/COMSOL_GATE2A_NODI_BINDING_BLOCKERS_20260627.csv,10,a76c5bd41a070e19f12451d6378881e12762c2371cf53896043a4a3806167a7b,READ_ONLY_INPUT,COMSOL Gate2A blocker register
G2A-QCH,input_gate2a_qch_provenance,roadmap/COMSOL_GATE2A_QCH_PROVENANCE_ONLY_EXPORT_20260627.csv,92,2f375adf48640b44ffb2a7919da4efa0502cfaeb5f5f0b22fe94268f2722a3a6,READ_ONLY_INPUT,"q_ch provenance-only export, not formal sidecar"
G2A-VALIDATION,input_gate2a_validation,roadmap/COMSOL_GATE2A_NODI_BINDING_VALIDATION_20260627.csv,14,e24236c2bba41474ddbab49c62f69dbcae48c26209dc70440e08e2cc407ea66f,READ_ONLY_INPUT,COMSOL Gate2A validation
G2A-MANIFEST,input_gate2a_manifest,roadmap/COMSOL_GATE2A_NODI_BINDING_MANIFEST_20260627.csv,23,ea9c49b186fd1be774f8ce008a2dc2fcc0cebbe5044c148b6b64a725a6ab3a80,READ_ONLY_INPUT,COMSOL Gate2A manifest
NODI-REPORT199,nodi_read_only_reference,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/199_NODI_COMSOL_GATE2A_EXPORT_RECONCILIATION_20260627.md,0,8610136115680da29f9d2a8d5e6a7faeeec9d0d8c1040ce3eb46668bcaef52db,READ_ONLY_REFERENCE_NOT_MODIFIED,NODI Gate2A reconciliation report
NODI-MATRIX,nodi_read_only_reference,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260627/NODI_COMSOL_GATE2A_RECONCILIATION_MATRIX_20260627.csv,10,56b16e2eb100f5294ead649851b2e0ca39379568fabec9034a89fd9382d3ca91,READ_ONLY_REFERENCE_NOT_MODIFIED,NODI reconciliation matrix
NODI-GRAIN,nodi_read_only_reference,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260627/NODI_COMSOL_GATE2A_GRAIN_COMPATIBILITY_20260627.csv,30,da48edd395771953c933dc5981a034b92e78a3cae21d04ae3e3e76c51797d55e,READ_ONLY_REFERENCE_NOT_MODIFIED,NODI grain compatibility
NODI-BLOCKERS,nodi_read_only_reference,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260627/NODI_COMSOL_GATE2A_BLOCKERS_20260627.csv,10,658c562e0945f91c0a2015752dcfbfdc23ff1786787cab4903f20a0152dec95c,READ_ONLY_REFERENCE_NOT_MODIFIED,NODI blocker register
