tpd_case_or_artifact_id,width_family,depth_family,diameter_nm,weighting_basis,edge_bin_label,current_status,missing_binding,can_fix_without_new_comsol_solve,requires_nodi_prs_recheck,requires_new_comsol_export,requires_new_comsol_solve,proposed_next_artifact,proposed_gate,blocked_until,notes
TPD_SOURCE_SMOKE:TPD_SRC_001_W800_D900_A85_220NM_velocity_weighted_edge_norm_0p00_0p25,W800,D900,220,velocity_weighted,edge_norm_0p00_0p25,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,NODI_view=BLOCKED_MISSING_NODI_VIEW_BINDING; diameter=BLOCKED_220NM_NO_DIRECT_NODI_PRS_MATCH_UNLESS_NODI_SAYS_OTHERWISE; bin=COARSE_TO_FINE_REVIEW_POLICY_NEEDED_EDGE4_TO_PRS_EDGE20_NOT_DIRECT_BIN,true,true,true,false,COMSOL_GATE2C_TRANSPORTED_POSITION_NODI_BOUND_CONTEXT_EXPORT_<future>.csv,Gate2C transported-position binding repair,NODI provides explicit 220 nm PRS coverage or written reduced-scope/unbound decision,No new COMSOL solve is required to draft a binding repair/export contract; exact NODI binding remains NODI-side. 220 nm must not auto-map to 300 nm or 40/60 nm PRS grains. edge4/quarter bins require coarse-to-fine edge20 review policy; not a direct PRS bin.
TPD_SOURCE_SMOKE:TPD_SRC_001_W800_D900_A85_220NM_velocity_weighted_edge_norm_0p25_0p50,W800,D900,220,velocity_weighted,edge_norm_0p25_0p50,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,NODI_view=BLOCKED_MISSING_NODI_VIEW_BINDING; diameter=BLOCKED_220NM_NO_DIRECT_NODI_PRS_MATCH_UNLESS_NODI_SAYS_OTHERWISE; bin=COARSE_TO_FINE_REVIEW_POLICY_NEEDED_EDGE4_TO_PRS_EDGE20_NOT_DIRECT_BIN,true,true,true,false,COMSOL_GATE2C_TRANSPORTED_POSITION_NODI_BOUND_CONTEXT_EXPORT_<future>.csv,Gate2C transported-position binding repair,NODI provides explicit 220 nm PRS coverage or written reduced-scope/unbound decision,No new COMSOL solve is required to draft a binding repair/export contract; exact NODI binding remains NODI-side. 220 nm must not auto-map to 300 nm or 40/60 nm PRS grains. edge4/quarter bins require coarse-to-fine edge20 review policy; not a direct PRS bin.
TPD_SOURCE_SMOKE:TPD_SRC_001_W800_D900_A85_220NM_velocity_weighted_edge_norm_0p50_0p75,W800,D900,220,velocity_weighted,edge_norm_0p50_0p75,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,NODI_view=BLOCKED_MISSING_NODI_VIEW_BINDING; diameter=BLOCKED_220NM_NO_DIRECT_NODI_PRS_MATCH_UNLESS_NODI_SAYS_OTHERWISE; bin=COARSE_TO_FINE_REVIEW_POLICY_NEEDED_EDGE4_TO_PRS_EDGE20_NOT_DIRECT_BIN,true,true,true,false,COMSOL_GATE2C_TRANSPORTED_POSITION_NODI_BOUND_CONTEXT_EXPORT_<future>.csv,Gate2C transported-position binding repair,NODI provides explicit 220 nm PRS coverage or written reduced-scope/unbound decision,No new COMSOL solve is required to draft a binding repair/export contract; exact NODI binding remains NODI-side. 220 nm must not auto-map to 300 nm or 40/60 nm PRS grains. edge4/quarter bins require coarse-to-fine edge20 review policy; not a direct PRS bin.
TPD_SOURCE_SMOKE:TPD_SRC_001_W800_D900_A85_220NM_velocity_weighted_edge_norm_0p75_1p00,W800,D900,220,velocity_weighted,edge_norm_0p75_1p00,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,NODI_view=BLOCKED_MISSING_NODI_VIEW_BINDING; diameter=BLOCKED_220NM_NO_DIRECT_NODI_PRS_MATCH_UNLESS_NODI_SAYS_OTHERWISE; bin=COARSE_TO_FINE_REVIEW_POLICY_NEEDED_EDGE4_TO_PRS_EDGE20_NOT_DIRECT_BIN,true,true,true,false,COMSOL_GATE2C_TRANSPORTED_POSITION_NODI_BOUND_CONTEXT_EXPORT_<future>.csv,Gate2C transported-position binding repair,NODI provides explicit 220 nm PRS coverage or written reduced-scope/unbound decision,No new COMSOL solve is required to draft a binding repair/export contract; exact NODI binding remains NODI-side. 220 nm must not auto-map to 300 nm or 40/60 nm PRS grains. edge4/quarter bins require coarse-to-fine edge20 review policy; not a direct PRS bin.
TPD_SOURCE_SMOKE:TPD_SRC_001_W800_D900_A85_220NM_residence_time_weighted_edge_norm_0p00_0p25,W800,D900,220,residence_time_weighted,edge_norm_0p00_0p25,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,NODI_view=BLOCKED_MISSING_NODI_VIEW_BINDING; diameter=BLOCKED_220NM_NO_DIRECT_NODI_PRS_MATCH_UNLESS_NODI_SAYS_OTHERWISE; bin=COARSE_TO_FINE_REVIEW_POLICY_NEEDED_EDGE4_TO_PRS_EDGE20_NOT_DIRECT_BIN,true,true,true,false,COMSOL_GATE2C_TRANSPORTED_POSITION_NODI_BOUND_CONTEXT_EXPORT_<future>.csv,Gate2C transported-position binding repair,NODI provides explicit 220 nm PRS coverage or written reduced-scope/unbound decision,No new COMSOL solve is required to draft a binding repair/export contract; exact NODI binding remains NODI-side. 220 nm must not auto-map to 300 nm or 40/60 nm PRS grains. edge4/quarter bins require coarse-to-fine edge20 review policy; not a direct PRS bin.
TPD_SOURCE_SMOKE:TPD_SRC_001_W800_D900_A85_220NM_residence_time_weighted_edge_norm_0p25_0p50,W800,D900,220,residence_time_weighted,edge_norm_0p25_0p50,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,NODI_view=BLOCKED_MISSING_NODI_VIEW_BINDING; diameter=BLOCKED_220NM_NO_DIRECT_NODI_PRS_MATCH_UNLESS_NODI_SAYS_OTHERWISE; bin=COARSE_TO_FINE_REVIEW_POLICY_NEEDED_EDGE4_TO_PRS_EDGE20_NOT_DIRECT_BIN,true,true,true,false,COMSOL_GATE2C_TRANSPORTED_POSITION_NODI_BOUND_CONTEXT_EXPORT_<future>.csv,Gate2C transported-position binding repair,NODI provides explicit 220 nm PRS coverage or written reduced-scope/unbound decision,No new COMSOL solve is required to draft a binding repair/export contract; exact NODI binding remains NODI-side. 220 nm must not auto-map to 300 nm or 40/60 nm PRS grains. edge4/quarter bins require coarse-to-fine edge20 review policy; not a direct PRS bin.
TPD_SOURCE_SMOKE:TPD_SRC_001_W800_D900_A85_220NM_residence_time_weighted_edge_norm_0p50_0p75,W800,D900,220,residence_time_weighted,edge_norm_0p50_0p75,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,NODI_view=BLOCKED_MISSING_NODI_VIEW_BINDING; diameter=BLOCKED_220NM_NO_DIRECT_NODI_PRS_MATCH_UNLESS_NODI_SAYS_OTHERWISE; bin=COARSE_TO_FINE_REVIEW_POLICY_NEEDED_EDGE4_TO_PRS_EDGE20_NOT_DIRECT_BIN,true,true,true,false,COMSOL_GATE2C_TRANSPORTED_POSITION_NODI_BOUND_CONTEXT_EXPORT_<future>.csv,Gate2C transported-position binding repair,NODI provides explicit 220 nm PRS coverage or written reduced-scope/unbound decision,No new COMSOL solve is required to draft a binding repair/export contract; exact NODI binding remains NODI-side. 220 nm must not auto-map to 300 nm or 40/60 nm PRS grains. edge4/quarter bins require coarse-to-fine edge20 review policy; not a direct PRS bin.
TPD_SOURCE_SMOKE:TPD_SRC_001_W800_D900_A85_220NM_residence_time_weighted_edge_norm_0p75_1p00,W800,D900,220,residence_time_weighted,edge_norm_0p75_1p00,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,NODI_view=BLOCKED_MISSING_NODI_VIEW_BINDING; diameter=BLOCKED_220NM_NO_DIRECT_NODI_PRS_MATCH_UNLESS_NODI_SAYS_OTHERWISE; bin=COARSE_TO_FINE_REVIEW_POLICY_NEEDED_EDGE4_TO_PRS_EDGE20_NOT_DIRECT_BIN,true,true,true,false,COMSOL_GATE2C_TRANSPORTED_POSITION_NODI_BOUND_CONTEXT_EXPORT_<future>.csv,Gate2C transported-position binding repair,NODI provides explicit 220 nm PRS coverage or written reduced-scope/unbound decision,No new COMSOL solve is required to draft a binding repair/export contract; exact NODI binding remains NODI-side. 220 nm must not auto-map to 300 nm or 40/60 nm PRS grains. edge4/quarter bins require coarse-to-fine edge20 review policy; not a direct PRS bin.
TPD_SOURCE_SMOKE:TPD_SRC_002_W800_D900_A85_300NM_velocity_weighted_edge_norm_0p00_0p25,W800,D900,300,velocity_weighted,edge_norm_0p00_0p25,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,NODI_view=BLOCKED_MISSING_NODI_VIEW_BINDING; diameter=CANDIDATE_ONLY_VIEW_BINDING_MISSING; bin=COARSE_TO_FINE_REVIEW_POLICY_NEEDED_EDGE4_TO_PRS_EDGE20_NOT_DIRECT_BIN,true,true,true,false,COMSOL_GATE2C_TRANSPORTED_POSITION_NODI_BOUND_CONTEXT_EXPORT_<future>.csv,Gate2C transported-position binding repair,NODI confirms route/view/diameter/bin coverage and edge4-to-edge20 policy,No new COMSOL solve is required to draft a binding repair/export contract; exact NODI binding remains NODI-side. 300 nm is candidate-only until NODI confirms current PRS route/view/diameter/bin coverage. edge4/quarter bins require coarse-to-fine edge20 review policy; not a direct PRS bin.
TPD_SOURCE_SMOKE:TPD_SRC_002_W800_D900_A85_300NM_velocity_weighted_edge_norm_0p25_0p50,W800,D900,300,velocity_weighted,edge_norm_0p25_0p50,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,NODI_view=BLOCKED_MISSING_NODI_VIEW_BINDING; diameter=CANDIDATE_ONLY_VIEW_BINDING_MISSING; bin=COARSE_TO_FINE_REVIEW_POLICY_NEEDED_EDGE4_TO_PRS_EDGE20_NOT_DIRECT_BIN,true,true,true,false,COMSOL_GATE2C_TRANSPORTED_POSITION_NODI_BOUND_CONTEXT_EXPORT_<future>.csv,Gate2C transported-position binding repair,NODI confirms route/view/diameter/bin coverage and edge4-to-edge20 policy,No new COMSOL solve is required to draft a binding repair/export contract; exact NODI binding remains NODI-side. 300 nm is candidate-only until NODI confirms current PRS route/view/diameter/bin coverage. edge4/quarter bins require coarse-to-fine edge20 review policy; not a direct PRS bin.
