manifest_id,artifact_path,row_count,sha256,allowed_use,blocked_use,not_evidence,no_auth
G10-MANIFEST-0001,reports/joint_interface_20260629/NODI_COMSOL_GATE10_SIDEWALL_IMPLEMENTATION_INVENTORY_20260629.csv,13,3a9e1fadc2a0e195c3ed33156aefbc7a13f1c92b2c3320ff1a57d87525a70415,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0002,reports/joint_interface_20260629/NODI_COMSOL_GATE10_SIDEWALL_RC51_FREEZE_IMPACT_MATRIX_20260629.csv,20,58617e2e247e34672b77c11a18e2afd3f2cc24067dea17003755b55a5b1b1f5a,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0003,reports/joint_interface_20260629/NODI_COMSOL_GATE10_SIDEWALL_DESCRIPTOR_SCHEMA_20260629.csv,25,a71c8844ad3dd47fe9ab8604e104f2c46e12ed06b0352a519a2f6a568fdda090,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0004,reports/joint_interface_20260629/NODI_COMSOL_GATE10_SIDEWALL_POSITIVE_FIXTURES_20260629.csv,4,3bc74b4635dcd98b1b99e48e777a2229ca85cbcefffce7b0a45f6a22cf1219df,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0005,reports/joint_interface_20260629/NODI_COMSOL_GATE10_SIDEWALL_NEGATIVE_FIXTURE_CATALOG_20260629.csv,16,76ae8a051fbc84bebf1b115b76df047dfb2c2f27d399a62b25a4f5a66a41e6b4,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0006,reports/joint_interface_20260629/NODI_COMSOL_GATE10_SIDEWALL_MUTATION_RESULTS_20260629.csv,20,786271ee07a751b8f55beae3311311f888c2e75796b3fde12e41e3d55f80d9c9,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0007,reports/joint_interface_20260629/NODI_COMSOL_GATE10_SIDEWALL_UNEXPECTED_PASS_REGISTER_20260629.csv,1,6527be58fc55845075226d586d9a9cfe7c543f4da808eda6668438db42b4a273,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0008,reports/joint_interface_20260629/NODI_COMSOL_GATE10_SIDEWALL_PROPAGATION_IMPACT_MATRIX_20260629.csv,12,9c4e04831acf89dbd91093fb76e159c8222e05d1aa3f03c2908a1bfc64b1519e,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0009,reports/joint_interface_20260629/NODI_COMSOL_GATE10_SIDEWALL_COMSOL_EXPORT_REQUIREMENTS_20260629.csv,20,707d95463adba299b60ef7eb358fcfa742c2556a4d8c51664272d0073b858b04,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0010,reports/joint_interface_20260629/NODI_COMSOL_GATE10_SIDEWALL_SELF_REVIEW_20260629.csv,8,282db66d9f640396943a4b8d11ac6ba67682284209280baa9d80683e783e20e8,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0011,reports/joint_interface_20260629/NODI_COMSOL_GATE10_SIDEWALL_VALIDATOR_REPORT_20260629.csv,4,d3574cd69104bc4bb0ffd00c3d1c7ed3e5eeafeedc0823f709cd3c51f56d7077,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0012,reports/joint_interface_20260629/NODI_COMSOL_GATE10_SIDEWALL_REPORT_20260629.json,NA,da43682d86d010b2e2b958477fc1da7f7075ed35ed191fe32475af6d0de428a6,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0013,reports/293_NODI_COMSOL_GATE10A_SIDEWALL_IMPLEMENTATION_INVENTORY_20260629.md,NA,dca11f3ec8e1b12e44a5bb7965f0aab5b878133d252913bf084736691826ce4f,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0014,reports/294_NODI_COMSOL_GATE10B_RC51_SIDEWALL_FREEZE_IMPACT_20260629.md,NA,98b41d2a3a4aa43f577c861ed2aad1a02f3592d37c6ab269d086acf75717a8b6,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
G10-MANIFEST-0015,reports/295_NODI_COMSOL_GATE10C_SIDEWALL_DESCRIPTOR_SCHEMA_20260629.md,NA,3da819959d1f78610958ca4e1c9f9c799eb63202bab907dfeeeb793b22163c25,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,true
