convergence_id,field_name,nodi_presence,comsol_presence,convergence_status,semantic_conflict,policy_blocked,authorization_impact
G11H-CONV-001,D_nm,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-002,W_bottom_runtime_clipped_nm,true,true,EXACT_MATCH,false,false,none
G11H-CONV-003,W_bottom_unclipped_nm,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-004,W_top_nm,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-005,W_top_semantics,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-006,angle_conversion_formula_id,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-007,closure_policy,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-008,closure_status,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-009,cross_section_geometry_version,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-010,cross_section_geometry_version_candidate,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-011,depth_nm,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-012,geometry_claim_level,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-013,geometry_descriptor_id,true,true,EXACT_MATCH,false,false,none
G11H-CONV-014,geometry_descriptor_sha256,true,true,EXACT_MATCH,false,false,none
G11H-CONV-015,geometry_surrogate_status,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-016,min_aperture_descriptor_nm,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-017,not_measured_geometry,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-018,not_production_ingestion,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-019,not_runtime_configuration,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-020,optical_geometry_claim_level,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-021,optical_solver_triggered,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-022,route/view/diameter/bin descriptor binding,false,true,COMSOL_PRODUCER_EXTRA_REVIEW_ONLY,false,false,none
G11H-CONV-023,runtime_guard_status,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-024,runtime_top_aperture_nm,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-025,sidewall_angle_convention,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-026,sidewall_deg_comsol,true,true,EXACT_MATCH,false,false,none
G11H-CONV-027,sidewall_descriptor_binding_status,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-028,sidewall_eas_v2_requires_descriptor_binding,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-029,sidewall_prs_v2_requires_descriptor_binding,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-030,sidewall_taper_angle_deg_nodi,true,true,EXACT_MATCH,false,false,none
G11H-CONV-031,source_geometry_descriptor_id,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
G11H-CONV-032,source_geometry_descriptor_sha,true,false,NODI_REQUIRED_COMSOL_MISSING,false,false,none
