intake_id,commit,commit_full,subject,changed_file_scope,guard_added,prs_eas_descriptor_runtime_cache_impact,implemented_status,remaining_gap
G11A-HARDEN-001,54ce714,54ce71448d9cf142bf3f3fdd3fd9b744f06da895,Refresh sidewall convergence reports,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-002,c44ff90,c44ff90e34794274c034c454b50558215173de89,Reject propagated closed sidewall artifacts,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,closed geometry propagation rejection,closure/runtime guard consistency,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-003,8e702d4,8e702d4e4c349bb13f2c702e14973ed404f3bae5,Add Gate12 sidewall addendum release candidate,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-004,f6df710,f6df710773ee2a7f6e3a2d37639be6c2bb2fc637,Block closed trapezoid runtime paths,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-005,e29501c,e29501c3d26b5ff712870d7bc10a3617bd97ca28,Add Gate11 sidewall descriptor convergence,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-006,3b1ed6b,3b1ed6b096e930d93df14a558a903dde6f4f187b,Scan sidewall package D precheck columns,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-007,d388cad,d388cad9e92e33152fc642b41b29ab00d7643613,Add sidewall package D precheck validator,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-008,f84b1d0,f84b1d089ee1ea88f35f990c0edfb724dff3082e,Bind sidewall EAS optical trigger claims,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,EAS optical trigger/claim-level consistency,EAS optical trigger fields,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-009,a53a477,a53a47731515a149b87a3d99df56d81e16d73301,Require sidewall EAS reference context,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,EAS reference_field/detector context,EAS reference context,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-010,9c26dff,9c26dffe19f9c10fab5ff9a1a033542e1811c090,Require sidewall PRS runtime propagation fields,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,PRS runtime propagation models,PRS runtime geometry propagation,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-011,9928173,99281732dc587fc9eb45a0b35467c793ef2620f0,Validate sidewall PRS particle radius,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,particle radius/steric support,PRS particle support,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-012,9d628f1,9d628f1913ca8d2c8eba845451105c687fb6a12f,Require sidewall PRS normalized coordinates,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,local normalized coordinate and geometry consistency,PRS normalized coordinates,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-013,340fcf2,340fcf21aa790b77824827cf9ea478afb97f8962,Require sidewall artifact metadata,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,artifact id/version/created/provenance metadata,PRS/EAS artifact metadata,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-014,e2df991,e2df9910b65e442f79df1ea794ec68315536233e,Require sidewall roadmap status guard,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,roadmap status cannot be production-ready,roadmap-to-contract guard,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-015,30e4431,30e4431765bacee26a46d58a9fe6631312dcf624,Require sidewall artifact acceptance guards,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,not accepted for formula/runtime/production flags,no-auth guard,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-016,17aacad,17aacad2d864c058d047a0448dda3d45742fe08e,Require sidewall EAS optical claim level,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,EAS optical geometry claim enum,EAS optical claim boundary,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-017,24d426e,24d426e3c4291153280d3390b83d21c7c28b5cb1,Require sidewall EAS optical trigger fields,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,EAS solver trigger fields and reason,EAS optical trigger,implemented_in_current_HEAD,covered_by_Gate11_addendum_or_future_authorized_solver
G11A-HARDEN-018,c1942a2,c1942a24c8cce524c5eaaa4369ced5c174dbd5f5,Require sidewall EAS runtime geometry context,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,EAS trapezoid runtime geometry context,EAS runtime geometry,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-019,59f88d7,59f88d76a815037c49c6e8da2bb65fe6f833b4d4,Require sidewall artifact cache signatures,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,observation signature/cache geometry match,cache/signature drift guard,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-020,e889d38,e889d3851edfb5e4208f7c98aa004329b223b434,Include sidewall descriptor provenance in signatures,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-021,a524ce6,a524ce6f3ea9e334f32d8060b5dd34ef40b786c0,Reject numeric responses for blocked sidewall bins,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-022,5ba2eba,5ba2ebaf0d4b2627d5b74a457fec10bc243eff65,Reject sidewall source grain borrowing,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-023,6da5468,6da546863db542a0e813b70fa4dde21820acaeef,Cover EAS sidewall claim column blacklist,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-024,7e04591,7e0459143675bd6ba6812994452fe4487b623a97,Require sidewall descriptor context fields,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-025,8d0d79a,8d0d79a54ae6e773cc2e1d824fdf10f71db9e0e7,Require sidewall source descriptor binding,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-026,8468967,84689677dffd9d4b45551248797c5c2ca243c0ea,Gate measured geometry claims,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-027,580e096,580e0964f467eb179b4f03cb2de868dcd0fc629b,Reject min-aperture passability promotion,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-028,743198b,743198b1f4ba84ee8bf0a454fdc88ef8a03bec7b,Track secondary sidewall geometry in signatures,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-029,2c783e8,2c783e83d7f1c7b1b068c8634f496302b20e5a74,Harden sidewall Gate10 and descriptor validators,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-030,2c48161,2c48161e5d80323afd072ffd0caedbfee0f19d51,Require runtime top aperture binding when claimed,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-031,53618da,53618da7940a6634c5ea382879b55119df5a34f0,Guard sidewall EAS v2 claim promotion,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-032,866ed47,866ed47e024771e4c5d1b092a4aa55b0536d7e93,Block non-propagated sidewall PRS decisions,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
G11A-HARDEN-033,f01a48b,f01a48b64f2865c9bb9d4cd5d8188c4169a6ece5,Require sidewall PRS local geometry fields,nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,sidewall interface/runtime guard hardening,contract hardening,implemented_in_current_HEAD,none_at_contract_layer
