coverage_id,required_guard,implemented_function_or_token,implemented_status,test_token,test_status,remaining_gap,no_numeric_production_output
G11D-COVER-001,sidewall artifact metadata,SIDEWALL_V2_ARTIFACT_METADATA_REQUIRED_FIELDS,PASS,requires_artifact_metadata,PASS,none_contract_layer,true
G11D-COVER-002,descriptor provenance and source binding,_validate_sidewall_v2_source_geometry_descriptor_binding,PASS,requires_source_geometry_descriptor,PASS,none_contract_layer,true
G11D-COVER-003,source grain borrowing rejection,_validate_sidewall_v2_source_grain_binding,PASS,D900_to_D1200_source_borrowing,PASS,none_contract_layer,true
G11D-COVER-004,normalized coordinates,_validate_sidewall_local_geometry,PASS,requires_local_normalized_coordinates,PASS,none_contract_layer,true
G11D-COVER-005,particle radius / steric support,_validate_sidewall_tail_particle_support_guard,PASS,particle_radius_diameter_mismatch,PASS,none_contract_layer,true
G11D-COVER-006,runtime geometry propagation fields,_validate_sidewall_propagation_status_usage,PASS,requires_runtime_propagation_models,PASS,none_contract_layer,true
G11D-COVER-007,PRS blocked-bin numeric response rejection,_validate_sidewall_blocked_bin_response_values,PASS,blocked_bin_numeric_response,PASS,none_contract_layer,true
G11D-COVER-008,EAS runtime geometry context,_validate_sidewall_v2_eas_runtime_geometry_context,PASS,requires_runtime_geometry_context,PASS,none_contract_layer,true
G11D-COVER-009,EAS reference context,reference_field_model,PASS,requires_reference_context,PASS,none_contract_layer,true
G11D-COVER-010,EAS optical trigger fields,_validate_sidewall_v2_eas_optical_solver_trigger,PASS,requires_solver_trigger_fields,PASS,none_contract_layer,true
G11D-COVER-011,EAS optical claim-level consistency,optical_solver_triggered is inconsistent with optical_geometry_claim_level,PASS,requires_solver_required_when_triggered,PASS,none_contract_layer,true
G11D-COVER-012,forbidden claim columns,SIDEWALL_ROADMAP_FORBIDDEN,PASS,rejects_exact_sidewall_claim_columns,PASS,none_contract_layer,true
G11D-COVER-013,artifact cache signatures,_validate_sidewall_v2_observation_cache_context,PASS,requires_observation_signature,PASS,none_contract_layer,true
G11D-COVER-014,acceptance guards,_validate_sidewall_v2_acceptance_guards,PASS,requires_acceptance_guards,PASS,none_contract_layer,true
G11D-COVER-015,closed geometry propagation rejection,geometry_closed sidewall row cannot be marked geometry_propagation_status=propagated,PASS,rejects_closed_geometry_as_propagated,PASS,none_contract_layer,true
