handshake_id,field,nodi_status,comsol_status,resolution,semantic_conflict,auth_impact,future_gate,required_missing,dirty_delta_open
G12F-HANDSHAKE-001,geometry_descriptor_id,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-002,geometry_descriptor_sha256,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-003,sidewall_angle_convention,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-004,sidewall_deg_comsol,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-005,sidewall_taper_angle_deg_nodi,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-006,angle_conversion_formula_id,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-007,W_top_nm,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-008,W_top_semantics,NOT_IN_NODI_RELEASE_FIELD_DICT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-009,runtime_top_aperture_nm,NOT_IN_NODI_RELEASE_FIELD_DICT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-010,D_nm,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-011,depth_nm,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-012,W_bottom_unclipped_nm,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-013,W_bottom_runtime_clipped_nm,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-014,closure_status,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-015,closure_policy,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-016,runtime_guard_status,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-017,min_aperture_descriptor_nm,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-018,cross_section_geometry_version,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-019,geometry_claim_level,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-020,geometry_surrogate_status,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-021,not_measured_geometry,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-022,not_runtime_configuration,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-023,not_production_ingestion,PRESENT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-024,allowed_use,NOT_IN_NODI_RELEASE_FIELD_DICT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
G12F-HANDSHAKE-025,blocked_use,NOT_IN_NODI_RELEASE_FIELD_DICT,EXACT_MATCH,EXACT_MATCH_RELEASE_CANDIDATE,false,none;all review-only/no-auth,none_current_release_candidate,false,false
