blocker_id,geometry_descriptor_id,source_gate10_descriptor_id,blocker_status,blocker_reason,source_blocker_rows_available,auto_binding_allowed,borrowing_allowed,required_next_gate
G12D-BLOCKER-001,G10-SWD-STAGE115-001-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE115-001,BLOCKED_AS_EXPECTED_REVIEW_ONLY,route/view/diameter/bin remain UNBOUND/not_bound,11,false,false,future_explicit_NODI_binding_sidecar_if_authorized
G12D-BLOCKER-002,G10-SWD-STAGE115-002-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE115-002,BLOCKED_AS_EXPECTED_REVIEW_ONLY,route/view/diameter/bin remain UNBOUND/not_bound,11,false,false,future_explicit_NODI_binding_sidecar_if_authorized
G12D-BLOCKER-003,G10-SWD-STAGE115-003-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE115-003,BLOCKED_AS_EXPECTED_REVIEW_ONLY,route/view/diameter/bin remain UNBOUND/not_bound,11,false,false,future_explicit_NODI_binding_sidecar_if_authorized
G12D-BLOCKER-004,G10-SWD-STAGE115-004-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE115-004,BLOCKED_AS_EXPECTED_REVIEW_ONLY,route/view/diameter/bin remain UNBOUND/not_bound,11,false,false,future_explicit_NODI_binding_sidecar_if_authorized
G12D-BLOCKER-005,G10-SWD-STAGE115-005-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE115-005,BLOCKED_AS_EXPECTED_REVIEW_ONLY,route/view/diameter/bin remain UNBOUND/not_bound,11,false,false,future_explicit_NODI_binding_sidecar_if_authorized
G12D-BLOCKER-006,G10-SWD-STAGE119-P6-001-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE119-P6-001,BLOCKED_AS_EXPECTED_REVIEW_ONLY,route/view/diameter/bin remain UNBOUND/not_bound,11,false,false,future_explicit_NODI_binding_sidecar_if_authorized
G12D-BLOCKER-007,G10-SWD-STAGE119-P6-002-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE119-P6-002,BLOCKED_AS_EXPECTED_REVIEW_ONLY,route/view/diameter/bin remain UNBOUND/not_bound,11,false,false,future_explicit_NODI_binding_sidecar_if_authorized
G12D-BLOCKER-008,G10-SWD-STAGE119-P6-003-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE119-P6-003,BLOCKED_AS_EXPECTED_REVIEW_ONLY,route/view/diameter/bin remain UNBOUND/not_bound,11,false,false,future_explicit_NODI_binding_sidecar_if_authorized
G12D-BLOCKER-009,G10-SWD-STAGE119-P6-004-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE119-P6-004,BLOCKED_AS_EXPECTED_REVIEW_ONLY,route/view/diameter/bin remain UNBOUND/not_bound,11,false,false,future_explicit_NODI_binding_sidecar_if_authorized
G12D-BLOCKER-010,G10-SWD-STAGE119-P6-005-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE119-P6-005,BLOCKED_AS_EXPECTED_REVIEW_ONLY,route/view/diameter/bin remain UNBOUND/not_bound,11,false,false,future_explicit_NODI_binding_sidecar_if_authorized
G12D-BLOCKER-011,G10-SWD-MICRO-STAGE15-001-NODI-ADDENDUM-CANDIDATE,G10-SWD-MICRO-STAGE15-001,BLOCKED_AS_EXPECTED_REVIEW_ONLY,micro descriptor is review-only and not nano binding,11,false,false,future_explicit_NODI_binding_sidecar_if_authorized
