receipt_id,artifact_name,original_absolute_path,relative_source_path,artifact_kind,row_count,recorded_row_count,sha256,recorded_sha256,receipt_status,producer_status,policy_impact,auth_impact,evidence_bearing
G12A-COMSOL-RCPT-001,COMSOL_GATE11_SIDEWALL_ADDENDUM_CONVERGENCE_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE11_SIDEWALL_ADDENDUM_CONVERGENCE_PACKET_20260629.md,roadmap/COMSOL_GATE11_SIDEWALL_ADDENDUM_CONVERGENCE_PACKET_20260629.md,required,NA,NA,daca01464ed255893b33539e03b117db781bdd81c5d8969ddcaeb80c3a386da1,daca01464ed255893b33539e03b117db781bdd81c5d8969ddcaeb80c3a386da1,MATCH,COMSOL_GATE11_REVIEW_ONLY_NO_AUTH,none_review_only_receipt,none_no_authorization,false
G12A-COMSOL-RCPT-002,COMSOL_GATE11_NODI_CONTEXT_RECEIPT_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE11_NODI_CONTEXT_RECEIPT_20260629.csv,roadmap/COMSOL_GATE11_NODI_CONTEXT_RECEIPT_20260629.csv,required,23,23,95139a523693d4f6f4b9b884e69792895aac374322b0dd99c0c2e312b1ec0ffe,95139a523693d4f6f4b9b884e69792895aac374322b0dd99c0c2e312b1ec0ffe,MATCH,COMSOL_GATE11_REVIEW_ONLY_NO_AUTH,none_review_only_receipt,none_no_authorization,false
G12A-COMSOL-RCPT-003,COMSOL_GATE11_NODI_BOUND_SIDEWALL_DESCRIPTOR_ADDENDUM_CANDIDATE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE11_NODI_BOUND_SIDEWALL_DESCRIPTOR_ADDENDUM_CANDIDATE_20260629.csv,roadmap/COMSOL_GATE11_NODI_BOUND_SIDEWALL_DESCRIPTOR_ADDENDUM_CANDIDATE_20260629.csv,required,11,11,797e9afc85b3b86793e0f383b7afea0d61705a3be9afe69b774f276dded15545,797e9afc85b3b86793e0f383b7afea0d61705a3be9afe69b774f276dded15545,MATCH,COMSOL_GATE11_REVIEW_ONLY_NO_AUTH,none_review_only_receipt,none_no_authorization,false
G12A-COMSOL-RCPT-004,COMSOL_GATE11_SIDEWALL_FIELD_CONVERGENCE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE11_SIDEWALL_FIELD_CONVERGENCE_20260629.csv,roadmap/COMSOL_GATE11_SIDEWALL_FIELD_CONVERGENCE_20260629.csv,required,31,31,46059429ca0c7729830f6c6aa7c2c5c14b7793698b38d9005e7dfd369913339b,46059429ca0c7729830f6c6aa7c2c5c14b7793698b38d9005e7dfd369913339b,MATCH,COMSOL_GATE11_REVIEW_ONLY_NO_AUTH,none_review_only_receipt,none_no_authorization,false
G12A-COMSOL-RCPT-005,COMSOL_GATE11_SIDEWALL_RECEIVER_FIXTURE_TEMPLATES_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE11_SIDEWALL_RECEIVER_FIXTURE_TEMPLATES_20260629.csv,roadmap/COMSOL_GATE11_SIDEWALL_RECEIVER_FIXTURE_TEMPLATES_20260629.csv,required,10,10,19eae7875b726ced0bc1ad5f8db00f0c95d86c6fd7448ca7032b8047f7164bf0,19eae7875b726ced0bc1ad5f8db00f0c95d86c6fd7448ca7032b8047f7164bf0,MATCH,COMSOL_GATE11_REVIEW_ONLY_NO_AUTH,none_review_only_receipt,none_no_authorization,false
G12A-COMSOL-RCPT-006,COMSOL_GATE11_SIDEWALL_BINDING_BLOCKERS_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE11_SIDEWALL_BINDING_BLOCKERS_20260629.csv,roadmap/COMSOL_GATE11_SIDEWALL_BINDING_BLOCKERS_20260629.csv,required,11,11,910ed1ee4bac6c787bf90b9c67e78aa6506e22e9db9ef892799c8aac8d1d406a,910ed1ee4bac6c787bf90b9c67e78aa6506e22e9db9ef892799c8aac8d1d406a,MATCH,COMSOL_GATE11_REVIEW_ONLY_NO_AUTH,none_review_only_receipt,none_no_authorization,false
G12A-COMSOL-RCPT-007,COMSOL_GATE11_SIDEWALL_VALIDATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE11_SIDEWALL_VALIDATION_20260629.csv,roadmap/COMSOL_GATE11_SIDEWALL_VALIDATION_20260629.csv,required,17,17,05c489504cdd7de1dbc7089f06d891056024cb59f2559c8820e3b4f583fbd8d5,05c489504cdd7de1dbc7089f06d891056024cb59f2559c8820e3b4f583fbd8d5,MATCH,COMSOL_GATE11_REVIEW_ONLY_NO_AUTH,none_review_only_receipt,none_no_authorization,false
G12A-COMSOL-RCPT-008,COMSOL_GATE11_SIDEWALL_MANIFEST_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE11_SIDEWALL_MANIFEST_20260629.csv,roadmap/COMSOL_GATE11_SIDEWALL_MANIFEST_20260629.csv,required,12,NOT_IN_MANIFEST,4b5fbe2e81a941197ba744f3625a2f103cc360ed53dd065259b5e1d96ed23f8b,NOT_IN_MANIFEST,OPTIONAL_NOT_IN_MANIFEST_READABLE,COMSOL_GATE11_REVIEW_ONLY_NO_AUTH,none_review_only_receipt,none_no_authorization,false
G12A-COMSOL-RCPT-009,COMSOL_GATE11_SIDEWALL_FUTURE_HANDOFF_ESCROW_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE11_SIDEWALL_FUTURE_HANDOFF_ESCROW_20260629.csv,roadmap/COMSOL_GATE11_SIDEWALL_FUTURE_HANDOFF_ESCROW_20260629.csv,optional,6,6,6fa3f1049ebd4a573dfba601ab12e3b9a89d41f77a71d4acc27f090830b04e55,6fa3f1049ebd4a573dfba601ab12e3b9a89d41f77a71d4acc27f090830b04e55,MATCH,COMSOL_GATE11_REVIEW_ONLY_NO_AUTH,none_review_only_receipt,none_no_authorization,false
G12A-COMSOL-RCPT-010,COMSOL_GATE11_SIDEWALL_MUTATION_NEGATIVE_CONTROLS_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE11_SIDEWALL_MUTATION_NEGATIVE_CONTROLS_20260629.csv,roadmap/COMSOL_GATE11_SIDEWALL_MUTATION_NEGATIVE_CONTROLS_20260629.csv,optional,12,12,028d3beed82112f94ebbf49717edb48eaace7cf3518ec69dcefa6dc989b462bb,028d3beed82112f94ebbf49717edb48eaace7cf3518ec69dcefa6dc989b462bb,MATCH,COMSOL_GATE11_REVIEW_ONLY_NO_AUTH,none_review_only_receipt,none_no_authorization,false
