receipt_id,artifact_name,original_absolute_path,relative_source_path,required,row_count,recorded_row_count,sha256,recorded_sha256,receipt_status,producer_status,policy_impact,auth_impact
G13B-COMSOL-G12-RCPT-001,COMSOL_GATE12_SIDEWALL_ADDENDUM_RELEASE_CANDIDATE_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE12_SIDEWALL_ADDENDUM_RELEASE_CANDIDATE_PACKET_20260629.md,roadmap/COMSOL_GATE12_SIDEWALL_ADDENDUM_RELEASE_CANDIDATE_PACKET_20260629.md,true,NA,NA,0d2bbd0c1db652956b35b34f8cd516b4e904dc21e7415acbdf2a484565ece762,0d2bbd0c1db652956b35b34f8cd516b4e904dc21e7415acbdf2a484565ece762,MATCH,COMSOL_GATE12_NODI_SIDEWALL_ADDENDUM_RELEASE_CANDIDATE_HANDSHAKE_NO_AUTH,none_review_only_descriptor_handshake,none_no_authorization
G13B-COMSOL-G12-RCPT-002,COMSOL_GATE12_SIDEWALL_STATUS_20260629.json,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE12_SIDEWALL_STATUS_20260629.json,roadmap/COMSOL_GATE12_SIDEWALL_STATUS_20260629.json,true,NA,NA,6d74120907d6bed9a2d0f368ad972a167045d2c8425d792b4f7245015f42ba4b,6d74120907d6bed9a2d0f368ad972a167045d2c8425d792b4f7245015f42ba4b,MATCH,COMSOL_GATE12_NODI_SIDEWALL_ADDENDUM_RELEASE_CANDIDATE_HANDSHAKE_NO_AUTH,none_review_only_descriptor_handshake,none_no_authorization
G13B-COMSOL-G12-RCPT-003,COMSOL_GATE12_SIDEWALL_HANDSHAKE_MATRIX_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE12_SIDEWALL_HANDSHAKE_MATRIX_20260629.csv,roadmap/COMSOL_GATE12_SIDEWALL_HANDSHAKE_MATRIX_20260629.csv,true,30,30,a53ffe2d4b638b215c964bde28a3afac8944d351320de6307db781059dc830d4,a53ffe2d4b638b215c964bde28a3afac8944d351320de6307db781059dc830d4,MATCH,COMSOL_GATE12_NODI_SIDEWALL_ADDENDUM_RELEASE_CANDIDATE_HANDSHAKE_NO_AUTH,none_review_only_descriptor_handshake,none_no_authorization
G13B-COMSOL-G12-RCPT-004,COMSOL_GATE12_NODI_DESCRIPTOR_RECEIPT_DRYRUN_INPUTS_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE12_NODI_DESCRIPTOR_RECEIPT_DRYRUN_INPUTS_20260629.csv,roadmap/COMSOL_GATE12_NODI_DESCRIPTOR_RECEIPT_DRYRUN_INPUTS_20260629.csv,true,25,25,eabd09abbb053bf86f8a20efa9351d722f43c39cb94c7c33ac8864152eb08454,eabd09abbb053bf86f8a20efa9351d722f43c39cb94c7c33ac8864152eb08454,MATCH,COMSOL_GATE12_NODI_SIDEWALL_ADDENDUM_RELEASE_CANDIDATE_HANDSHAKE_NO_AUTH,none_review_only_descriptor_handshake,none_no_authorization
G13B-COMSOL-G12-RCPT-005,COMSOL_GATE12_SIDEWALL_BINDING_BLOCKER_CLOSURE_ROADMAP_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE12_SIDEWALL_BINDING_BLOCKER_CLOSURE_ROADMAP_20260629.csv,roadmap/COMSOL_GATE12_SIDEWALL_BINDING_BLOCKER_CLOSURE_ROADMAP_20260629.csv,true,11,11,a33ea67380f7d390a4a899745cfaa07a44c4788716f18de8044c666569160729,a33ea67380f7d390a4a899745cfaa07a44c4788716f18de8044c666569160729,MATCH,COMSOL_GATE12_NODI_SIDEWALL_ADDENDUM_RELEASE_CANDIDATE_HANDSHAKE_NO_AUTH,none_review_only_descriptor_handshake,none_no_authorization
G13B-COMSOL-G12-RCPT-006,COMSOL_GATE12_SIDEWALL_VALIDATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE12_SIDEWALL_VALIDATION_20260629.csv,roadmap/COMSOL_GATE12_SIDEWALL_VALIDATION_20260629.csv,true,14,14,7038c9e84df3902c0ef51e558c4c5e037c40ed537fc9e6c92b18b77449218964,7038c9e84df3902c0ef51e558c4c5e037c40ed537fc9e6c92b18b77449218964,MATCH,COMSOL_GATE12_NODI_SIDEWALL_ADDENDUM_RELEASE_CANDIDATE_HANDSHAKE_NO_AUTH,none_review_only_descriptor_handshake,none_no_authorization
G13B-COMSOL-G12-RCPT-007,COMSOL_GATE12_SIDEWALL_MANIFEST_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE12_SIDEWALL_MANIFEST_20260629.csv,roadmap/COMSOL_GATE12_SIDEWALL_MANIFEST_20260629.csv,true,14,NOT_IN_MANIFEST,6432d05087275975fcab7ff5a6e1d6261bb9af5f15fc939857458adf23e6111c,NOT_IN_MANIFEST,SELF_REFERENTIAL_METADATA_DRIFT_NON_POLICY,COMSOL_GATE12_NODI_SIDEWALL_ADDENDUM_RELEASE_CANDIDATE_HANDSHAKE_NO_AUTH,none_review_only_descriptor_handshake,none_no_authorization
G13B-COMSOL-G12-RCPT-008,COMSOL_GATE12_SIDEWALL_MUTATION_RESULTS_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE12_SIDEWALL_MUTATION_RESULTS_20260629.csv,roadmap/COMSOL_GATE12_SIDEWALL_MUTATION_RESULTS_20260629.csv,false,132,132,d612591c3ce6483d5c6629e32a5b5b0c55d5354777cc1e78b51629bb3ad7c142,d612591c3ce6483d5c6629e32a5b5b0c55d5354777cc1e78b51629bb3ad7c142,MATCH,COMSOL_GATE12_NODI_SIDEWALL_ADDENDUM_RELEASE_CANDIDATE_HANDSHAKE_NO_AUTH,none_review_only_descriptor_handshake,none_no_authorization
G13B-COMSOL-G12-RCPT-009,COMSOL_GATE12_SIDEWALL_PROVENANCE_LEDGER_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE12_SIDEWALL_PROVENANCE_LEDGER_20260629.csv,roadmap/COMSOL_GATE12_SIDEWALL_PROVENANCE_LEDGER_20260629.csv,false,6,6,c368f8936846ef0aed44f59d618ef4f05a292577a3353694b2a21d584a59b02f,c368f8936846ef0aed44f59d618ef4f05a292577a3353694b2a21d584a59b02f,MATCH,COMSOL_GATE12_NODI_SIDEWALL_ADDENDUM_RELEASE_CANDIDATE_HANDSHAKE_NO_AUTH,none_review_only_descriptor_handshake,none_no_authorization
G13B-COMSOL-G12-RCPT-010,COMSOL_GATE12_SIDEWALL_DECISION_DOSSIER_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE12_SIDEWALL_DECISION_DOSSIER_20260629.csv,roadmap/COMSOL_GATE12_SIDEWALL_DECISION_DOSSIER_20260629.csv,false,3,3,86ffa6198db062e8613525f4b2a5a011865172be38ede42f460a9d5d2a19891a,86ffa6198db062e8613525f4b2a5a011865172be38ede42f460a9d5d2a19891a,MATCH,COMSOL_GATE12_NODI_SIDEWALL_ADDENDUM_RELEASE_CANDIDATE_HANDSHAKE_NO_AUTH,none_review_only_descriptor_handshake,none_no_authorization
