dryrun_id,source_row_id,descriptor_id,route_key_binding_status,receipt_verdict,quarantine_ledger,closure_authority_verdict,proxy_firewall_verdict,blocked_disposition,prs_eas_numeric_response_output,edge_authorized,qch_authorized,jrc_authorized,yield_winner_detection_probability_authorized,runtime_production_authorized
G13F-DRYRUN-001,row-1,,UNBOUND,QUARANTINE_UNBOUND_REVIEW_ONLY,true,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,UNBOUND_NOT_PROMOTED,false,false,false,false,false,false
G13F-DRYRUN-002,row-2,,UNBOUND,QUARANTINE_UNBOUND_REVIEW_ONLY,true,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,UNBOUND_NOT_PROMOTED,false,false,false,false,false,false
G13F-DRYRUN-003,row-3,,UNBOUND,QUARANTINE_UNBOUND_REVIEW_ONLY,true,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,UNBOUND_NOT_PROMOTED,false,false,false,false,false,false
G13F-DRYRUN-004,row-4,,UNBOUND,QUARANTINE_UNBOUND_REVIEW_ONLY,true,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,UNBOUND_NOT_PROMOTED,false,false,false,false,false,false
G13F-DRYRUN-005,row-5,,UNBOUND,QUARANTINE_UNBOUND_REVIEW_ONLY,true,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,UNBOUND_NOT_PROMOTED,false,false,false,false,false,false
G13F-DRYRUN-006,row-6,,UNBOUND,QUARANTINE_UNBOUND_REVIEW_ONLY,true,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,UNBOUND_NOT_PROMOTED,false,false,false,false,false,false
G13F-DRYRUN-007,row-7,,UNBOUND,QUARANTINE_UNBOUND_REVIEW_ONLY,true,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,UNBOUND_NOT_PROMOTED,false,false,false,false,false,false
G13F-DRYRUN-008,row-8,,UNBOUND,QUARANTINE_UNBOUND_REVIEW_ONLY,true,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,UNBOUND_NOT_PROMOTED,false,false,false,false,false,false
G13F-DRYRUN-009,row-9,,UNBOUND,QUARANTINE_UNBOUND_REVIEW_ONLY,true,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,UNBOUND_NOT_PROMOTED,false,false,false,false,false,false
G13F-DRYRUN-010,row-10,,UNBOUND,QUARANTINE_UNBOUND_REVIEW_ONLY,true,PASS_DESCRIPTOR_FORMULA_REVIEW_ONLY,PASS_PROXY_NOT_QCH,UNBOUND_NOT_PROMOTED,false,false,false,false,false,false
