contract_row_id,source_field_or_topic,nodi_status,comsol_status,compatibility_status,semantic_conflict,closed_sidewall_propagation,fluidic_proxy_promotion,auth_impact,future_gate
G13G-CONTRACT-001,geometry_descriptor_id,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-002,geometry_descriptor_sha256,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-003,source_geometry_descriptor_id,NODI_GATE11_RELEASED_FIELD,NORMALIZED_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-004,source_geometry_descriptor_sha,NODI_GATE11_RELEASED_FIELD,NORMALIZED_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-005,sidewall_angle_convention,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-006,sidewall_deg_comsol,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-007,sidewall_taper_angle_deg_nodi,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-008,angle_conversion_formula_id,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-009,W_top_nm,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-010,D_nm,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-011,depth_nm,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-012,W_bottom_unclipped_nm,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-013,W_bottom_runtime_clipped_nm,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-014,closure_status,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-015,closure_policy,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-016,runtime_guard_status,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-017,min_aperture_descriptor_nm,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-018,cross_section_geometry_version,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-019,cross_section_geometry_version_candidate,NODI_GATE11_RELEASED_FIELD,NORMALIZED_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
G13G-CONTRACT-020,geometry_claim_level,NODI_GATE11_RELEASED_FIELD,EXACT_MATCH,NORMALIZED_MATCH_OR_REVIEW_ONLY_DELTA,false,false,false,none_no_auth,Gate14-sidewall-descriptor-receipt-if-user-authorized
