path,git_status,classification,diff_intent,risk,required_tests,commit_action,unknown_blocker
reports/327_NODI_COMSOL_GATE13A_SIDEWALL_WORKTREE_RECONCILIATION_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/328_NODI_COMSOL_GATE13B_COMSOL_GATE12_RECEIPT_AND_PROVENANCE_REPAIR_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/329_NODI_COMSOL_GATE13C_SIDEWALL_GEOMETRY_CLOSURE_AUTHORITY_CONTRACT_V2_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/330_NODI_COMSOL_GATE13D_CLOSED_SIDEWALL_HARD_FAIL_HARNESS_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/331_NODI_COMSOL_GATE13E_FLUIDIC_NETWORK_PROXY_FIREWALL_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/332_NODI_COMSOL_GATE13F_DESCRIPTOR_RECEIPT_DRYRUN_HARNESS_V2_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/333_NODI_COMSOL_GATE13G_SIDEWALL_INTERFACE_CONTRACT_V2_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/334_NODI_COMSOL_GATE13H_DETERMINISTIC_MUTATION_AND_REPLAY_EXPANSION_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/335_NODI_COMSOL_GATE13I_TEST_EXPANSION_AND_REGRESSION_SWEEP_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
reports/336_NODI_COMSOL_GATE13J_RELEASE_SIGNOFF_READINESS_DOSSIER_20260629.md,??,LEGIT_GATE13_GENERATED_OUTPUT_PENDING_COMMIT,Gate13 builder/test/report/sidecar generated in this run,low,Gate13 builder;py_compile;ruff;focused pytest;sidewall regressions,stage_with_gate13_commit,false
