schema_field,requirement,default
policy_approved,mandatory_false_for_pre_auth_package,false
policy_use_requested,mandatory_false_for_pre_auth_package,false
policy_use_authorized,mandatory_false_for_pre_auth_package,false
formula_use_authorized,mandatory_false_for_pre_auth_package,false
direct_prs_bin_use_authorized,mandatory_false_for_pre_auth_package,false
grain_level_ingestion_authorized,mandatory_false_for_pre_auth_package,false
accepted_row_expansion_authorized,mandatory_false_for_pre_auth_package,false
accepted_context_authorized,mandatory_false_for_pre_auth_package,false
auto_map_authorized,mandatory_false_for_pre_auth_package,false
qch_weighting_authorized,mandatory_false_for_pre_auth_package,false
qch_eta_authorized,mandatory_false_for_pre_auth_package,false
qch_chi_eta_authorized,mandatory_false_for_pre_auth_package,false
chi_selected_authorized,mandatory_false_for_pre_auth_package,false
jrc_authorized,mandatory_false_for_pre_auth_package,false
yield_authorized,mandatory_false_for_pre_auth_package,false
winner_authorized,mandatory_false_for_pre_auth_package,false
detection_probability_authorized,mandatory_false_for_pre_auth_package,false
production_ingestion_authorized,mandatory_false_for_pre_auth_package,false
runtime_configuration_authorized,mandatory_false_for_pre_auth_package,false
is_formal_gate2_qch_sidecar,mandatory_false_for_pre_auth_package,false
is_chi_selected,mandatory_false_for_pre_auth_package,false
is_production_ingestion,mandatory_false_for_pre_auth_package,false
is_runtime_configuration,mandatory_false_for_pre_auth_package,false
manifest_sha256,mandatory_for_package_receipt,
source_row_id,mandatory_for_row_identity,
workstream,mandatory_for_next_gate_routing,
not_evidence,mandatory_true_for_templates_fixtures_hypothetical,true
