adapter_id,source_field,target_field,adapter_requirement,authorization_effect
G3E-ADAPT-0001,D_nm,D_nm,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0002,NODI_view,NODI_view,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0003,NODI_view_binding_policy,NODI_view_binding_policy,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0004,NODI_view_binding_status,NODI_view_binding_status,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0005,NODI_view_current,NODI_view_current,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0006,NODI_view_status,NODI_view_status,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0007,PRS_exact_match_claim,PRS_exact_match_claim,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0008,UNBOUND_reason_if_any,UNBOUND_reason_if_any,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0009,W_nominal_nm,W_nominal_nm,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0010,accepted_context_authorized,accepted_context_authorized,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0011,accepted_row_expansion_authorized,accepted_row_expansion_authorized,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0012,affected_rows,affected_rows,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0013,aggregation_error_bound_status,aggregation_error_bound_status,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0014,aggregation_rule,aggregation_rule,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0015,allowed_use,allowed_use,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0016,allowed_value_or_domain,allowed_value_or_domain,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0017,artifact_id,artifact_id,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0018,artifact_level_context_candidate,artifact_level_context_candidate,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0019,artifact_path,artifact_path,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0020,authorization_flags_false,authorization_flags_false,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0021,authorized,authorized,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0022,auto_map_authorized,auto_map_authorized,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0023,bin_basis,bin_basis,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0024,bin_coverage,bin_coverage,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0025,bin_id,bin_id,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0026,binding_blocker,binding_blocker,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0027,binding_fail_closed,binding_fail_closed,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0028,binding_repair_row_id,binding_repair_row_id,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0029,binding_template_row_id,binding_template_row_id,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0030,blocked_class,blocked_class,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0031,blocked_until,blocked_until,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0032,blocked_use,blocked_use,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0033,blocker_id,blocker_id,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0034,blocker_if_any,blocker_if_any,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0035,blocker_preserved,blocker_preserved,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0036,blocker_reason,blocker_reason,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0037,blocker_type,blocker_type,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0038,can_be_done_without_new_comsol_solve,can_be_done_without_new_comsol_solve,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0039,can_close_reason,can_close_reason,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0040,can_close_work_order,can_close_work_order,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0041,can_fix_without_new_comsol_solve,can_fix_without_new_comsol_solve,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0042,can_repair_without_new_solve,can_repair_without_new_solve,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0043,candidate_claim,candidate_claim,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0044,candidate_edge20_bins_covered,candidate_edge20_bins_covered,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0045,candidate_export_row_id,candidate_export_row_id,normalize naming/path only; no semantic promotion,none
G3E-ADAPT-0046,candidate_prs_edge20_end_1based,candidate_prs_edge20_end_1based,normalize naming/path only; no semantic promotion,none
