mutation_id,mutation_family,expected_result,observed_disposition,validation_status
G3F-MUT-0001,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0002,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0003,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0004,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0005,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0006,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0007,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0008,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0009,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0010,pairwise,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0011,cross_workstream,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0012,near_miss,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0013,comsol_dossier_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0014,hypothetical_package_derived,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0015,false_positive_blocked_mention,EXPECTED_PASS_CONTROL,RECEIVE_REVIEW_ONLY,PASS_EXPECTED
G3F-MUT-0016,false_negative_authorization_leak,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
G3F-MUT-0017,single,EXPECTED_FAIL,HARD_FAIL_FORBIDDEN_AUTHORIZATION,PASS_EXPECTED
