receipt_id,artifact_path,expected_sha256,actual_sha256,row_count,receipt_status,allowed_use,blocked_use
G4A-MANIFEST-0001,full_chip/dwg_analysis/build_gate3a_to_gate3f_producer_readiness_20260629.py,270c314018f784f86bfc707920399c0bfab985ec8190309319131d4d769a58f3,270c314018f784f86bfc707920399c0bfab985ec8190309319131d4d769a58f3,NA,MATCH,producer package receipt only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;JRC;winner;yield;detection_probability;production;runtime
G4A-MANIFEST-0002,full_chip/dwg_analysis/validate_gate3a_to_gate3f_producer_readiness_20260629.py,0e1a0311920a3c1eede06a4bbcc515bd50971ea710d9f25e00cdec48c8d7eb5b,0e1a0311920a3c1eede06a4bbcc515bd50971ea710d9f25e00cdec48c8d7eb5b,NA,MATCH,producer package receipt only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;JRC;winner;yield;detection_probability;production;runtime
G4A-MANIFEST-0003,roadmap/COMSOL_GATE3A_BILATERAL_DOSSIER_ADJUDICATION_PACKET_20260629.md,66df7c68cfc37f19e3e935984486b51523e0d69bbdbd80fa6339156017fa5276,66df7c68cfc37f19e3e935984486b51523e0d69bbdbd80fa6339156017fa5276,NA,MATCH,producer package receipt only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;JRC;winner;yield;detection_probability;production;runtime
G4A-MANIFEST-0004,roadmap/COMSOL_GATE3A_NODI_COMSOL_DOSSIER_ADJUDICATION_MATRIX_20260629.csv,a30d55cb7075a760f1a1fb1851f1ea80b44f258ab515a1c278e27ecf1137a5d0,a30d55cb7075a760f1a1fb1851f1ea80b44f258ab515a1c278e27ecf1137a5d0,315,MATCH,producer package receipt only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;JRC;winner;yield;detection_probability;production;runtime
G4A-MANIFEST-0005,roadmap/COMSOL_GATE3A_SCOPE_AND_METHOD_DELTA_REGISTER_20260629.csv,09988f3fca0d35fce482918f85e681d5920f0496988e9628529c412dc6c3789b,09988f3fca0d35fce482918f85e681d5920f0496988e9628529c412dc6c3789b,4,MATCH,producer package receipt only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;JRC;winner;yield;detection_probability;production;runtime
G4A-MANIFEST-0006,roadmap/COMSOL_GATE3A_POLICY_STATE_CONCORDANCE_20260629.csv,9e38bf52a7c287da78f4f4847b23a3807befb718e8e5a038156d5a52dc31d99a,9e38bf52a7c287da78f4f4847b23a3807befb718e8e5a038156d5a52dc31d99a,4,MATCH,producer package receipt only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;JRC;winner;yield;detection_probability;production;runtime
G4A-MANIFEST-0007,roadmap/COMSOL_GATE3A_BLOCKER_CONCORDANCE_REGISTER_20260629.csv,89dcd4ef9b27348a79be3beed7a1f9b40f479b85ef116868f624ea0d656c620f,89dcd4ef9b27348a79be3beed7a1f9b40f479b85ef116868f624ea0d656c620f,6,MATCH,producer package receipt only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;JRC;winner;yield;detection_probability;production;runtime
G4A-MANIFEST-0008,roadmap/COMSOL_GATE3B_PRODUCER_PACKAGE_ASSEMBLER_V1_PACKET_20260629.md,57126d6b4fe9d94eed2a65cd9d6e05eceb08195697e0141a024b0971ec84510f,57126d6b4fe9d94eed2a65cd9d6e05eceb08195697e0141a024b0971ec84510f,NA,MATCH,producer package receipt only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;JRC;winner;yield;detection_probability;production;runtime
G4A-MANIFEST-0009,roadmap/COMSOL_GATE3B_PRODUCER_PACKAGE_SCHEMA_V1_20260629.csv,b1dd115ae2dc1229267bb02126b8ed9cd0a7552a6a615b2e912820e62c61afb0,b1dd115ae2dc1229267bb02126b8ed9cd0a7552a6a615b2e912820e62c61afb0,16,MATCH,producer package receipt only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;JRC;winner;yield;detection_probability;production;runtime
G4A-MANIFEST-0010,roadmap/COMSOL_GATE3B_EDGE_MANIFEST_ONLY_PACKAGE_SPEC_20260629.csv,d1fbfe741509da383b6b5c7fd1ffe443100b1e1133fe31ff497d44311fa3e652,d1fbfe741509da383b6b5c7fd1ffe443100b1e1133fe31ff497d44311fa3e652,12,MATCH,producer package receipt only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;JRC;winner;yield;detection_probability;production;runtime
