probe_check_id,probe_row_id,workstream,probe_category,expected_label,expected_nodi_disposition,actual_nodi_disposition,conformance_status,mismatch_class,not_evidence,evidence_accepted,authorization_opened
G4C-PROBE-0005,G3E-BINDING-005,BINDING,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0010,G3E-BINDING-010,BINDING,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0015,G3E-BINDING-015,BINDING,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0020,G3E-BINDING-020,BINDING,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0025,G3E-BINDING-025,BINDING,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0030,G3E-BINDING-030,BINDING,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0035,G3E-BINDING-035,BINDING,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0040,G3E-BINDING-040,BINDING,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0045,G3E-EDGE-005,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0050,G3E-EDGE-010,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0055,G3E-EDGE-015,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0060,G3E-EDGE-020,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0065,G3E-EDGE-025,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0070,G3E-EDGE-030,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0075,G3E-EDGE-035,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0080,G3E-EDGE-040,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0085,G3E-QCH-005,QCH,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0090,G3E-QCH-010,QCH,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
