alignment_id,matrix_row_id,nodi_preauth_board,required_next_gate,alignment_status
G4D-ALIGN-0001,G3D-GNG-001,Gate3D_EDGE_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_EDGE_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0002,G3D-GNG-002,Gate3D_EDGE_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_EDGE_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0003,G3D-GNG-003,Gate3D_EDGE_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_EDGE_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0004,G3D-GNG-004,Gate3D_EDGE_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_EDGE_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0005,G3D-GNG-005,Gate3D_EDGE_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_EDGE_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0006,G3D-GNG-006,Gate3D_EDGE_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_EDGE_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0007,G3D-GNG-007,Gate3D_EDGE_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_EDGE_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0008,G3D-GNG-008,Gate3D_EDGE_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_EDGE_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0009,G3D-GNG-009,Gate3D_EDGE_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_EDGE_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0010,G3D-GNG-010,Gate3D_EDGE_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_EDGE_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0011,G3D-GNG-011,Gate3D_EDGE_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_EDGE_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0012,G3D-GNG-012,Gate3D_EDGE_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_EDGE_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0013,G3D-GNG-013,Gate3D_QCH_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_QCH_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0014,G3D-GNG-014,Gate3D_QCH_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_QCH_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0015,G3D-GNG-015,Gate3D_QCH_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_QCH_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0016,G3D-GNG-016,Gate3D_QCH_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_QCH_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0017,G3D-GNG-017,Gate3D_QCH_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_QCH_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0018,G3D-GNG-018,Gate3D_QCH_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_QCH_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0019,G3D-GNG-019,Gate3D_QCH_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_QCH_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0020,G3D-GNG-020,Gate3D_QCH_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_QCH_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0021,G3D-GNG-021,Gate3D_QCH_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_QCH_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0022,G3D-GNG-022,Gate3D_QCH_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_QCH_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0023,G3D-GNG-023,Gate3D_BINDING_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_BINDING_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0024,G3D-GNG-024,Gate3D_BINDING_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_BINDING_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0025,G3D-GNG-025,Gate3D_BINDING_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_BINDING_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0026,G3D-GNG-026,Gate3D_BINDING_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_BINDING_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0027,G3D-GNG-027,Gate3D_BINDING_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_BINDING_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0028,G3D-GNG-028,Gate3D_BINDING_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_BINDING_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0029,G3D-GNG-029,Gate3D_BINDING_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_BINDING_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0030,G3D-GNG-030,Gate3D_BINDING_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_BINDING_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0031,G3D-GNG-031,Gate3D_BINDING_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_BINDING_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0032,G3D-GNG-032,Gate3D_BINDING_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_BINDING_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0033,G3D-GNG-033,Gate3D_REVIEW_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_REVIEW_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0034,G3D-GNG-034,Gate3D_REVIEW_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_REVIEW_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0035,G3D-GNG-035,Gate3D_REVIEW_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_REVIEW_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
G4D-ALIGN-0036,G3D-GNG-036,Gate3D_REVIEW_PREAUTH_TEMPLATE,Gate4_OR_FUTURE_REVIEW_PREAUTH_REVIEW,MATCH_NO_AUTHORIZATION
