handoff_id,matrix_row_id,owner_side,nodi_role,total_control_or_user_authorization_required
G4D-HANDOFF-0001,G3D-GNG-001,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0002,G3D-GNG-002,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0003,G3D-GNG-003,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0004,G3D-GNG-004,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0005,G3D-GNG-005,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0006,G3D-GNG-006,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0007,G3D-GNG-007,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0008,G3D-GNG-008,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0009,G3D-GNG-009,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0010,G3D-GNG-010,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0011,G3D-GNG-011,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0012,G3D-GNG-012,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0013,G3D-GNG-013,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0014,G3D-GNG-014,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0015,G3D-GNG-015,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0016,G3D-GNG-016,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0017,G3D-GNG-017,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0018,G3D-GNG-018,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0019,G3D-GNG-019,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0020,G3D-GNG-020,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0021,G3D-GNG-021,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0022,G3D-GNG-022,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0023,G3D-GNG-023,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0024,G3D-GNG-024,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0025,G3D-GNG-025,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0026,G3D-GNG-026,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0027,G3D-GNG-027,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0028,G3D-GNG-028,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0029,G3D-GNG-029,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0030,G3D-GNG-030,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0031,G3D-GNG-031,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0032,G3D-GNG-032,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0033,G3D-GNG-033,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0034,G3D-GNG-034,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0035,G3D-GNG-035,COMSOL_PRODUCES,receiver validation only,true
G4D-HANDOFF-0036,G3D-GNG-036,COMSOL_PRODUCES,receiver validation only,true
