edge_receipt_id,edge_id,source_node,target_node,receipt_status,current_execution_allowed
G4E-EDGE-0001,G3C-EDGE-0001,,,METADATA_ONLY,false
G4E-EDGE-0002,G3C-EDGE-0002,,,METADATA_ONLY,false
G4E-EDGE-0003,G3C-EDGE-0003,,,METADATA_ONLY,false
G4E-EDGE-0004,G3C-EDGE-0004,,,METADATA_ONLY,false
G4E-EDGE-0005,G3C-EDGE-0005,,,METADATA_ONLY,false
G4E-EDGE-0006,G3C-EDGE-0006,,,METADATA_ONLY,false
G4E-EDGE-0007,G3C-EDGE-0007,,,METADATA_ONLY,false
G4E-EDGE-0008,G3C-EDGE-0008,,,METADATA_ONLY,false
G4E-EDGE-0009,G3C-EDGE-0009,,,METADATA_ONLY,false
G4E-EDGE-0010,G3C-EDGE-0010,,,METADATA_ONLY,false
G4E-EDGE-0011,G3C-EDGE-0011,,,METADATA_ONLY,false
G4E-EDGE-0012,G3C-EDGE-0012,,,METADATA_ONLY,false
G4E-EDGE-0013,G3C-EDGE-0013,,,METADATA_ONLY,false
G4E-EDGE-0014,G3C-EDGE-0014,,,METADATA_ONLY,false
G4E-EDGE-0015,G3C-EDGE-0015,,,METADATA_ONLY,false
G4E-EDGE-0016,G3C-EDGE-0016,,,METADATA_ONLY,false
G4E-EDGE-0017,G3C-EDGE-0017,,,METADATA_ONLY,false
G4E-EDGE-0018,G3C-EDGE-0018,,,METADATA_ONLY,false
G4E-EDGE-0019,G3C-EDGE-0019,,,METADATA_ONLY,false
G4E-EDGE-0020,G3C-EDGE-0020,,,METADATA_ONLY,false
G4E-EDGE-0021,G3C-EDGE-0021,,,METADATA_ONLY,false
G4E-EDGE-0022,G3C-EDGE-0022,,,METADATA_ONLY,false
G4E-EDGE-0023,G3C-EDGE-0023,,,METADATA_ONLY,false
G4E-EDGE-0024,G3C-EDGE-0024,,,METADATA_ONLY,false
G4E-EDGE-0025,G3C-EDGE-0025,,,METADATA_ONLY,false
G4E-EDGE-0026,G3C-EDGE-0026,,,METADATA_ONLY,false
G4E-EDGE-0027,G3C-EDGE-0027,,,METADATA_ONLY,false
G4E-EDGE-0028,G3C-EDGE-0028,,,METADATA_ONLY,false
G4E-EDGE-0029,G3C-EDGE-0029,,,METADATA_ONLY,false
G4E-EDGE-0030,G3C-EDGE-0030,,,METADATA_ONLY,false
G4E-EDGE-0031,G3C-EDGE-0031,,,METADATA_ONLY,false
G4E-EDGE-0032,G3C-EDGE-0032,,,METADATA_ONLY,false
G4E-EDGE-0033,G3C-EDGE-0033,,,METADATA_ONLY,false
G4E-EDGE-0034,G3C-EDGE-0034,,,METADATA_ONLY,false
G4E-EDGE-0035,G3C-EDGE-0035,,,METADATA_ONLY,false
G4E-EDGE-0036,G3C-EDGE-0036,,,METADATA_ONLY,false
G4E-EDGE-0037,G3C-EDGE-0037,,,METADATA_ONLY,false
G4E-EDGE-0038,G3C-EDGE-0038,,,METADATA_ONLY,false
G4E-EDGE-0039,G3C-EDGE-0039,,,METADATA_ONLY,false
G4E-EDGE-0040,G3C-EDGE-0040,,,METADATA_ONLY,false
G4E-EDGE-0041,G3C-EDGE-0041,,,METADATA_ONLY,false
G4E-EDGE-0042,G3C-EDGE-0042,,,METADATA_ONLY,false
