taxonomy_delta_id,mutation_id,comsol_fields,nodi_mapping_status,policy_effect
G4F-TAX-0001,G3F-MUT-0001,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0002,G3F-MUT-0002,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0003,G3F-MUT-0003,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0004,G3F-MUT-0004,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0005,G3F-MUT-0005,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0006,G3F-MUT-0006,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0007,G3F-MUT-0007,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0008,G3F-MUT-0008,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0009,G3F-MUT-0009,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0010,G3F-MUT-0010,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0011,G3F-MUT-0011,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0012,G3F-MUT-0012,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0013,G3F-MUT-0013,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0014,G3F-MUT-0014,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0015,G3F-MUT-0015,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0016,G3F-MUT-0016,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0017,G3F-MUT-0017,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0018,G3F-MUT-0018,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0019,G3F-MUT-0019,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0020,G3F-MUT-0020,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0021,G3F-MUT-0021,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0022,G3F-MUT-0022,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0023,G3F-MUT-0023,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0024,G3F-MUT-0024,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0025,G3F-MUT-0025,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0026,G3F-MUT-0026,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0027,G3F-MUT-0027,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
G4F-TAX-0028,G3F-MUT-0028,mutation_type;mutation_family;mutated_field,MATCH_OR_ADAPTER_COMPATIBLE,none
