rc5_field_id,field_name,field_category,default_value,gate2d_freeze_inherited,edge_policy_state,qch_state,binding_state
G4G-RC5-FIELD-0001,D_nm,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0002,NODI_receiver_target,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0003,NODI_view,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0004,NODI_view_binding_policy,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0005,NODI_view_binding_status,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0006,NODI_view_current,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0007,NODI_view_status,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0008,PRS_exact_match_claim,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0009,UNBOUND_reason_if_any,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0010,W_nominal_nm,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0011,_source_file,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0012,accepted_context_authorized,forbidden_positive_authorization,false,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0013,accepted_row_expansion_authorized,forbidden_positive_authorization,false,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0014,affected_rows,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0015,aggregation_error_bound_status,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0016,aggregation_rule,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0017,allowed_use,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
G4G-RC5-FIELD-0018,allowed_value_or_domain,optional_review_only,,true,NOT_APPROVED,ABSENT,FAIL_CLOSED
