sweep_id,positive_authorization_detected,evidence_accepted_detected,sweep_status
G4H-SWEEP-00001,false,false,PASS_NO_AUTH
G4H-SWEEP-00002,false,false,PASS_NO_AUTH
G4H-SWEEP-00003,false,false,PASS_NO_AUTH
G4H-SWEEP-00004,false,false,PASS_NO_AUTH
G4H-SWEEP-00005,false,false,PASS_NO_AUTH
G4H-SWEEP-00006,false,false,PASS_NO_AUTH
G4H-SWEEP-00007,false,false,PASS_NO_AUTH
G4H-SWEEP-00008,false,false,PASS_NO_AUTH
G4H-SWEEP-00009,false,false,PASS_NO_AUTH
G4H-SWEEP-00010,false,false,PASS_NO_AUTH
G4H-SWEEP-00011,false,false,PASS_NO_AUTH
G4H-SWEEP-00012,false,false,PASS_NO_AUTH
G4H-SWEEP-00013,false,false,PASS_NO_AUTH
G4H-SWEEP-00014,false,false,PASS_NO_AUTH
G4H-SWEEP-00015,false,false,PASS_NO_AUTH
G4H-SWEEP-00016,false,false,PASS_NO_AUTH
G4H-SWEEP-00017,false,false,PASS_NO_AUTH
G4H-SWEEP-00018,false,false,PASS_NO_AUTH
G4H-SWEEP-00019,false,false,PASS_NO_AUTH
G4H-SWEEP-00020,false,false,PASS_NO_AUTH
G4H-SWEEP-00021,false,false,PASS_NO_AUTH
G4H-SWEEP-00022,false,false,PASS_NO_AUTH
G4H-SWEEP-00023,false,false,PASS_NO_AUTH
G4H-SWEEP-00024,false,false,PASS_NO_AUTH
G4H-SWEEP-00025,false,false,PASS_NO_AUTH
G4H-SWEEP-00026,false,false,PASS_NO_AUTH
G4H-SWEEP-00027,false,false,PASS_NO_AUTH
G4H-SWEEP-00028,false,false,PASS_NO_AUTH
G4H-SWEEP-00029,false,false,PASS_NO_AUTH
G4H-SWEEP-00030,false,false,PASS_NO_AUTH
G4H-SWEEP-00031,false,false,PASS_NO_AUTH
G4H-SWEEP-00032,false,false,PASS_NO_AUTH
G4H-SWEEP-00033,false,false,PASS_NO_AUTH
G4H-SWEEP-00034,false,false,PASS_NO_AUTH
G4H-SWEEP-00035,false,false,PASS_NO_AUTH
G4H-SWEEP-00036,false,false,PASS_NO_AUTH
G4H-SWEEP-00037,false,false,PASS_NO_AUTH
G4H-SWEEP-00038,false,false,PASS_NO_AUTH
G4H-SWEEP-00039,false,false,PASS_NO_AUTH
G4H-SWEEP-00040,false,false,PASS_NO_AUTH
G4H-SWEEP-00041,false,false,PASS_NO_AUTH
G4H-SWEEP-00042,false,false,PASS_NO_AUTH
G4H-SWEEP-00043,false,false,PASS_NO_AUTH
G4H-SWEEP-00044,false,false,PASS_NO_AUTH
G4H-SWEEP-00045,false,false,PASS_NO_AUTH
G4H-SWEEP-00046,false,false,PASS_NO_AUTH
G4H-SWEEP-00047,false,false,PASS_NO_AUTH
G4H-SWEEP-00048,false,false,PASS_NO_AUTH
G4H-SWEEP-00049,false,false,PASS_NO_AUTH
G4H-SWEEP-00050,false,false,PASS_NO_AUTH
G4H-SWEEP-00051,false,false,PASS_NO_AUTH
G4H-SWEEP-00052,false,false,PASS_NO_AUTH
G4H-SWEEP-00053,false,false,PASS_NO_AUTH
G4H-SWEEP-00054,false,false,PASS_NO_AUTH
G4H-SWEEP-00055,false,false,PASS_NO_AUTH
G4H-SWEEP-00056,false,false,PASS_NO_AUTH
G4H-SWEEP-00057,false,false,PASS_NO_AUTH
G4H-SWEEP-00058,false,false,PASS_NO_AUTH
G4H-SWEEP-00059,false,false,PASS_NO_AUTH
G4H-SWEEP-00060,false,false,PASS_NO_AUTH
G4H-SWEEP-00061,false,false,PASS_NO_AUTH
G4H-SWEEP-00062,false,false,PASS_NO_AUTH
G4H-SWEEP-00063,false,false,PASS_NO_AUTH
