receipt_id,manifest_id,artifact_path,absolute_path,artifact_kind,manifest_sha256,actual_sha256,manifest_row_count,actual_row_count,sha_status,row_count_status,evidence_bearing,authorization_trigger,receipt_status,allowed_use,blocked_use
G5A-RECEIPT-0001,G4AH-MANIFEST-001,full_chip/dwg_analysis/build_gate4a_to_gate4h_interop_readiness_20260629.py,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\full_chip\dwg_analysis\build_gate4a_to_gate4h_interop_readiness_20260629.py,support_artifact,1aad440d73781f2b6eea29419bc24cb91407ab9d53efaa5def695ef417987fde,1aad440d73781f2b6eea29419bc24cb91407ab9d53efaa5def695ef417987fde,NA,NA,MATCH,MATCH,false,false,MATCH,Gate5 package receipt and reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;runtime configuration;direct PRS bin;grain-level ingestion;accepted row expansion
G5A-RECEIPT-0002,G4AH-MANIFEST-002,full_chip/dwg_analysis/validate_gate4a_to_gate4h_interop_readiness_20260629.py,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\full_chip\dwg_analysis\validate_gate4a_to_gate4h_interop_readiness_20260629.py,support_artifact,2133a26bbbb2bf6aca2880acd74ff47824ac198bcc436ba46e93bb07b3dbbffa,2133a26bbbb2bf6aca2880acd74ff47824ac198bcc436ba46e93bb07b3dbbffa,NA,NA,MATCH,MATCH,false,false,MATCH,Gate5 package receipt and reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;runtime configuration;direct PRS bin;grain-level ingestion;accepted row expansion
G5A-RECEIPT-0003,G4AH-MANIFEST-003,roadmap/COMSOL_GATE4A_NODI_GATE3_RECEIVER_FEEDBACK_ASSIMILATION_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE4A_NODI_GATE3_RECEIVER_FEEDBACK_ASSIMILATION_PACKET_20260629.md,packet_markdown,f767e6ef24150af9226948a4eb69921624c415073f71a97445516a2e5565513b,f767e6ef24150af9226948a4eb69921624c415073f71a97445516a2e5565513b,NA,NA,MATCH,MATCH,false,false,MATCH,Gate5 package receipt and reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;runtime configuration;direct PRS bin;grain-level ingestion;accepted row expansion
G5A-RECEIPT-0004,G4AH-MANIFEST-004,roadmap/COMSOL_GATE4A_NODI_GATE3_ARTIFACT_RECEIPT_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE4A_NODI_GATE3_ARTIFACT_RECEIPT_20260629.csv,artifact_receipt,96c8dee75b762b8891550f6eb2f45ad01de51c9afa7e376ed93a83c64141a008,96c8dee75b762b8891550f6eb2f45ad01de51c9afa7e376ed93a83c64141a008,15,15,MATCH,MATCH,false,false,MATCH,Gate5 package receipt and reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;runtime configuration;direct PRS bin;grain-level ingestion;accepted row expansion
G5A-RECEIPT-0005,G4AH-MANIFEST-005,roadmap/COMSOL_GATE4A_NODI_EMULATOR_RULE_ASSIMILATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE4A_NODI_EMULATOR_RULE_ASSIMILATION_20260629.csv,support_artifact,ddbfd9988309f653b2b3958d8292d16e644db91be897b2ca2dad8f533e5f83ea,ddbfd9988309f653b2b3958d8292d16e644db91be897b2ca2dad8f533e5f83ea,5,5,MATCH,MATCH,false,false,MATCH,Gate5 package receipt and reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;runtime configuration;direct PRS bin;grain-level ingestion;accepted row expansion
G5A-RECEIPT-0006,G4AH-MANIFEST-006,roadmap/COMSOL_GATE4A_NODI_RC4_SCOPE_ASSIMILATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE4A_NODI_RC4_SCOPE_ASSIMILATION_20260629.csv,support_artifact,565380365cde947e502fba8b019df6bd9ba357d5249e34fb9f73b9ead7abb50d,565380365cde947e502fba8b019df6bd9ba357d5249e34fb9f73b9ead7abb50d,2,2,MATCH,MATCH,false,false,MATCH,Gate5 package receipt and reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;runtime configuration;direct PRS bin;grain-level ingestion;accepted row expansion
G5A-RECEIPT-0007,G4AH-MANIFEST-007,roadmap/COMSOL_GATE4A_RECEIPT_VALIDATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE4A_RECEIPT_VALIDATION_20260629.csv,validation,07e33fc23bc3a79cb38cf255c4b36904ac4090b8b07aad1a7af7528fe98640c3,07e33fc23bc3a79cb38cf255c4b36904ac4090b8b07aad1a7af7528fe98640c3,4,4,MATCH,MATCH,false,false,MATCH,Gate5 package receipt and reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;runtime configuration;direct PRS bin;grain-level ingestion;accepted row expansion
G5A-RECEIPT-0008,G4AH-MANIFEST-008,roadmap/COMSOL_GATE4B_PRODUCER_ADAPTER_V2_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE4B_PRODUCER_ADAPTER_V2_PACKET_20260629.md,packet_markdown,4434df594a2dabd3f974d6c86233197a46f6052332d711a361a2de260e5c21b5,4434df594a2dabd3f974d6c86233197a46f6052332d711a361a2de260e5c21b5,NA,NA,MATCH,MATCH,false,false,MATCH,Gate5 package receipt and reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;runtime configuration;direct PRS bin;grain-level ingestion;accepted row expansion
G5A-RECEIPT-0009,G4AH-MANIFEST-009,roadmap/COMSOL_GATE4B_NODI_FIELD_MAP_RC5_DRAFT_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE4B_NODI_FIELD_MAP_RC5_DRAFT_20260629.csv,rc5_field_map_draft,af9f508a0e7aa6492ce7274c6b5ff29c319bd9cd5ba6bce6442c25f54bcffd4a,af9f508a0e7aa6492ce7274c6b5ff29c319bd9cd5ba6bce6442c25f54bcffd4a,351,351,MATCH,MATCH,false,false,MATCH,Gate5 package receipt and reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;runtime configuration;direct PRS bin;grain-level ingestion;accepted row expansion
G5A-RECEIPT-0010,G4AH-MANIFEST-010,roadmap/COMSOL_GATE4B_PRODUCER_ADAPTER_RULE_CATALOG_V2_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE4B_PRODUCER_ADAPTER_RULE_CATALOG_V2_20260629.csv,support_artifact,36f47cf32204c3cad1e4b298dc5a5b20cc8abc97a58ffb9f3e9d4b683e3b57ce,36f47cf32204c3cad1e4b298dc5a5b20cc8abc97a58ffb9f3e9d4b683e3b57ce,80,80,MATCH,MATCH,false,false,MATCH,Gate5 package receipt and reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;runtime configuration;direct PRS bin;grain-level ingestion;accepted row expansion
