closure_id,simulation_row_id,source_probe_row_id,workstream,probe_category,comsol_expected_disposition,comsol_simulated_disposition,comsol_actual_source_before_gate5,nodi_gate4_actual_disposition,nodi_gate4_conformance_status,nodi_gate4_mismatch_class,closure_classification,true_policy_conflict,pending_closed,evidence_accepted,authorization_opened
G5B-CLOSURE-0001,G4C-SIM-0001,G3E-EDGE-001,EDGE,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0002,G4C-SIM-0002,G3E-EDGE-002,EDGE,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0003,G4C-SIM-0003,G3E-EDGE-003,EDGE,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0004,G4C-SIM-0004,G3E-EDGE-004,EDGE,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0005,G4C-SIM-0005,G3E-EDGE-005,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
G5B-CLOSURE-0006,G4C-SIM-0006,G3E-EDGE-006,EDGE,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0007,G4C-SIM-0007,G3E-EDGE-007,EDGE,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0008,G4C-SIM-0008,G3E-EDGE-008,EDGE,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,MATCH,none,EXACT_MATCH,false,true,false,false
G5B-CLOSURE-0009,G4C-SIM-0009,G3E-EDGE-009,EDGE,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PENDING_NODI_GATE4_ACTUAL,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,HARMLESS_LABEL_DELTA,false,true,false,false
G5B-CLOSURE-0010,G4C-SIM-0010,G3E-EDGE-010,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,PENDING_NODI_GATE4_ACTUAL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,ADAPTER_GAP_CLOSED,false,true,false,false
