mutation_id,source_side,mutation_family,workstream,expected_result,observed_result,unexpected_pass,forbidden_promotion
G5F-ADAPTER-MUT-0001,NODI_SYNTHETIC_ADAPTER_CONTROL,label_drift,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0002,NODI_SYNTHETIC_ADAPTER_CONTROL,field_alias,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0003,NODI_SYNTHETIC_ADAPTER_CONTROL,missing_optional_producer_field,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0004,NODI_SYNTHETIC_ADAPTER_CONTROL,blocked_state_spoofing,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0005,NODI_SYNTHETIC_ADAPTER_CONTROL,q_ch_sidecar_spoofing,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0006,NODI_SYNTHETIC_ADAPTER_CONTROL,EDGE_approval_spoofing,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0007,NODI_SYNTHETIC_ADAPTER_CONTROL,BINDING_promotion_spoofing,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0008,NODI_SYNTHETIC_ADAPTER_CONTROL,label_drift,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0009,NODI_SYNTHETIC_ADAPTER_CONTROL,field_alias,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0010,NODI_SYNTHETIC_ADAPTER_CONTROL,missing_optional_producer_field,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0011,NODI_SYNTHETIC_ADAPTER_CONTROL,blocked_state_spoofing,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0012,NODI_SYNTHETIC_ADAPTER_CONTROL,q_ch_sidecar_spoofing,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0013,NODI_SYNTHETIC_ADAPTER_CONTROL,EDGE_approval_spoofing,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0014,NODI_SYNTHETIC_ADAPTER_CONTROL,BINDING_promotion_spoofing,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-ADAPTER-MUT-0015,NODI_SYNTHETIC_ADAPTER_CONTROL,label_drift,INTEROP,FAIL_EXPECTED,FAIL_EXPECTED,false,false
