export_id,normalized_field,canonical_candidate,difference_class,lock_candidate_status,authorization_basis
G5G-FIELD-0001,_source_file,_source_file,future-gate-only,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0002,accepted_context_authorized,accepted_context_authorized,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0003,accepted_row_expansion_authorized,accepted_row_expansion_authorized,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0004,affected_rows,affected_rows,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0005,aggregation_error_bound_status,aggregation_error_bound_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0006,aggregation_rule,aggregation_rule,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0007,allowed_use,allowed_use,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0008,allowed_value_or_domain,allowed_value_or_domain,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0009,artifact_id,artifact_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0010,artifact_level_context_candidate,artifact_level_context_candidate,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0011,artifact_path,artifact_path,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0012,authorization_flags_false,authorization_flags_false,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0013,authorized,authorized,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0014,auto_map_authorized,auto_map_authorized,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0015,bin_basis,bin_basis,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0016,bin_coverage,bin_coverage,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0017,bin_id,bin_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0018,binding_blocker,binding_blocker,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0019,binding_fail_closed,binding_fail_closed,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0020,binding_repair_row_id,binding_repair_row_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0021,binding_template_row_id,binding_template_row_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0022,blocked_class,blocked_class,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0023,blocked_until,blocked_until,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0024,blocked_use,blocked_use,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0025,blocker_id,blocker_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0026,blocker_if_any,blocker_if_any,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0027,blocker_preserved,blocker_preserved,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0028,blocker_reason,blocker_reason,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0029,blocker_type,blocker_type,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0030,can_be_done_without_new_comsol_solve,can_be_done_without_new_comsol_solve,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0031,can_close_reason,can_close_reason,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0032,can_close_work_order,can_close_work_order,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0033,can_fix_without_new_comsol_solve,can_fix_without_new_comsol_solve,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0034,can_repair_without_new_solve,can_repair_without_new_solve,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0035,candidate_claim,candidate_claim,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0036,candidate_edge20_bins_covered,candidate_edge20_bins_covered,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0037,candidate_export_row_id,candidate_export_row_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0038,candidate_prs_edge20_end_1based,candidate_prs_edge20_end_1based,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0039,candidate_prs_edge20_ids,candidate_prs_edge20_ids,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0040,candidate_prs_edge20_start_1based,candidate_prs_edge20_start_1based,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0041,candidate_route_family,candidate_route_family,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0042,candidate_status,candidate_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0043,carry_forward_status,carry_forward_status,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0044,case_id,case_id,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0045,check_definition,check_definition,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0046,check_name,check_name,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0047,checks,checks,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
G5G-FIELD-0048,chi_selected_authorized,chi_selected_authorized,MATCH,RC5_LOCK_CANDIDATE_REVIEW_ONLY,none
