export_id,source_probe_row_id,closure_classification,pending_closed,true_policy_conflict,lock_candidate_status
G5G-PROBE-0001,G3E-EDGE-001,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0002,G3E-EDGE-002,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0003,G3E-EDGE-003,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0004,G3E-EDGE-004,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0005,G3E-EDGE-005,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0006,G3E-EDGE-006,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0007,G3E-EDGE-007,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0008,G3E-EDGE-008,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0009,G3E-EDGE-009,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0010,G3E-EDGE-010,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0011,G3E-EDGE-011,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0012,G3E-EDGE-012,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0013,G3E-EDGE-013,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0014,G3E-EDGE-014,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0015,G3E-EDGE-015,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0016,G3E-EDGE-016,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0017,G3E-EDGE-017,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0018,G3E-EDGE-018,EXACT_MATCH,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0019,G3E-EDGE-019,HARMLESS_LABEL_DELTA,true,false,closed_or_adapter_tracked_no_auth
G5G-PROBE-0020,G3E-EDGE-020,ADAPTER_GAP_CLOSED,true,false,closed_or_adapter_tracked_no_auth
