receipt_id,source_manifest_id,artifact_path,absolute_path,artifact_kind,recorded_sha,actual_sha,recorded_row_count,actual_row_count,receipt_status,policy_impact,auth_impact,allowed_use,blocked_use
G6A-RECEIPT-0001,G5H-MANIFEST-001,full_chip/dwg_analysis/build_gate5a_to_gate5h_actual_interop_lock_20260629.py,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\full_chip\dwg_analysis\build_gate5a_to_gate5h_actual_interop_lock_20260629.py,support,bb8b803d24ea2013ba7dbe2186973d36691ed50c85ebe04009227565ad5e9a2b,bb8b803d24ea2013ba7dbe2186973d36691ed50c85ebe04009227565ad5e9a2b,NA,NA,MATCH,none,none,Gate6 receipt and release-candidate reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
G6A-RECEIPT-0002,G5H-MANIFEST-002,full_chip/dwg_analysis/validate_gate5a_to_gate5h_actual_interop_lock_20260629.py,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\full_chip\dwg_analysis\validate_gate5a_to_gate5h_actual_interop_lock_20260629.py,support,955b23461c87db940a9243e0ead53aafc993dd7c8162be6572ff9a6be5690e4e,955b23461c87db940a9243e0ead53aafc993dd7c8162be6572ff9a6be5690e4e,NA,NA,MATCH,none,none,Gate6 receipt and release-candidate reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
G6A-RECEIPT-0003,G5H-MANIFEST-003,roadmap/COMSOL_GATE5A_NODI_ACTUAL_PACKAGE_RECEIPT_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE5A_NODI_ACTUAL_PACKAGE_RECEIPT_PACKET_20260629.md,packet_markdown,08bc781319d350f1470f3d0ef0badf2ac2fb23e1bf0eda2f78d68ed3372b44ae,08bc781319d350f1470f3d0ef0badf2ac2fb23e1bf0eda2f78d68ed3372b44ae,NA,NA,MATCH,none,none,Gate6 receipt and release-candidate reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
G6A-RECEIPT-0004,G5H-MANIFEST-004,roadmap/COMSOL_GATE5A_NODI_ACTUAL_RECEIPT_REGISTER_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE5A_NODI_ACTUAL_RECEIPT_REGISTER_20260629.csv,receipt,2c4b9a48362d6e9b30e2fd8b42305aac6dba0ae061771564bdfc0d3abd78366f,2c4b9a48362d6e9b30e2fd8b42305aac6dba0ae061771564bdfc0d3abd78366f,40,40,MATCH,none,none,Gate6 receipt and release-candidate reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
G6A-RECEIPT-0005,G5H-MANIFEST-005,roadmap/COMSOL_GATE5A_COMSOL_GATE4_VS_NODI_ACTUAL_RECEIPT_MATCH_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE5A_COMSOL_GATE4_VS_NODI_ACTUAL_RECEIPT_MATCH_20260629.csv,receipt,7b42327134352faaaac83f8de787840b24117391be81ea25d08d1500ca6bb599,7b42327134352faaaac83f8de787840b24117391be81ea25d08d1500ca6bb599,36,36,MATCH,none,none,Gate6 receipt and release-candidate reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
G6A-RECEIPT-0006,G5H-MANIFEST-006,roadmap/COMSOL_GATE5A_NODI_ACTUAL_RECEIPT_VALIDATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE5A_NODI_ACTUAL_RECEIPT_VALIDATION_20260629.csv,validation,09ef42248a4905d3a58b5f44ad24249317145880e8392b485dc7ba56ed0f0ce1,09ef42248a4905d3a58b5f44ad24249317145880e8392b485dc7ba56ed0f0ce1,3,3,MATCH,none,none,Gate6 receipt and release-candidate reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
G6A-RECEIPT-0007,G5H-MANIFEST-007,roadmap/COMSOL_GATE5B_ACTUAL_PROBE_RECONCILIATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE5B_ACTUAL_PROBE_RECONCILIATION_20260629.csv,probe_reconciliation,52d681847f9355ffc6efd8bf260103d2b7857ab2d3e42dbb81439d85b0925358,52d681847f9355ffc6efd8bf260103d2b7857ab2d3e42dbb81439d85b0925358,120,120,MATCH,none,none,Gate6 receipt and release-candidate reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
G6A-RECEIPT-0008,G5H-MANIFEST-008,roadmap/COMSOL_GATE5B_PENDING_ACTUAL_CLOSURE_SUMMARY_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE5B_PENDING_ACTUAL_CLOSURE_SUMMARY_20260629.csv,support,569f41ec07f3711be1f91b7043193bfdea94199679de2b486b5e4952f3e1a65c,569f41ec07f3711be1f91b7043193bfdea94199679de2b486b5e4952f3e1a65c,5,5,MATCH,none,none,Gate6 receipt and release-candidate reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
G6A-RECEIPT-0009,G5H-MANIFEST-009,roadmap/COMSOL_GATE5B_PENDING_NODI_GATE4_ACTUAL_CLOSURE_REPORT_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE5B_PENDING_NODI_GATE4_ACTUAL_CLOSURE_REPORT_20260629.md,packet_markdown,5613eb198ccc0f24c43b037aab2c9d8adb9c29a0c08b0af9f0be1e460e4c8858,5613eb198ccc0f24c43b037aab2c9d8adb9c29a0c08b0af9f0be1e460e4c8858,NA,NA,MATCH,none,none,Gate6 receipt and release-candidate reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
G6A-RECEIPT-0010,G5H-MANIFEST-010,roadmap/COMSOL_GATE5C_PRODUCER_ADAPTER_V3_RULES_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE5C_PRODUCER_ADAPTER_V3_RULES_20260629.csv,adapter,5a029671ca4b4d731a9e228bdc804e40d6784cae54f98857781d92177adb5a10,5a029671ca4b4d731a9e228bdc804e40d6784cae54f98857781d92177adb5a10,48,48,MATCH,none,none,Gate6 receipt and release-candidate reconciliation only,formula;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
