rc5_1_field_id,canonical_field,nodi_field,comsol_field,present_in_nodi_gate5,present_in_comsol_gate5,comsol_duplicate_row_count,side_owner,requiredness,directionality,semantic_status,adapter_status,auth_impact,lockstep_status,edge_policy_state,qch_state,binding_state
G6C-RC5-1-0001,_source_file,_source_file,,true,true,1,NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0002,accepted_context_authorized,accepted_context_authorized,accepted_context_authorized,true,true,1,COMSOL producer/NODI receiver,forbidden_positive_authorization,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0003,accepted_row_expansion_authorized,accepted_row_expansion_authorized,accepted_row_expansion_authorized,true,true,1,COMSOL producer/NODI receiver,forbidden_positive_authorization,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0004,affected_rows,affected_rows,affected_rows,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0005,aggregation_error_bound_status,aggregation_error_bound_status,aggregation_error_bound_status,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0006,aggregation_rule,aggregation_rule,aggregation_rule,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0007,allowed_use,allowed_use,allowed_use,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0008,allowed_value_or_domain,allowed_value_or_domain,allowed_value_or_domain,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0009,artifact_id,artifact_id,artifact_id,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0010,artifact_level_context_candidate,artifact_level_context_candidate,artifact_level_context_candidate,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0011,artifact_path,artifact_path,artifact_path,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0012,authorization_flags_false,authorization_flags_false,authorization_flags_false,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0013,authorized,authorized,authorized,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0014,auto_map_authorized,auto_map_authorized,auto_map_authorized,true,true,1,COMSOL producer/NODI receiver,forbidden_positive_authorization,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
G6C-RC5-1-0015,bin_basis,bin_basis,bin_basis,true,true,1,COMSOL producer/NODI receiver,optional_review_only,bidirectional_lockstep,MATCH_OR_ALIAS,none,none,LOCKSTEP_FIELD_CONVERGED,NOT_APPROVED,ABSENT,FAIL_CLOSED
