union_id,source_side,mutation_id,mutation_family,workstream,expected_result,observed_result,unexpected_pass,authorization_promotion,gate2d_row_count_guard
G6E-UNION-00001,NODI_GATE5F,G3F-MUT-0001,authorization_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00002,NODI_GATE5F,G3F-MUT-0002,authorization_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00003,NODI_GATE5F,G3F-MUT-0003,authorization_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00004,NODI_GATE5F,G3F-MUT-0004,authorization_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00005,NODI_GATE5F,G3F-MUT-0005,authorization_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00006,NODI_GATE5F,G3F-MUT-0006,authorization_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00007,NODI_GATE5F,G3F-MUT-0007,formula_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00008,NODI_GATE5F,G3F-MUT-0008,formula_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00009,NODI_GATE5F,G3F-MUT-0009,formula_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00010,NODI_GATE5F,G3F-MUT-0010,formula_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00011,NODI_GATE5F,G3F-MUT-0011,formula_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00012,NODI_GATE5F,G3F-MUT-0012,formula_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00013,NODI_GATE5F,G3F-MUT-0013,direct_prs_bin_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00014,NODI_GATE5F,G3F-MUT-0014,direct_prs_bin_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00015,NODI_GATE5F,G3F-MUT-0015,direct_prs_bin_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00016,NODI_GATE5F,G3F-MUT-0016,direct_prs_bin_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00017,NODI_GATE5F,G3F-MUT-0017,direct_prs_bin_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00018,NODI_GATE5F,G3F-MUT-0018,direct_prs_bin_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00019,NODI_GATE5F,G3F-MUT-0019,grain_ingestion_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00020,NODI_GATE5F,G3F-MUT-0020,grain_ingestion_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00021,NODI_GATE5F,G3F-MUT-0021,grain_ingestion_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00022,NODI_GATE5F,G3F-MUT-0022,grain_ingestion_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00023,NODI_GATE5F,G3F-MUT-0023,grain_ingestion_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00024,NODI_GATE5F,G3F-MUT-0024,grain_ingestion_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00025,NODI_GATE5F,G3F-MUT-0025,accepted_expansion_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00026,NODI_GATE5F,G3F-MUT-0026,accepted_expansion_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00027,NODI_GATE5F,G3F-MUT-0027,accepted_expansion_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00028,NODI_GATE5F,G3F-MUT-0028,accepted_expansion_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00029,NODI_GATE5F,G3F-MUT-0029,accepted_expansion_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00030,NODI_GATE5F,G3F-MUT-0030,accepted_expansion_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00031,NODI_GATE5F,G3F-MUT-0031,q_ch_weighting_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00032,NODI_GATE5F,G3F-MUT-0032,q_ch_weighting_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00033,NODI_GATE5F,G3F-MUT-0033,q_ch_weighting_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00034,NODI_GATE5F,G3F-MUT-0034,q_ch_weighting_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00035,NODI_GATE5F,G3F-MUT-0035,q_ch_weighting_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00036,NODI_GATE5F,G3F-MUT-0036,q_ch_weighting_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00037,NODI_GATE5F,G3F-MUT-0037,JRC_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00038,NODI_GATE5F,G3F-MUT-0038,JRC_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00039,NODI_GATE5F,G3F-MUT-0039,JRC_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00040,NODI_GATE5F,G3F-MUT-0040,JRC_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00041,NODI_GATE5F,G3F-MUT-0041,JRC_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00042,NODI_GATE5F,G3F-MUT-0042,JRC_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00043,NODI_GATE5F,G3F-MUT-0043,production_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00044,NODI_GATE5F,G3F-MUT-0044,production_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00045,NODI_GATE5F,G3F-MUT-0045,production_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00046,NODI_GATE5F,G3F-MUT-0046,production_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00047,NODI_GATE5F,G3F-MUT-0047,production_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00048,NODI_GATE5F,G3F-MUT-0048,production_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00049,NODI_GATE5F,G3F-MUT-0049,runtime_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00050,NODI_GATE5F,G3F-MUT-0050,runtime_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00051,NODI_GATE5F,G3F-MUT-0051,runtime_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00052,NODI_GATE5F,G3F-MUT-0052,runtime_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00053,NODI_GATE5F,G3F-MUT-0053,runtime_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00054,NODI_GATE5F,G3F-MUT-0054,runtime_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00055,NODI_GATE5F,G3F-MUT-0055,numeric_bound_invented,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00056,NODI_GATE5F,G3F-MUT-0056,numeric_bound_invented,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00057,NODI_GATE5F,G3F-MUT-0057,numeric_bound_invented,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00058,NODI_GATE5F,G3F-MUT-0058,numeric_bound_invented,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00059,NODI_GATE5F,G3F-MUT-0059,numeric_bound_invented,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00060,NODI_GATE5F,G3F-MUT-0060,numeric_bound_invented,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
G6E-UNION-00061,NODI_GATE5F,G3F-MUT-0061,formal_qch_false_positive,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,hard_fail_if_not_4
