receipt_id,source_manifest_id,artifact_path,absolute_path,artifact_kind,recorded_sha,actual_sha,recorded_row_count,actual_row_count,receipt_status,policy_impact,auth_impact
G7A-RECEIPT-0001,G6H-MANIFEST-001,full_chip/dwg_analysis/build_gate6a_to_gate6h_rc51_lockstep_release_20260629.py,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\full_chip\dwg_analysis\build_gate6a_to_gate6h_rc51_lockstep_release_20260629.py,rc51_lockstep,8f3fe6f4c9caf45142dd832f5ca64fbee0999552c43f42db5320632880440e4c,8f3fe6f4c9caf45142dd832f5ca64fbee0999552c43f42db5320632880440e4c,NA,NA,MATCH,none,none
G7A-RECEIPT-0002,G6H-MANIFEST-002,full_chip/dwg_analysis/validate_gate6a_to_gate6h_rc51_lockstep_release_20260629.py,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\full_chip\dwg_analysis\validate_gate6a_to_gate6h_rc51_lockstep_release_20260629.py,rc51_lockstep,3525da5307750cd3800bb6efdd5c9c84b9093c9b24c94e3bc7736b5462e404de,3525da5307750cd3800bb6efdd5c9c84b9093c9b24c94e3bc7736b5462e404de,NA,NA,MATCH,none,none
G7A-RECEIPT-0003,G6H-MANIFEST-003,roadmap/COMSOL_GATE6A_NODI_GATE5_RECEIPT_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6A_NODI_GATE5_RECEIPT_PACKET_20260629.md,packet_markdown,2e1807ca9118ac30e775fdea9991eb699e61dc7abde5f68364a09b62aa9e754f,2e1807ca9118ac30e775fdea9991eb699e61dc7abde5f68364a09b62aa9e754f,NA,NA,MATCH,none,none
G7A-RECEIPT-0004,G6H-MANIFEST-004,roadmap/COMSOL_GATE6A_NODI_GATE5_RECEIPT_REGISTER_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6A_NODI_GATE5_RECEIPT_REGISTER_20260629.csv,receipt,257139ff8af4b6c494abc199fdf8f87513ea8ff3b53a58305974b54345b7180d,257139ff8af4b6c494abc199fdf8f87513ea8ff3b53a58305974b54345b7180d,35,35,MATCH,none,none
G7A-RECEIPT-0005,G6H-MANIFEST-005,roadmap/COMSOL_GATE6A_CROSS_RECEIPT_MATCH_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6A_CROSS_RECEIPT_MATCH_20260629.csv,receipt,e9e65f15d06598ec3ce35b796a38f87cbe6b72568f2fa36fdcf2b2f06fe1bffa,e9e65f15d06598ec3ce35b796a38f87cbe6b72568f2fa36fdcf2b2f06fe1bffa,31,31,MATCH,none,none
G7A-RECEIPT-0006,G6H-MANIFEST-006,roadmap/COMSOL_GATE6B_DISCREPANCY_RESPONSE_LEDGER_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6B_DISCREPANCY_RESPONSE_LEDGER_20260629.csv,support,c45f0df1ca1fd3d53e16144524dc52e7819bc87426ade262edc50e8bf5c1a83e,c45f0df1ca1fd3d53e16144524dc52e7819bc87426ade262edc50e8bf5c1a83e,6,6,MATCH,none,none
G7A-RECEIPT-0007,G6H-MANIFEST-007,roadmap/COMSOL_GATE6B_CROSS_SIDE_DISCREPANCY_RESPONSE_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6B_CROSS_SIDE_DISCREPANCY_RESPONSE_PACKET_20260629.md,packet_markdown,be755df27cb41e890c07db91fc5677ae46c4c4c3241b4b36242e1f8c09d0b0a2,be755df27cb41e890c07db91fc5677ae46c4c4c3241b4b36242e1f8c09d0b0a2,NA,NA,MATCH,none,none
G7A-RECEIPT-0008,G6H-MANIFEST-008,roadmap/COMSOL_GATE6C_RC51_PRODUCER_LOCKSTEP_DICTIONARY_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6C_RC51_PRODUCER_LOCKSTEP_DICTIONARY_20260629.csv,rc51_lockstep,87395ce3b172157329a388b8dc2b9ecaf06478f6decdcfb0939b11f6a3273efa,87395ce3b172157329a388b8dc2b9ecaf06478f6decdcfb0939b11f6a3273efa,366,366,MATCH,none,none
G7A-RECEIPT-0009,G6H-MANIFEST-009,roadmap/COMSOL_GATE6C_RC51_FIELD_DIFFERENCE_EXPLANATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6C_RC51_FIELD_DIFFERENCE_EXPLANATION_20260629.csv,rc51_lockstep,5c33c40cd9caeac57f10406a98b801a5423e2fcaedadc5c27c41749829d3d8d5,5c33c40cd9caeac57f10406a98b801a5423e2fcaedadc5c27c41749829d3d8d5,1,1,MATCH,none,none
G7A-RECEIPT-0010,G6H-MANIFEST-010,roadmap/COMSOL_GATE6C_RC51_LOCKSTEP_CANDIDATE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE6C_RC51_LOCKSTEP_CANDIDATE_20260629.csv,rc51_lockstep,a0ad8d7ef247bd8d01be2b1f85a083ec113afff33e598984f7b2648a10327bb6,a0ad8d7ef247bd8d01be2b1f85a083ec113afff33e598984f7b2648a10327bb6,1,1,MATCH,none,none
