compatibility_id,source_version,target_version,canonical_field,present_in_source,present_in_rc51,compatibility_class,package_disposition,requires_user_authorization,hard_incompatible
G7D-RC3-0001,RC3,RC5.1,_source_file,false,true,producer-only optional,adapter dry-run allowed,false,false
G7D-RC3-0002,RC3,RC5.1,accepted_context_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0003,RC3,RC5.1,accepted_row_expansion_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0004,RC3,RC5.1,affected_rows,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0005,RC3,RC5.1,aggregation_error_bound_status,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0006,RC3,RC5.1,aggregation_rule,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0007,RC3,RC5.1,allowed_use,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0008,RC3,RC5.1,allowed_value_or_domain,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0009,RC3,RC5.1,artifact_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0010,RC3,RC5.1,artifact_level_context_candidate,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0011,RC3,RC5.1,artifact_path,false,true,producer-only optional,adapter dry-run allowed,false,false
G7D-RC3-0012,RC3,RC5.1,authorization_flags_false,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0013,RC3,RC5.1,authorized,false,true,producer-only optional,adapter dry-run allowed,false,false
G7D-RC3-0014,RC3,RC5.1,auto_map_authorized,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0015,RC3,RC5.1,bin_basis,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0016,RC3,RC5.1,bin_coverage,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0017,RC3,RC5.1,bin_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0018,RC3,RC5.1,binding_blocker,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0019,RC3,RC5.1,binding_fail_closed,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0020,RC3,RC5.1,binding_repair_row_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0021,RC3,RC5.1,binding_template_row_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0022,RC3,RC5.1,blocked_class,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0023,RC3,RC5.1,blocked_until,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0024,RC3,RC5.1,blocked_use,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0025,RC3,RC5.1,blocker_id,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0026,RC3,RC5.1,blocker_if_any,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0027,RC3,RC5.1,blocker_preserved,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0028,RC3,RC5.1,blocker_reason,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0029,RC3,RC5.1,blocker_type,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0030,RC3,RC5.1,can_be_done_without_new_comsol_solve,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0031,RC3,RC5.1,can_close_reason,true,true,backward-compatible alias,adapter dry-run allowed,false,false
G7D-RC3-0032,RC3,RC5.1,can_close_work_order,true,true,backward-compatible alias,adapter dry-run allowed,false,false
