corpus_id,source,case_family,workstream,expected_disposition,not_evidence
G7F-CORPUS-00001,NODI_GATE5F,authorization_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00002,NODI_GATE5F,authorization_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00003,NODI_GATE5F,authorization_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00004,NODI_GATE5F,authorization_true,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00005,NODI_GATE5F,authorization_true,V4,REJECT_BLOCKED,true
G7F-CORPUS-00006,NODI_GATE5F,authorization_true,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00007,NODI_GATE5F,formula_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00008,NODI_GATE5F,formula_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00009,NODI_GATE5F,formula_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00010,NODI_GATE5F,formula_true,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00011,NODI_GATE5F,formula_true,V4,REJECT_BLOCKED,true
G7F-CORPUS-00012,NODI_GATE5F,formula_true,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00013,NODI_GATE5F,direct_prs_bin_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00014,NODI_GATE5F,direct_prs_bin_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00015,NODI_GATE5F,direct_prs_bin_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00016,NODI_GATE5F,direct_prs_bin_true,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00017,NODI_GATE5F,direct_prs_bin_true,V4,REJECT_BLOCKED,true
G7F-CORPUS-00018,NODI_GATE5F,direct_prs_bin_true,strong-claim,REJECT_BLOCKED,true
G7F-CORPUS-00019,NODI_GATE5F,grain_ingestion_true,EDGE,REJECT_BLOCKED,true
G7F-CORPUS-00020,NODI_GATE5F,grain_ingestion_true,QCH,REJECT_BLOCKED,true
G7F-CORPUS-00021,NODI_GATE5F,grain_ingestion_true,BINDING,REJECT_BLOCKED,true
G7F-CORPUS-00022,NODI_GATE5F,grain_ingestion_true,local-Q,REJECT_BLOCKED,true
G7F-CORPUS-00023,NODI_GATE5F,grain_ingestion_true,V4,REJECT_BLOCKED,true
G7F-CORPUS-00024,NODI_GATE5F,grain_ingestion_true,strong-claim,REJECT_BLOCKED,true
