result_id,corpus_id,expected_disposition,observed_disposition,unexpected_pass,authorization_promotion,result_status
G7F-RESULT-00001,G7F-CORPUS-00001,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00002,G7F-CORPUS-00002,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00003,G7F-CORPUS-00003,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00004,G7F-CORPUS-00004,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00005,G7F-CORPUS-00005,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00006,G7F-CORPUS-00006,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00007,G7F-CORPUS-00007,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00008,G7F-CORPUS-00008,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00009,G7F-CORPUS-00009,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00010,G7F-CORPUS-00010,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00011,G7F-CORPUS-00011,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00012,G7F-CORPUS-00012,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00013,G7F-CORPUS-00013,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00014,G7F-CORPUS-00014,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00015,G7F-CORPUS-00015,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00016,G7F-CORPUS-00016,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00017,G7F-CORPUS-00017,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00018,G7F-CORPUS-00018,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00019,G7F-CORPUS-00019,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00020,G7F-CORPUS-00020,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00021,G7F-CORPUS-00021,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00022,G7F-CORPUS-00022,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
G7F-RESULT-00023,G7F-CORPUS-00023,REJECT_BLOCKED,REJECT_BLOCKED,false,false,PASS_EXPECTED
