receipt_id,source_manifest_id,artifact_path,absolute_path,artifact_kind,recorded_sha,actual_sha,recorded_row_count,actual_row_count,receipt_status,policy_impact,auth_impact,evidence_bearing
G8A-RECEIPT-0001,G7J-MANIFEST-001,roadmap/COMSOL_GATE7A_NODI_GATE6_RECEIPT_REGISTER_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE7A_NODI_GATE6_RECEIPT_REGISTER_20260629.csv,support,381ffeb4679a7fdae858156433e0bad19caae43b5ab2560022bc82a04e242ac6,381ffeb4679a7fdae858156433e0bad19caae43b5ab2560022bc82a04e242ac6,29,29,MATCH,none,none,false
G8A-RECEIPT-0002,G7J-MANIFEST-002,roadmap/COMSOL_GATE7A_NODI_VIEW_BINDING_STATUS_CONFIRMATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE7A_NODI_VIEW_BINDING_STATUS_CONFIRMATION_20260629.csv,support,128ee5cd62f9c1b491218a71a8ea99df8447ac764cd5fc064a424365e586ea77,128ee5cd62f9c1b491218a71a8ea99df8447ac764cd5fc064a424365e586ea77,1,1,MATCH,none,none,false
G8A-RECEIPT-0003,G7J-MANIFEST-003,roadmap/COMSOL_GATE7A_NODI_GATE6_RECEIPT_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE7A_NODI_GATE6_RECEIPT_PACKET_20260629.md,packet_markdown,bdf46c581eed490a48bd37f473dd98f21de8f3963e5084609f6c9f6051dfcbb0,bdf46c581eed490a48bd37f473dd98f21de8f3963e5084609f6c9f6051dfcbb0,NA,NA,MATCH,none,none,false
G8A-RECEIPT-0004,G7J-MANIFEST-004,roadmap/COMSOL_GATE7B_RC51_FREEZE_CANONICAL_DICTIONARY_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE7B_RC51_FREEZE_CANONICAL_DICTIONARY_20260629.csv,freeze_artifact,87395ce3b172157329a388b8dc2b9ecaf06478f6decdcfb0939b11f6a3273efa,87395ce3b172157329a388b8dc2b9ecaf06478f6decdcfb0939b11f6a3273efa,366,366,MATCH,none,none,false
G8A-RECEIPT-0005,G7J-MANIFEST-005,roadmap/COMSOL_GATE7B_RC51_PRODUCER_FIELD_MAPPING_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE7B_RC51_PRODUCER_FIELD_MAPPING_20260629.csv,support,f671a38df68cb46dac99a11783736a706be385388355500e679cdc2457e95a7c,f671a38df68cb46dac99a11783736a706be385388355500e679cdc2457e95a7c,366,366,MATCH,none,none,false
G8A-RECEIPT-0006,G7J-MANIFEST-006,roadmap/COMSOL_GATE7B_RC51_FREEZE_ADAPTER_MAP_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE7B_RC51_FREEZE_ADAPTER_MAP_20260629.csv,support,1adf46b562e730b2e569238fe7ec1603e22d9314e30f5d1b494335dd25e60cbf,1adf46b562e730b2e569238fe7ec1603e22d9314e30f5d1b494335dd25e60cbf,86,86,MATCH,none,none,false
G8A-RECEIPT-0007,G7J-MANIFEST-007,roadmap/COMSOL_GATE7B_RC51_FREEZE_MANIFEST_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE7B_RC51_FREEZE_MANIFEST_20260629.csv,manifest,43044602df2a25203245183e5b0f6f10309adb307451e687b6cae583195c63a8,43044602df2a25203245183e5b0f6f10309adb307451e687b6cae583195c63a8,4,4,MATCH,none,none,false
G8A-RECEIPT-0008,G7J-MANIFEST-008,roadmap/COMSOL_GATE7B_RC51_FREEZE_HASH_TREE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE7B_RC51_FREEZE_HASH_TREE_20260629.csv,freeze_artifact,bf69d4374e65f9ac289fd0f2badd87c20a9d2cde632edd9850cb84c25eb65362,bf69d4374e65f9ac289fd0f2badd87c20a9d2cde632edd9850cb84c25eb65362,4,4,MATCH,none,none,false
G8A-RECEIPT-0009,G7J-MANIFEST-009,roadmap/COMSOL_GATE7B_RC51_FREEZE_EXCHANGE_ENVELOPE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE7B_RC51_FREEZE_EXCHANGE_ENVELOPE_20260629.csv,support,e3f33193397c0752f9d22c19894ba2366d2e2520133bd09be5afe39322206372,e3f33193397c0752f9d22c19894ba2366d2e2520133bd09be5afe39322206372,7,7,MATCH,none,none,false
G8A-RECEIPT-0010,G7J-MANIFEST-010,roadmap/COMSOL_GATE7B_RC51_FREEZE_LOCKFILE_20260629.json,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE7B_RC51_FREEZE_LOCKFILE_20260629.json,freeze_artifact,0d674c18e547de0261beeaddb6e3f9d744f3693678bba4437e9cd5bb83b5dd93,0d674c18e547de0261beeaddb6e3f9d744f3693678bba4437e9cd5bb83b5dd93,NA,NA,MATCH,none,none,false
