replay_id,source_fixture_id,fixture_family,workstream,expected_nodi_disposition,actual_nodi_disposition,match_status,failure_reason,unexpected_pass,unexpected_accept,authorization_promotion,not_evidence
G8C-REPLAY-00001,G7G-FIXTURE-00001,manifest_drift,EDGE,REJECT_OR_REFRESH_MANIFEST,REJECT_BLOCKED,MATCH,,false,false,false,true
G8C-REPLAY-00002,G7G-FIXTURE-00002,field_alias_drift,QCH,ADAPTER_REQUIRED_NO_AUTH,RECEIVE_REVIEW_ONLY,MATCH,,false,false,false,true
G8C-REPLAY-00003,G7G-FIXTURE-00003,missing_optional_fields,BINDING,RECEIVE_REVIEW_ONLY_WITH_WARNING,RECEIVE_REVIEW_ONLY,MATCH,,false,false,false,true
G8C-REPLAY-00004,G7G-FIXTURE-00004,forbidden_true_flags,local-Q,HARD_FAIL_FORBIDDEN_OR_REJECT_BLOCKED,HARD_FAIL_FORBIDDEN_AUTHORIZATION,MATCH,,false,false,false,true
G8C-REPLAY-00005,G7G-FIXTURE-00005,EDGE_fake_approval,V4,HARD_FAIL_FORBIDDEN_OR_REJECT_BLOCKED,HARD_FAIL_FORBIDDEN_AUTHORIZATION,MATCH,,false,false,false,true
G8C-REPLAY-00006,G7G-FIXTURE-00006,QCH_fake_formal_sidecar,strong-claim,HARD_FAIL_FORBIDDEN_OR_REJECT_BLOCKED,HARD_FAIL_FORBIDDEN_AUTHORIZATION,MATCH,,false,false,false,true
G8C-REPLAY-00007,G7G-FIXTURE-00007,BINDING_fake_promotion,EDGE,HARD_FAIL_FORBIDDEN_OR_REJECT_BLOCKED,HARD_FAIL_FORBIDDEN_AUTHORIZATION,MATCH,,false,false,false,true
G8C-REPLAY-00008,G7G-FIXTURE-00008,Gate2D_row_drift,QCH,HARD_FAIL_FORBIDDEN_OR_REJECT_BLOCKED,HARD_FAIL_FORBIDDEN_AUTHORIZATION,MATCH,,false,false,false,true
G8C-REPLAY-00009,G7G-FIXTURE-00009,runtime_spoofing,BINDING,HARD_FAIL_FORBIDDEN_OR_REJECT_BLOCKED,HARD_FAIL_FORBIDDEN_AUTHORIZATION,MATCH,,false,false,false,true
G8C-REPLAY-00010,G7G-FIXTURE-00010,production_spoofing,local-Q,HARD_FAIL_FORBIDDEN_OR_REJECT_BLOCKED,HARD_FAIL_FORBIDDEN_AUTHORIZATION,MATCH,,false,false,false,true
