intake_id,source_package_row_id,workstream,nodi_verdict,first_safe_dry_run_state,workstream_isolated,authorization_status,evidence_accepted,approved,blocked_use
G8D-SPEC-INTAKE-0001,G7C-EDGE-001,EDGE,PREAUTH_REQUIRED,EDGE_NO_RUN_PREFLIGHT_ONLY,true,NOT_AUTHORIZED_REHEARSAL_ONLY,false,false,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion
G8D-SPEC-INTAKE-0002,G7C-EDGE-002,EDGE,PREAUTH_REQUIRED,EDGE_NO_RUN_PREFLIGHT_ONLY,true,NOT_AUTHORIZED_REHEARSAL_ONLY,false,false,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion
G8D-SPEC-INTAKE-0003,G7C-EDGE-003,EDGE,PREAUTH_REQUIRED,EDGE_NO_RUN_PREFLIGHT_ONLY,true,NOT_AUTHORIZED_REHEARSAL_ONLY,false,false,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion
G8D-SPEC-INTAKE-0004,G7C-EDGE-004,EDGE,PREAUTH_REQUIRED,EDGE_NO_RUN_PREFLIGHT_ONLY,true,NOT_AUTHORIZED_REHEARSAL_ONLY,false,false,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion
G8D-SPEC-INTAKE-0005,G7C-EDGE-005,EDGE,PREAUTH_REQUIRED,EDGE_NO_RUN_PREFLIGHT_ONLY,true,NOT_AUTHORIZED_REHEARSAL_ONLY,false,false,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion
G8D-SPEC-INTAKE-0006,G7C-EDGE-006,EDGE,PREAUTH_REQUIRED,EDGE_NO_RUN_PREFLIGHT_ONLY,true,NOT_AUTHORIZED_REHEARSAL_ONLY,false,false,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion
G8D-SPEC-INTAKE-0007,G7C-EDGE-007,EDGE,PREAUTH_REQUIRED,EDGE_NO_RUN_PREFLIGHT_ONLY,true,NOT_AUTHORIZED_REHEARSAL_ONLY,false,false,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion
G8D-SPEC-INTAKE-0008,G7C-EDGE-008,EDGE,PREAUTH_REQUIRED,EDGE_NO_RUN_PREFLIGHT_ONLY,true,NOT_AUTHORIZED_REHEARSAL_ONLY,false,false,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion
G8D-SPEC-INTAKE-0009,G7C-EDGE-009,EDGE,PREAUTH_REQUIRED,EDGE_NO_RUN_PREFLIGHT_ONLY,true,NOT_AUTHORIZED_REHEARSAL_ONLY,false,false,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion
G8D-SPEC-INTAKE-0010,G7C-EDGE-010,EDGE,PREAUTH_REQUIRED,EDGE_NO_RUN_PREFLIGHT_ONLY,true,NOT_AUTHORIZED_REHEARSAL_ONLY,false,false,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion
