isolation_case_id,case_family,workstream_under_rehearsal,actual_nodi_disposition,leakage_detected,leakage_handling,edge_only_template_approved,qch_bypassed,binding_bypassed,authorization_promotion
G8F-ISO-00001,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00002,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00003,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00004,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00005,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00006,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00007,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00008,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00009,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00010,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00011,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00012,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00013,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00014,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00015,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00016,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00017,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00018,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00019,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00020,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00021,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00022,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00023,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00024,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00025,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00026,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00027,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00028,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00029,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00030,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00031,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00032,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00033,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00034,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00035,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00036,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00037,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00038,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00039,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00040,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00041,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00042,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00043,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00044,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00045,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00046,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00047,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00048,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00049,yield_winner_detection_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00050,accepted_evidence_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00051,EDGE_legitimate_template,EDGE,PREAUTH_REQUIRED,false,preauth_required_only,false,false,false,false
G8F-ISO-00052,QCH_formal_sidecar_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00053,JRC_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00054,runtime_production_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00055,BINDING_promotion_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00056,q_ch_weighting_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00057,chi_selected_leakage,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
G8F-ISO-00058,Gate2D_row_count_spoof,EDGE,HARD_FAIL_FORBIDDEN_AUTHORIZATION,true,hard_fail,false,false,false,false
