receipt_id,artifact_name,absolute_path,relative_source_path,row_count,recorded_row_count,sha256,recorded_sha256,receipt_status,baseline_status,superseded_for_nodi_intake,auth_impact
G14D-COMSOL-G13-RCPT-001,COMSOL_GATE13_SIDEWALL_GUARD_HANDSHAKE_V2_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_SIDEWALL_GUARD_HANDSHAKE_V2_PACKET_20260629.md,roadmap/COMSOL_GATE13_SIDEWALL_GUARD_HANDSHAKE_V2_PACKET_20260629.md,NA,NA,02346fe7f7f94b8d6ea143bd02072c69a7f5c8560edf2d56978892f9360a899d,02346fe7f7f94b8d6ea143bd02072c69a7f5c8560edf2d56978892f9360a899d,MATCH,valid_review_only_no_auth,true,none_no_auth
G14D-COMSOL-G13-RCPT-002,COMSOL_GATE13_STATUS_20260629.json,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_STATUS_20260629.json,roadmap/COMSOL_GATE13_STATUS_20260629.json,NA,NA,3938a5f2afefc08418d029a67d37bae519716a66414bee456ff67f320a616e38,3938a5f2afefc08418d029a67d37bae519716a66414bee456ff67f320a616e38,MATCH,valid_review_only_no_auth,true,none_no_auth
G14D-COMSOL-G13-RCPT-003,COMSOL_GATE13_MANIFEST_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_MANIFEST_20260629.csv,roadmap/COMSOL_GATE13_MANIFEST_20260629.csv,17,NOT_IN_MANIFEST,9590832ea4d1fbde6c812af1e4bd01c96ec9abc8117b02698e3f2902c3a668d4,NOT_IN_MANIFEST,SELF_REFERENTIAL_METADATA_DRIFT_NON_POLICY,valid_review_only_no_auth,true,none_no_auth
G14D-COMSOL-G13-RCPT-004,COMSOL_GATE13_SIDEWALL_GUARD_SCHEMA_V2_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_SIDEWALL_GUARD_SCHEMA_V2_20260629.csv,roadmap/COMSOL_GATE13_SIDEWALL_GUARD_SCHEMA_V2_20260629.csv,24,24,af96575355a8598d70fd52d9113a73021aca17d6ec8e8ef60a009401e35c8b11,af96575355a8598d70fd52d9113a73021aca17d6ec8e8ef60a009401e35c8b11,MATCH,valid_review_only_no_auth,true,none_no_auth
G14D-COMSOL-G13-RCPT-005,COMSOL_GATE13_NODI_DESCRIPTOR_DRYRUN_INPUTS_V2_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_NODI_DESCRIPTOR_DRYRUN_INPUTS_V2_20260629.csv,roadmap/COMSOL_GATE13_NODI_DESCRIPTOR_DRYRUN_INPUTS_V2_20260629.csv,36,36,f73ec49420a1de7314e7dd47ed72e0d11b535abfccbe60dd3b0dc43e73474724,f73ec49420a1de7314e7dd47ed72e0d11b535abfccbe60dd3b0dc43e73474724,MATCH,valid_review_only_no_auth,true,none_no_auth
G14D-COMSOL-G13-RCPT-006,COMSOL_GATE13_MUTATION_FIXTURE_CATALOG_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_MUTATION_FIXTURE_CATALOG_20260629.csv,roadmap/COMSOL_GATE13_MUTATION_FIXTURE_CATALOG_20260629.csv,6000,6000,617bd59051c5b1bff8939bf9eb3accaefda90667ba1adcb5faf9d7fd3d522699,617bd59051c5b1bff8939bf9eb3accaefda90667ba1adcb5faf9d7fd3d522699,MATCH,valid_review_only_no_auth,true,none_no_auth
G14D-COMSOL-G13-RCPT-007,COMSOL_GATE13_MUTATION_RESULTS_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_MUTATION_RESULTS_20260629.csv,roadmap/COMSOL_GATE13_MUTATION_RESULTS_20260629.csv,6000,6000,5c526cd4de6ee56963dd9305cc933be3ef02da4bb61a3fb2a191e641625b4427,5c526cd4de6ee56963dd9305cc933be3ef02da4bb61a3fb2a191e641625b4427,MATCH,valid_review_only_no_auth,true,none_no_auth
G14D-COMSOL-G13-RCPT-008,COMSOL_GATE13_VALIDATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_VALIDATION_20260629.csv,roadmap/COMSOL_GATE13_VALIDATION_20260629.csv,15,15,594ed04a4ab08f8646824b94b728e91f2f2a6080f3b74da921b487d8b1ae7e2a,594ed04a4ab08f8646824b94b728e91f2f2a6080f3b74da921b487d8b1ae7e2a,MATCH,valid_review_only_no_auth,true,none_no_auth
G14D-COMSOL-G13-RCPT-009,COMSOL_GATE13_GATE12_SELF_RECEIPT_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_GATE12_SELF_RECEIPT_20260629.csv,roadmap/COMSOL_GATE13_GATE12_SELF_RECEIPT_20260629.csv,20,20,918811603390fa737201e9888f47acbce4efb616d1e39521e3068d1ff1b9ad67,918811603390fa737201e9888f47acbce4efb616d1e39521e3068d1ff1b9ad67,MATCH,valid_review_only_no_auth,true,none_no_auth
G14D-COMSOL-G13-RCPT-010,COMSOL_GATE13_NODI_SIDEWALL_HARDENING_INTAKE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_NODI_SIDEWALL_HARDENING_INTAKE_20260629.csv,roadmap/COMSOL_GATE13_NODI_SIDEWALL_HARDENING_INTAKE_20260629.csv,43,43,fb57ef6f87b6a0953926295e5eb8e5953cd5cb46b34be246bee9723d4299f524,fb57ef6f87b6a0953926295e5eb8e5953cd5cb46b34be246bee9723d4299f524,MATCH,valid_review_only_no_auth,true,none_no_auth
G14D-COMSOL-G13-RCPT-011,COMSOL_GATE13_CLOSED_SIDEWALL_POLICY_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_CLOSED_SIDEWALL_POLICY_20260629.csv,roadmap/COMSOL_GATE13_CLOSED_SIDEWALL_POLICY_20260629.csv,8,8,069f2117c5e8800e27de3771eb9c665cc186185bb0496a10dda3b95963286db9,069f2117c5e8800e27de3771eb9c665cc186185bb0496a10dda3b95963286db9,MATCH,valid_review_only_no_auth,true,none_no_auth
G14D-COMSOL-G13-RCPT-012,COMSOL_GATE13_FLUIDIC_PROXY_FIREWALL_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_FLUIDIC_PROXY_FIREWALL_20260629.csv,roadmap/COMSOL_GATE13_FLUIDIC_PROXY_FIREWALL_20260629.csv,8,8,305e20ee61ef1d482393bef1ab1e82907a08f206b25f8bd73b08f62930f8271a,305e20ee61ef1d482393bef1ab1e82907a08f206b25f8bd73b08f62930f8271a,MATCH,valid_review_only_no_auth,true,none_no_auth
G14D-COMSOL-G13-RCPT-013,COMSOL_GATE13_BINDING_BLOCKER_ROADMAP_V3_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_BINDING_BLOCKER_ROADMAP_V3_20260629.csv,roadmap/COMSOL_GATE13_BINDING_BLOCKER_ROADMAP_V3_20260629.csv,17,17,7828445baaad3683530d0cfd3e72fdc2d1f08c5b494dbc9b81680885f6ee7c7b,7828445baaad3683530d0cfd3e72fdc2d1f08c5b494dbc9b81680885f6ee7c7b,MATCH,valid_review_only_no_auth,true,none_no_auth
G14D-COMSOL-G13-RCPT-014,COMSOL_GATE13_FUTURE_HANDOFF_ESCROW_V4_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE13_FUTURE_HANDOFF_ESCROW_V4_20260629.csv,roadmap/COMSOL_GATE13_FUTURE_HANDOFF_ESCROW_V4_20260629.csv,4,4,d2ea314b35b17ce606070b40d8f1362b7a7de0e13dce0abc0dba84934ccdb94c,d2ea314b35b17ce606070b40d8f1362b7a7de0e13dce0abc0dba84934ccdb94c,MATCH,valid_review_only_no_auth,true,none_no_auth
