coverage_id,field_or_family,field_family,coverage_status,nodi_v3_receiver_behavior,comsol_gate13_v2_input_status,prs_eas_numeric_response_generated,edge_jrc_qch_authorized,yield_winner_detection_probability_authorized
G14E-COVERAGE-001,geometry_profile_source,profile_source_hash_guard,EXACT_SUPPORTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-002,geometry_profile_sha256,profile_source_hash_guard,EXACT_SUPPORTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-003,source_geometry_descriptor_sha,profile_source_hash_guard,EXACT_SUPPORTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-004,runtime_top_aperture_nm,runtime_top_aperture_binding,EXACT_SUPPORTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-005,top_cd_bias_nm,runtime_top_aperture_binding,EXACT_SUPPORTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-006,top_cd_bias_source,runtime_top_aperture_binding,EXACT_SUPPORTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-007,measured_profile_lookup_status,measured_profile_guard,FUTURE_COMSOL_EXPORT_REQUIRED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-008,measured_profile_path,measured_profile_guard,FUTURE_COMSOL_EXPORT_REQUIRED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-009,measured_profile_sha256,measured_profile_guard,FUTURE_COMSOL_EXPORT_REQUIRED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-010,measured_profile_loaded,measured_profile_guard,FUTURE_COMSOL_EXPORT_REQUIRED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-011,measured_profile_validated,measured_profile_guard,FUTURE_COMSOL_EXPORT_REQUIRED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-012,particle_center_support_status,sampler_support,SUPPORTED_AS_REVIEW_ONLY,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-013,nearest_wall_distance_nm,sampler_support,SUPPORTED_AS_REVIEW_ONLY,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-014,surface_gap_nm,sampler_support,SUPPORTED_AS_REVIEW_ONLY,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-015,includes_trajectory_near_wall_metrics,package_C_gate,FUTURE_COMSOL_EXPORT_REQUIRED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-016,package_C_validation_status,package_C_gate,FUTURE_COMSOL_EXPORT_REQUIRED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-017,bin_accessible,blocked_bin_guard,EXACT_SUPPORTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-018,bin_particle_center_support_status,blocked_bin_guard,EXACT_SUPPORTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-019,blocked_reason,blocked_bin_guard,EXACT_SUPPORTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-020,neighbor_fill_allowed,blocked_bin_guard,EXACT_SUPPORTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-021,flow_rate,alias_denylist,BLOCKED_AS_EXPECTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-022,Q,alias_denylist,BLOCKED_AS_EXPECTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-023,q_ch,alias_denylist,BLOCKED_AS_EXPECTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-024,route_score,alias_denylist,BLOCKED_AS_EXPECTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-025,rank,alias_denylist,BLOCKED_AS_EXPECTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-026,JRC,alias_denylist,BLOCKED_AS_EXPECTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-027,chi_selected,alias_denylist,BLOCKED_AS_EXPECTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
G14E-COVERAGE-028,sidewall_aware,shortcut_denylist,BLOCKED_AS_EXPECTED,fail_closed_or_review_only,baseline_supported_or_gap_recorded,false,false,false
