receipt_id,artifact_name,relative_source_path,absolute_path,row_count,recorded_row_count,sha256,recorded_sha256,receipt_status,producer_status,nodi_policy_impact,fully_accepted_as_producer_package
G15B-COMSOL-G14-RCPT-001,COMSOL_GATE14_STATUS_20260630.json,roadmap/COMSOL_GATE14_STATUS_20260630.json,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE14_STATUS_20260630.json,NA,NA,f7e0ca36b4ff3172eda194f52bbc3e24a5db3959270a0c9bd392c0be1591a425,f7e0ca36b4ff3172eda194f52bbc3e24a5db3959270a0c9bd392c0be1591a425,MATCH,PARTIAL_REVIEW_ONLY_NO_AUTH,partial_due_to_old_nodi_intake_only_not_authorization_failure,false
G15B-COMSOL-G14-RCPT-002,COMSOL_GATE14_MANIFEST_20260630.csv,roadmap/COMSOL_GATE14_MANIFEST_20260630.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE14_MANIFEST_20260630.csv,17,NOT_IN_MANIFEST,ba1463dfab34b1db70b26c6be4670a77a72568a2f28870b8225a874f71488da9,NOT_IN_MANIFEST,SELF_REFERENTIAL_METADATA_DRIFT_NON_POLICY,PARTIAL_REVIEW_ONLY_NO_AUTH,partial_due_to_old_nodi_intake_only_not_authorization_failure,false
G15B-COMSOL-G14-RCPT-003,COMSOL_GATE14_VALIDATION_20260630.csv,roadmap/COMSOL_GATE14_VALIDATION_20260630.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE14_VALIDATION_20260630.csv,15,15,2bde8c547cce86cd1577cef1abec340b390bd0b654d6e435a0d0795f6de58b28,2bde8c547cce86cd1577cef1abec340b390bd0b654d6e435a0d0795f6de58b28,MATCH,PARTIAL_REVIEW_ONLY_NO_AUTH,partial_due_to_old_nodi_intake_only_not_authorization_failure,false
G15B-COMSOL-G14-RCPT-004,COMSOL_GATE14_NODI_RELEASED_CLEAN_INTAKE_20260630.csv,roadmap/COMSOL_GATE14_NODI_RELEASED_CLEAN_INTAKE_20260630.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE14_NODI_RELEASED_CLEAN_INTAKE_20260630.csv,26,26,92c3848d74c33ead8c526a0b457a4c594187a3b803cae67fce535e5dff35068c,92c3848d74c33ead8c526a0b457a4c594187a3b803cae67fce535e5dff35068c,MATCH,PARTIAL_REVIEW_ONLY_NO_AUTH,partial_due_to_old_nodi_intake_only_not_authorization_failure,false
G15B-COMSOL-G14-RCPT-005,COMSOL_GATE14_NODI_IMPLEMENTATION_GUARD_RECEIPT_20260630.csv,roadmap/COMSOL_GATE14_NODI_IMPLEMENTATION_GUARD_RECEIPT_20260630.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE14_NODI_IMPLEMENTATION_GUARD_RECEIPT_20260630.csv,27,27,f3a07cca24e1966620db776d4dcd301fda93f9c26464babd3a196bc2f850ccd8,f3a07cca24e1966620db776d4dcd301fda93f9c26464babd3a196bc2f850ccd8,MATCH,PARTIAL_REVIEW_ONLY_NO_AUTH,partial_due_to_old_nodi_intake_only_not_authorization_failure,false
G15B-COMSOL-G14-RCPT-006,COMSOL_GATE14_PRODUCER_SCHEMA_V3_DELTA_20260630.csv,roadmap/COMSOL_GATE14_PRODUCER_SCHEMA_V3_DELTA_20260630.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE14_PRODUCER_SCHEMA_V3_DELTA_20260630.csv,33,33,c1d76d3aed29b70eb79d8d624d0b0052957458d6109921ba8d12c168a53620c7,c1d76d3aed29b70eb79d8d624d0b0052957458d6109921ba8d12c168a53620c7,MATCH,PARTIAL_REVIEW_ONLY_NO_AUTH,partial_due_to_old_nodi_intake_only_not_authorization_failure,false
G15B-COMSOL-G14-RCPT-007,COMSOL_GATE14_PRODUCER_FEASIBILITY_MATRIX_20260630.csv,roadmap/COMSOL_GATE14_PRODUCER_FEASIBILITY_MATRIX_20260630.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE14_PRODUCER_FEASIBILITY_MATRIX_20260630.csv,33,33,5f117ba7b570d12f6dbf1b587f45c359c54fe0a31c0506954c16c73686cb211f,5f117ba7b570d12f6dbf1b587f45c359c54fe0a31c0506954c16c73686cb211f,MATCH,PARTIAL_REVIEW_ONLY_NO_AUTH,partial_due_to_old_nodi_intake_only_not_authorization_failure,false
G15B-COMSOL-G14-RCPT-008,COMSOL_GATE14_DESCRIPTOR_PROFILE_DRYRUN_EXPORT_V3_20260630.csv,roadmap/COMSOL_GATE14_DESCRIPTOR_PROFILE_DRYRUN_EXPORT_V3_20260630.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE14_DESCRIPTOR_PROFILE_DRYRUN_EXPORT_V3_20260630.csv,36,36,1bdd577982917a23a486626b2d523b96e412e8eaf5159a44a905bf4e0435f9e6,1bdd577982917a23a486626b2d523b96e412e8eaf5159a44a905bf4e0435f9e6,MATCH,PARTIAL_REVIEW_ONLY_NO_AUTH,partial_due_to_old_nodi_intake_only_not_authorization_failure,false
G15B-COMSOL-G14-RCPT-009,COMSOL_GATE14_BINDING_BLOCKER_ROADMAP_V4_20260630.csv,roadmap/COMSOL_GATE14_BINDING_BLOCKER_ROADMAP_V4_20260630.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE14_BINDING_BLOCKER_ROADMAP_V4_20260630.csv,25,25,c80bed3acd288ab9530f6470b8b1260fd0b1ed2243d6a9b312704fbd83191d7a,c80bed3acd288ab9530f6470b8b1260fd0b1ed2243d6a9b312704fbd83191d7a,MATCH,PARTIAL_REVIEW_ONLY_NO_AUTH,partial_due_to_old_nodi_intake_only_not_authorization_failure,false
G15B-COMSOL-G14-RCPT-010,COMSOL_GATE14_MUTATION_RESULTS_20260630.csv,roadmap/COMSOL_GATE14_MUTATION_RESULTS_20260630.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE14_MUTATION_RESULTS_20260630.csv,25000,25000,272b77fb60adeb956b02019050fc70a47adb744b18ede94e857fd0065c80868c,272b77fb60adeb956b02019050fc70a47adb744b18ede94e857fd0065c80868c,MATCH,PARTIAL_REVIEW_ONLY_NO_AUTH,partial_due_to_old_nodi_intake_only_not_authorization_failure,false
